"close, x; MA180, x; MA90, x; MA30, x; MA15, x; MA7, x; MA1, x; log_MA1/7, x; log_MA7/15, x; log_MA15/30, x","close, y","MA180, y","MA90, y","MA30, y","MA15, y","MA7, y","MA1, y","log_MA1/7, y","log_MA7/15, y","log_MA15/30, y","close (1), x; MA30 (1), x; MA15 (1), x; MA7 (1), x; MA1 (1), x","close (1), y","MA30 (1), y","MA15 (1), y","MA7 (1), y","MA1 (1), y"
6ef370,098c8f,dc9e63,aecc63,ffdcf3,bfd00d,f4b3ca,536316,2a5d67,d8151f,6a2637,b3aa54,768bb7,214339,6c351c,71c10a,6840ff
2017-10-01 00:00:00,79.44,46.6538314043,62.1412835648,89.0331435185,79.7541631944,80.1256349206,80.86640625,0.0039966592,0.0020181213,-0.0477983447,2017-10-29 15:45:00,,,,,
2017-10-01 00:15:00,79.44,46.656746142,62.1451782407,89.0225648148,79.7497708333,80.1296031746,80.8578125,0.0039289957,0.0020635483,-0.0477706585,2017-10-29 16:00:00,150540669833.0,,,,
2017-10-01 00:30:00,79.44,46.6602438272,62.1498518518,89.0098703704,79.7445,80.1343650794,80.8475,0.0038477945,0.0021180609,-0.0477374289,2017-10-29 16:15:00,150540669833.0,,,,
2017-10-01 00:45:00,79.44,46.6637415123,62.154525463,88.9971759259,79.7392291667,80.1391269841,80.8371875,0.0037665878,0.002172574,-0.0477041924,2017-10-29 16:30:00,150540669833.0,,,,
2017-10-01 01:00:00,79.44,46.6672391975,62.1591990741,88.9844814815,79.7339583333,80.1438888889,80.826875,0.0036853756,0.0022270874,-0.047670949,2017-10-29 16:45:00,150540669833.0,,,,
2017-10-01 01:15:00,79.44,46.6707368827,62.1638726852,88.971787037,79.7286875,80.1486507936,80.8165625,0.0036041578,0.0022816012,-0.0476376986,2017-10-29 17:00:00,150540669833.0,,,,
2017-10-01 01:30:00,79.44,46.6742345679,62.1685462963,88.9590925926,79.7234166667,80.1534126984,80.80625,0.0035229345,0.0023361153,-0.0476044413,2017-10-29 17:15:00,150540669833.0,,,,
2017-10-01 01:45:00,79.44,46.6777322531,62.1732199074,88.9463981482,79.7181458333,80.1581746032,80.7959375,0.0034417057,0.0023906298,-0.047571177,2017-10-29 17:30:00,150540669833.0,,,,
2017-10-01 02:00:00,79.44,46.6812299383,62.1778935185,88.9337037037,79.712875,80.1629365079,80.785625,0.0033604713,0.0024451447,-0.0475379058,2017-10-29 17:45:00,150540669833.0,,,,
2017-10-01 02:15:00,79.44,46.6847276235,62.1825671296,88.9210092593,79.7076041667,80.1676984127,80.7753125,0.0032792313,0.0024996599,-0.0475046277,2017-10-29 18:00:00,150540669833.0,,,,
2017-10-01 02:30:00,79.44,46.6882253086,62.1872407407,88.9083148148,79.7023333333,80.1724603175,80.765,0.0031979859,0.0025541756,-0.0474713426,2017-10-29 18:15:00,150540669833.0,,,,
2017-10-01 02:45:00,79.44,46.6917229938,62.1919143518,88.8956203704,79.6970625,80.1772222222,80.7546875,0.0031167348,0.0026086915,-0.0474380505,2017-10-29 18:30:00,150540669833.0,,,,
2017-10-01 03:00:00,79.44,46.695220679,62.196587963,88.8829259259,79.6917916667,80.181984127,80.744375,0.0030354782,0.0026632079,-0.0474047515,2017-10-29 18:45:00,150540669833.0,,,,
2017-10-01 03:15:00,79.44,46.6987183642,62.2012615741,88.8702314815,79.6865208333,80.1867460317,80.7340625,0.0029542161,0.0027177246,-0.0473714455,2017-10-29 19:00:00,150540669833.0,,,,
2017-10-01 03:30:00,79.44,46.7022160494,62.2059351852,88.857537037,79.68125,80.1915079365,80.72375,0.0028729484,0.0027722417,-0.0473381325,2017-10-29 19:15:00,150540669833.0,,,,
2017-10-01 03:45:00,79.44,46.7057137346,62.2106087963,88.8448425926,79.6759791667,80.1962698413,80.7134375,0.0027916752,0.0028267591,-0.0473048126,2017-10-29 19:30:00,150540669833.0,,,,
2017-10-01 04:00:00,79.93,46.7092303241,62.215320216,88.8323541667,79.6702453704,80.2037996032,80.7025694444,0.0026924189,0.0028987884,-0.0472750167,2017-10-29 19:45:00,150540669833.0,,,,
2017-10-01 04:15:00,79.93,46.7127563657,62.2200505401,88.81996875,79.6642800926,80.2127132936,80.6914236111,0.0025841704,0.0029795711,-0.0472469799,2017-10-29 20:00:00,150540669833.0,,,,
2017-10-01 04:30:00,79.93,46.7162824074,62.2247808642,88.8075833333,79.6583148148,80.2216269841,80.6802777778,0.002475919,0.003060351,-0.0472189372,2017-10-29 20:15:00,150540669833.0,,,,
2017-10-01 04:45:00,79.93,46.7198084491,62.2295111883,88.7951979167,79.652349537,80.2305406746,80.6691319444,0.0023676646,0.0031411279,-0.0471908885,2017-10-29 20:30:00,150540669833.0,,,,
2017-10-01 05:00:00,79.93,46.7233344907,62.2342415123,88.7828125,79.6463842593,80.2394543651,80.6579861111,0.0022594073,0.0032219019,-0.0471628337,2017-10-29 20:45:00,150540669833.0,,,,
2017-10-01 05:15:00,79.93,46.7268605324,62.2389718364,88.7704270833,79.6404189815,80.2483680556,80.6468402778,0.0021511471,0.003302673,-0.0471347729,2017-10-29 21:00:00,150540669833.0,,,,
2017-10-01 05:30:00,79.93,46.7303865741,62.2437021605,88.7580416667,79.6344537037,80.257281746,80.6356944444,0.002042884,0.0033834412,-0.0471067062,2017-10-29 21:15:00,150540669833.0,,,,
2017-10-01 05:45:00,79.93,46.7339126157,62.2484324846,88.74565625,79.6284884259,80.2661954365,80.6245486111,0.0019346179,0.0034642064,-0.0470786334,2017-10-29 21:30:00,150540669833.0,,,,
2017-10-01 06:00:00,79.93,46.7374386574,62.2531628086,88.7332708333,79.6225231481,80.275109127,80.6134027778,0.0018263488,0.0035449687,-0.0470505545,2017-10-29 21:45:00,150540669833.0,,,,
2017-10-01 06:15:00,79.93,46.7409646991,62.2578931327,88.7208854167,79.6165578704,80.2840228175,80.6022569444,0.0017180769,0.0036257282,-0.0470224697,2017-10-29 22:00:00,150540669833.0,,,,
2017-10-01 06:30:00,79.93,46.7444907407,62.2626234568,88.7085,79.6105925926,80.2929365079,80.5911111111,0.0016098019,0.0037064846,-0.0469943788,2017-10-29 22:15:00,150540669833.0,,,,
2017-10-01 06:45:00,79.93,46.7480167824,62.2673537809,88.6961145833,79.6046273148,80.3018501984,80.5799652778,0.001501524,0.0037872382,-0.0469662819,2017-10-29 22:30:00,150540669833.0,,,,
2017-10-01 07:00:00,79.93,46.7515428241,62.2720841049,88.6837291667,79.598662037,80.3107638889,80.5688194444,0.0013932432,0.0038679889,-0.046938179,2017-10-29 22:45:00,150540669833.0,,,,
2017-10-01 07:15:00,79.93,46.7550688657,62.276814429,88.67134375,79.5926967593,80.3196775794,80.5576736111,0.0012849594,0.0039487366,-0.04691007,2017-10-29 23:00:00,150540669833.0,,,,
2017-10-01 07:30:00,79.93,46.7585949074,62.2815447531,88.6589583333,79.5867314815,80.3285912698,80.5465277778,0.0011766726,0.0040294815,-0.046881955,2017-10-29 23:15:00,150540669833.0,,,,
2017-10-01 07:45:00,79.93,46.7621209491,62.2862750772,88.6465729167,79.5807662037,80.3375049603,80.5353819444,0.0010683829,0.0041102234,-0.046853834,2017-10-29 23:30:00,150540669833.0,,,,
2017-10-01 08:00:00,80.24,46.7656589506,62.291029321,88.6333865741,79.5779490741,80.3459623016,80.5274305556,0.0009797854,0.0041713144,-0.046804601,2017-10-29 23:45:00,150540669833.0,,,,
2017-10-01 08:15:00,80.24,46.7692029321,62.2957955247,88.6197997685,79.5767060185,80.3541914683,80.5210763889,0.0009010363,0.0042225773,-0.046744806,2017-10-30 00:00:00,150540669833.0,,,,
2017-10-01 08:30:00,80.24,46.7727469136,62.3005617284,88.606212963,79.575462963,80.3624206349,80.5147222222,0.0008222891,0.0042738357,-0.0466850008,2017-10-30 00:15:00,150540669833.0,,,,
2017-10-01 08:45:00,80.24,46.7762908951,62.3053279321,88.5926261574,79.5742199074,80.3706498016,80.5083680556,0.0007435438,0.0043250897,-0.0466251855,2017-10-30 00:30:00,150540669833.0,,,,
2017-10-01 09:00:00,80.24,46.7798348765,62.3100941358,88.5790393519,79.5729768519,80.3788789683,80.5020138889,0.0006648003,0.0043763392,-0.0465653602,2017-10-30 00:45:00,150540669833.0,,,,
2017-10-01 09:15:00,80.24,46.783378858,62.3148603395,88.5654525463,79.5717337963,80.3871081349,80.4956597222,0.0005860586,0.0044275843,-0.0465055247,2017-10-30 01:00:00,150540669833.0,,,,
2017-10-01 09:30:00,80.24,46.7869228395,62.3196265432,88.5518657407,79.5704907407,80.3953373016,80.4893055556,0.0005073188,0.004478825,-0.0464456791,2017-10-30 01:15:00,150540669833.0,,,,
2017-10-01 09:45:00,80.24,46.790466821,62.3243927469,88.5382789352,79.5692476852,80.4035664683,80.4829513889,0.0004285809,0.0045300612,-0.0463858234,2017-10-30 01:30:00,150540669833.0,,,,
2017-10-01 10:00:00,80.24,46.7940108025,62.3291589506,88.5246921296,79.5680046296,80.4117956349,80.4765972222,0.0003498447,0.0045812929,-0.0463259575,2017-10-30 01:45:00,150540669833.0,,,,
