"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
edd3ea,4fcc5e,5310cc,b96732,29062a
1,0.1,0.0,Cluster : 1 (Size : 228)<br>eg Vector : 0|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,30.6040268456
2,0.1,0.0,Cluster : 2 (Size : 341)<br>eg Vector : 1|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,45.7718120805
3,0.1,0.0,Cluster : 3 (Size : 259)<br>eg Vector : 1|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,34.7651006711
4,0.1,0.0,Cluster : 4 (Size : 398)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,53.4228187919
5,0.1,0.0,Cluster : 5 (Size : 204)<br>eg Vector : 0|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,27.3825503356
6,0.1,0.0,Cluster : 6 (Size : 270)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,36.2416107383
7,0.1,0.0,Cluster : 7 (Size : 378)<br>eg Vector : 0|0.23809523809523808|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,50.7382550336
8,0.1,0.0,Cluster : 8 (Size : 373)<br>eg Vector : 0|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,50.067114094
9,0.1,0.0,Cluster : 9 (Size : 220)<br>eg Vector : 1|0.2857142857142857|0|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,29.5302013423
10,0.1,0.0,Cluster : 10 (Size : 201)<br>eg Vector : 0|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.9798657718
11,0.1,0.0,Cluster : 11 (Size : 239)<br>eg Vector : 1|0.3333333333333333|0|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,32.0805369128
12,0.1,0.0,Cluster : 12 (Size : 209)<br>eg Vector : 1|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,28.0536912752
13,0.1,0.0,Cluster : 13 (Size : 200)<br>eg Vector : 1|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
14,0.1,0.0,Cluster : 14 (Size : 200)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
15,0.1,0.0,Cluster : 15 (Size : 200)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
16,0.1,0.0,Cluster : 16 (Size : 200)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
17,0.1,0.0,Cluster : 17 (Size : 200)<br>eg Vector : 1|0.19047619047619047|0|0|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
18,0.1,0.0,Cluster : 18 (Size : 200)<br>eg Vector : 1|0.38095238095238093|1|1|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
19,0.1,0.0,Cluster : 19 (Size : 200)<br>eg Vector : 0|0.2857142857142857|1|0|0|0|0|0|1|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.8456375839
20,0.2,0.0,Cluster : 20 (Size : 200)<br>eg Vector : 1|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,26.8456375839
21,0.2,0.0,Cluster : 21 (Size : 200)<br>eg Vector : 0|0.38095238095238093|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,26.8456375839
22,0.2,0.0,Cluster : 22 (Size : 200)<br>eg Vector : 0|0.2857142857142857|0|0|0|0|0|0|1|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,26.8456375839
