"pH, x; Temp, x","pH, y","Temp, y"
c90df3,cbf903,76285e
2018-01-08 06:23:12,5.781,72.8366
2018-01-08 06:23:45,5.778,72.8366
2018-01-08 06:24:18,5.767,72.8366
2018-01-08 06:24:51,5.776,72.8366
2018-01-08 06:25:24,5.77,72.8366
2018-01-08 06:25:57,5.767,72.8366
2018-01-08 06:26:30,5.775,72.8366
2018-01-08 06:27:03,5.781,72.8366
2018-01-08 06:27:36,5.78,72.8366
2018-01-08 06:28:09,5.765,72.8366
2018-01-08 06:28:42,5.764,72.8366
2018-01-08 06:29:15,5.768,72.8366
2018-01-08 06:29:48,5.772,72.8366
2018-01-08 06:30:21,5.779,72.8366
2018-01-08 06:30:53,5.773,72.8366
2018-01-08 06:31:26,5.779,72.8366
2018-01-08 06:31:59,5.779,72.8366
2018-01-08 06:32:32,5.77,72.8366
2018-01-08 06:33:05,5.777,72.8366
2018-01-08 06:33:38,5.775,72.8366
2018-01-08 06:34:11,5.772,72.8366
2018-01-08 06:34:44,5.775,72.8366
2018-01-08 06:35:17,5.775,72.8366
2018-01-08 06:35:50,5.776,72.8366
2018-01-08 06:36:23,5.774,72.8366
2018-01-08 06:36:56,5.765,72.8366
2018-01-08 06:37:29,5.77,72.8366
2018-01-08 06:38:02,5.767,72.8366
2018-01-08 06:38:35,5.769,72.8366
2018-01-08 06:39:08,5.774,72.8366
2018-01-08 06:39:41,5.771,72.8366
2018-01-08 06:40:14,5.77,72.8366
2018-01-08 06:40:47,5.766,72.8366
2018-01-08 06:41:20,5.767,72.8366
2018-01-08 06:41:53,5.771,72.8366
2018-01-08 06:42:26,5.77,72.8366
2018-01-08 06:42:59,5.767,72.8366
2018-01-08 06:43:32,5.768,72.8366
2018-01-08 06:44:05,5.762,72.8366
2018-01-08 06:44:37,5.766,72.8366
2018-01-08 06:45:10,5.767,72.8366
2018-01-08 06:45:43,5.764,72.8366
2018-01-08 06:46:16,5.77,72.8366
2018-01-08 06:46:49,5.769,72.8366
2018-01-08 06:47:22,5.771,72.8366
2018-01-08 06:47:55,5.775,72.8366
2018-01-08 06:48:28,5.778,72.8366
2018-01-08 06:49:01,5.77,72.8366
2018-01-08 06:49:34,5.769,72.8366
