"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
aec5ad,9f3d87,77de7d,726af8,83f3c3
1,0.6,0.3,Cluster : 1 (Size : 690)<br>eg Vector : 0.5|0.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.6%,69.0
2,0.7,0.3,Cluster : 2 (Size : 300)<br>eg Vector : 0.0|0.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.7%,30.0
3,0.7,0.0,Cluster : 3 (Size : 286)<br>eg Vector : 0.0|0.0|0.875|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.7%,28.6
4,0.7,0.0,Cluster : 4 (Size : 369)<br>eg Vector : 0.0|0.19999999999999998|1.0|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.7%,36.9
5,0.7,0.6,Cluster : 5 (Size : 720)<br>eg Vector : 0.5|0.0|0.875|0.0|0|0|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 0.7%,72.0
6,0.7,0.4,Cluster : 6 (Size : 852)<br>eg Vector : 0.5|0.19999999999999998|1.0|0.0|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.7%,85.2
7,0.8,0.5,Cluster : 7 (Size : 212)<br>eg Vector : 0.0|0.19999999999999998|1.0|0.11111...<br>Obs Prob : 0.5%<br>Pred Prob : 0.8%,21.2
8,0.8,0.8,Cluster : 8 (Size : 263)<br>eg Vector : 0.0|0.39999999999999997|1.0|0.0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 0.8%,26.3
9,0.8,0.7,Cluster : 9 (Size : 268)<br>eg Vector : 0.0|0.0|0.75|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 0.8%,26.8
10,0.8,1.0,Cluster : 10 (Size : 526)<br>eg Vector : 0.5|0.0|0.875|0.1111111111111111|0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 0.8%,52.6
