"Trace 0, x; Trace 1, x","Trace 0, y; Trace 1, y","Trace 0, z[0]","Trace 0, z[1]","Trace 0, z[2]","Trace 0, z[3]","Trace 0, z[4]","Trace 0, z[5]","Trace 0, z[6]","Trace 0, z[7]","Trace 0, z[8]","Trace 0, z[9]","Trace 0, z[10]","Trace 0, z[11]","Trace 1, z[0]","Trace 1, z[1]","Trace 1, z[2]","Trace 1, z[3]","Trace 1, z[4]","Trace 1, z[5]","Trace 1, z[6]","Trace 1, z[7]","Trace 1, z[8]","Trace 1, z[9]","Trace 1, z[10]","Trace 1, z[11]"
483926,bf3934,8ed81d,3bd837,2b0047,1d4183,094fbe,625017,de088c,10e6bf,bfbc3f,f7d927,1b333f,d3293c,65b966,d4985e,04b74c,426e41,3812d4,6930b9,46aa9b,aacc18,a5c8f5,3503f1,4b150e,e89996
0:45 GMT,Monday,0,0,0,0,0,0,0,0,0,0,0,0,1801,1618,1526,598,828,353,1459,1833,2115,2486,2545,1938
2:45 GMT,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,2161,1611,1826,759,1440,1761,1860,2166,2386,2155,2098,1639
4:45 GMT,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1879,1821,1578,515,1807,1595,1596,2148,2825,2974,2873,2158
6:45 GMT,Friday,2142,1889,1791,0,0,0,0,0,2135,0,0,0,1959,2162,1900,321,1048,1349,1131,1580,2375,2247,2529,2069
8:45 GMT,Thursday,1726,1871,0,0,1532,0,0,0,0,3314,2336,2105,2249,1954,1589,771,1818,746,700,1161,1709,2781,2122,2015
10:45 GMT,Wednesday,2024,0,0,1925,0,0,0,0,0,1735,1865,2565,2433,1757,1377,1386,614,1049,972,855,1732,2347,2391,2293
12:45 GMT,Tuesday,1884,1597,1719,0,2057,0,0,0,0,2309,2143,2562,1967,1967,1579,640,1119,1028,688,1367,1719,2372,2127,2264
14:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
16:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
18:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
20:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
22:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
