11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
bbd99c,771145,4ad289,d84977,2e3141,5ddff8,b59069,8732ee,018470,aa0ca2,ffb034,92b9e3,2517b6
1.48125,0.525,0.01875,0.075,0,0,0,0,0.4125,1.06875,5.025,11/01/18,0.0375
0.075,1.66875,0,0,0,0,0,0,1.33125,3.80625,,12/01/18,4.8
0,0.675,0,0,0,0,0,0.1875,2.19375,2.1375,,13/01/18,5.25
0,0.09375,0.0375,0,0,0,0,0,0.1125,4.575,,14/01/18,0.05625
0.375,0.0375,0.01875,0,0,0,0,0.1125,0.39375,3.61875,,15/01/18,0
1.48125,0.05625,0,0,0,0,0,0,2.0625,,,16/01/18,0
0,0.28125,0,0,0,0,0,0.01875,0.675,,,17/01/18,0
0,0,0,0,0,0,0,0.01875,0,,,18/01/18,0.4125
0,0,0,0,0,0,0,0,1.18125,,,19/01/18,1.18125
0,0,0,0,0,0,0,1.06875,,,,20/01/18,3.61875
0,0.09375,0,0,0,0,0,0.46875,,,,21/01/18,5.025
0,0,0.075,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0.4125,,,,,
0,0,0.05625,0,0,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0.0375,0,0,0,0,,,,,,
0,0,4.33125,0,0,0,0,,,,,,
0,0.0375,4.9875,0,0,0,,,,,,,
0,0.05625,2.1375,0,0,0,,,,,,,
0,0.5625,0,0.0375,0,0,,,,,,,
0,0.1125,0.13125,0,0,0,,,,,,,
0,0.20625,0.01875,0,0,,,,,,,,
0,0.0375,0,0,0,,,,,,,,
0,0.13125,0.525,0,0,,,,,,,,
0,0.01875,1.48125,0,0,,,,,,,,
0,0.375,0.43125,0,,,,,,,,,
0,0.0375,0.09375,0.075,,,,,,,,,
0.01875,0.54375,0.5625,0.01875,,,,,,,,,
0.01875,1.35,0.20625,0.05625,,,,,,,,,
0.05625,3.1875,0.5625,,,,,,,,,,
0.01875,3.16875,0.3375,,,,,,,,,,
0.0375,5.26875,4.65,,,,,,,,,,
0.01875,0.65625,5.25,,,,,,,,,,
0,0.84375,,,,,,,,,,,
0,4.9875,,,,,,,,,,,
0,3.2625,,,,,,,,,,,
0.0375,4.8,,,,,,,,,,,
