2day<br>6time<br>WetterCom<br>Temperature<br>Mean:2.36<br>STD:2.09,2day<br>6time<br>WetterCom<br>Rain<br>Mean:0.13<br>STD:1.71,2day<br>6time<br>WetterCom<br>Wind<br>Mean:7.32<br>STD:5.06,2day<br>11time<br>WetterCom<br>Temperature<br>Mean:1.20<br>STD:1.98,2day<br>11time<br>WetterCom<br>Rain<br>Mean:0.13<br>STD:1.71,2day<br>11time<br>WetterCom<br>Wind<br>Mean:9.24<br>STD:4.85,2day<br>17time<br>WetterCom<br>Temperature<br>Mean:-1.32<br>STD:2.25,2day<br>17time<br>WetterCom<br>Rain<br>Mean:0.24<br>STD:3.15,2day<br>17time<br>WetterCom<br>Wind<br>Mean:7.18<br>STD:4.52,2day<br>23time<br>WetterCom<br>Temperature<br>Mean:-0.48<br>STD:1.77,2day<br>23time<br>WetterCom<br>Rain<br>Mean:0.19<br>STD:2.80,2day<br>23time<br>WetterCom<br>Wind<br>Mean:5.73<br>STD:4.60
0f93d5,f17d80,4e9fe0,98b596,195cb9,b24ba2,42ad63,8fb797,93f16b,ca0d11,88a7c0,7c7b40
6.0,10.0,5,1.0,20.0,11,-8.5,60.0,3,-3.0,60.0,8
0.5,20.0,9,0.5,30.0,17,-2.0,30.0,13,-2.0,30.0,7
1.0,30.0,9,1.5,20.0,15,-1.5,30.0,10,-2.5,20.0,1
4.5,10.0,6,1.0,10.0,6,-5.5,10.0,3,-3.5,10.0,1
5.0,20.0,3,0.0,10.0,10,-6.0,30.0,6,-3.5,10.0,6
5.0,0.0,8,1.0,-1.0,6,2.0,0.0,3,2.0,0.0,3
4.5,0.0,3,5.5,0.0,4,1.5,0.0,2,1.5,0.0,3
2.5,0.0,5,0.5,0.0,8,1.5,0.0,6,0.5,0.0,6
1.0,0.0,14,2.5,0.0,17,1.0,-1.0,12,1.0,0.0,9
1.5,0.0,8,0.5,0.0,10,0.0,0.0,14,1.0,0.0,13
2.5,0.0,12,2.5,0.0,13,1.5,0.0,6,1.0,0.0,4
1.5,0.0,10,3.0,0.0,12,2.5,0.0,9,1.0,0.0,6
2.5,0.0,3,2.0,0.0,4,0.5,0.0,2,-1.5,0.0,2
