"Solar, x; Wind, x; Battery, x; Load, x; Voltage, x","Solar, y","Wind, y","Battery, y","Load, y","Voltage, y"
54854d,0c475e,21a266,f5e41b,e54c6e,28c798
2017-01-01 00:08:04,-0.00588,-0.00294,-2.90766,-2.89884,49.0
2017-01-01 00:18:04,-0.005904,-0.002952,-2.952,-2.943144,49.2
2017-01-01 00:28:04,-0.002952,-0.005904,-2.335032,-2.326176,49.2
2017-01-01 00:38:04,-0.00588,-0.00294,-3.0282,-3.01938,49.0
2017-01-01 00:48:04,-0.00588,-0.00294,-3.0576,-3.04878,49.0
2017-01-01 00:58:04,-0.005868,-0.005868,-3.11004,-3.098304,48.9
2017-01-01 01:08:04,-0.00294,-0.00294,-2.9988,-2.99292,49.0
2017-01-01 01:18:04,-0.00588,-0.00588,-2.93412,-2.92236,49.0
2017-01-01 01:28:04,-0.005868,-0.002934,-3.16872,-3.159918,48.9
2017-01-01 01:38:04,-0.00294,-0.00588,-2.63424,-2.62542,49.0
2017-01-01 01:48:04,-0.005856,-0.002928,-3.25008,-3.241296,48.8
2017-01-01 01:58:04,-0.005868,-0.002934,-3.19806,-3.189258,48.9
2017-01-01 02:08:03,-0.005868,-0.005868,-2.83131,-2.819574,48.9
2017-01-01 02:18:03,-0.002934,-0.002934,-3.05136,-3.045492,48.9
2017-01-01 02:28:03,-0.005868,-0.005868,-2.837178,-2.825442,48.9
2017-01-01 02:38:03,-0.005808,-0.002904,-4.23984,-4.231128,48.4
2017-01-01 02:48:03,-0.005808,-0.005808,-4.76256,-4.750944,48.4
2017-01-01 02:58:03,-0.00582,-0.00291,-4.4232,-4.41447,48.5
2017-01-01 03:08:03,-0.00582,-0.00291,-4.1904,-4.18167,48.5
2017-01-01 03:18:03,-0.008694,-0.005796,-4.75272,-4.73823,48.3
2017-01-01 03:28:03,-0.00291,-0.00291,-4.0449,-4.03908,48.5
2017-01-01 03:38:03,-0.005856,-0.005856,-3.16224,-3.150528,48.8
2017-01-01 03:48:03,-0.005844,-0.002922,-3.12654,-3.117774,48.7
2017-01-01 03:58:03,-0.005856,-0.002928,-2.837232,-2.828448,48.8
2017-01-01 04:08:04,-0.00582,0.02328,-2.9973,-3.01476,48.5
2017-01-01 04:18:04,-0.002922,0.046752,-3.33108,-3.37491,48.7
2017-01-01 04:28:04,-0.005832,0.002916,-2.881008,-2.878092,48.6
2017-01-01 04:38:04,-0.005844,0.040908,-3.12654,-3.161604,48.7
2017-01-01 04:48:04,-0.005832,0.078732,-2.673972,-2.746872,48.6
2017-01-01 04:58:04,-0.00582,-0.00291,-3.3174,-3.30867,48.5
2017-01-01 05:08:04,-0.002922,-0.002922,-3.12654,-3.120696,48.7
2017-01-01 05:18:04,-0.00582,-0.00291,-3.3465,-3.33777,48.5
2017-01-01 05:28:04,-0.00582,0.0,-3.7248,-3.71898,48.5
2017-01-01 05:38:04,-0.00582,0.0,-2.9391,-2.93328,48.5
2017-01-01 05:48:04,-0.00582,0.01164,-3.0846,-3.09042,48.5
2017-01-01 05:58:04,-0.005808,-0.002904,-3.42672,-3.418008,48.4
2017-01-01 06:08:04,-0.002904,-0.005808,-3.54288,-3.534168,48.4
2017-01-01 06:18:04,-0.005808,-0.002904,-3.3396,-3.330888,48.4
2017-01-01 06:28:04,-0.005808,-0.002904,-3.31056,-3.301848,48.4
2017-01-01 06:38:04,-0.00582,-0.00582,-3.201,-3.18936,48.5
2017-01-01 06:48:04,-0.005808,-0.002904,-2.813976,-2.805264,48.4
2017-01-01 06:58:04,-0.002904,-0.005808,-3.42672,-3.418008,48.4
2017-01-01 07:08:04,-0.005808,-0.002904,-2.99112,-2.982408,48.4
2017-01-01 07:18:04,-0.008676,-0.002892,-3.87528,-3.863712,48.2
2017-01-01 07:28:04,0.011592,-0.005796,-3.21678,-3.222576,48.3
2017-01-01 07:38:04,0.6111,-0.00291,-2.71212,-3.32031,48.5
2017-01-01 07:48:04,1.769202,-0.005868,-1.279224,-3.042558,48.9
2017-01-01 07:58:04,2.745672,-0.002946,-0.704094,-3.44682,49.1
2017-01-01 08:08:04,3.54144,-0.005952,0.151776,-3.383712,49.6
2017-01-01 08:18:04,4.09632,-0.003012,1.138536,-2.954772,50.2
2017-01-01 08:28:04,4.545,-0.00606,1.19685,-3.34209,50.5
2017-01-01 08:38:04,4.89888,-0.006048,0.707616,-4.185216,50.4
2017-01-01 08:48:04,5.1918,-0.003054,1.716348,-3.472398,50.9
2017-01-01 08:58:04,5.46816,-0.006144,2.095104,-3.366912,51.2
