"60-90 dias, x; 30-60 días, x; 0-30 días, x","60-90 dias, y","60-90 dias, color","30-60 días, y","30-60 días, color","0-30 días, y","0-30 días, color"
e3ec38,fee507,cb5eff,179e27,efa6fd,9dfe2a,8a057f
BCS,0.2,"rgba(179,226,205,1)",0.6,"rgba(253,205,172,1)",0.2,"rgba(203,213,232,1)"
CAM,0.0,"rgba(179,226,205,1)",1.0,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
CDMX,0.3571428571,"rgba(179,226,205,1)",0.375,"rgba(253,205,172,1)",0.2678571429,"rgba(203,213,232,1)"
CHH,0.6428571429,"rgba(179,226,205,1)",0.3571428571,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
COA,0.3626373626,"rgba(179,226,205,1)",0.4285714286,"rgba(253,205,172,1)",0.2087912088,"rgba(203,213,232,1)"
COL,0.375,"rgba(179,226,205,1)",0.4375,"rgba(253,205,172,1)",0.1875,"rgba(203,213,232,1)"
DUR,0.65,"rgba(179,226,205,1)",0.35,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
GUE,0.2894736842,"rgba(179,226,205,1)",0.6315789474,"rgba(253,205,172,1)",0.0789473684,"rgba(203,213,232,1)"
JAL,0.4137931034,"rgba(179,226,205,1)",0.3054187192,"rgba(253,205,172,1)",0.2807881773,"rgba(203,213,232,1)"
MEX,0.354978355,"rgba(179,226,205,1)",0.4112554113,"rgba(253,205,172,1)",0.2337662338,"rgba(203,213,232,1)"
MIC,0.583011583,"rgba(179,226,205,1)",0.4131274131,"rgba(253,205,172,1)",0.0038610039,"rgba(203,213,232,1)"
MOR,0.2682926829,"rgba(179,226,205,1)",0.4634146341,"rgba(253,205,172,1)",0.2682926829,"rgba(203,213,232,1)"
OAX,0.0,"rgba(179,226,205,1)",1.0,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
PUE,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
QUE,0.28,"rgba(179,226,205,1)",0.32,"rgba(253,205,172,1)",0.4,"rgba(203,213,232,1)"
ROO,0.2916666667,"rgba(179,226,205,1)",0.3958333333,"rgba(253,205,172,1)",0.3125,"rgba(203,213,232,1)"
SIN,0.4,"rgba(179,226,205,1)",0.6,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
SLP,0.0883392226,"rgba(179,226,205,1)",0.3286219081,"rgba(253,205,172,1)",0.5830388693,"rgba(203,213,232,1)"
SON,0.3648648649,"rgba(179,226,205,1)",0.4324324324,"rgba(253,205,172,1)",0.2027027027,"rgba(203,213,232,1)"
TAB,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
TAM,0.3398058252,"rgba(179,226,205,1)",0.3786407767,"rgba(253,205,172,1)",0.2815533981,"rgba(203,213,232,1)"
TLA,0.2727272727,"rgba(179,226,205,1)",0.5,"rgba(253,205,172,1)",0.2272727273,"rgba(203,213,232,1)"
VER,0.3308823529,"rgba(179,226,205,1)",0.3161764706,"rgba(253,205,172,1)",0.3529411765,"rgba(203,213,232,1)"
YUC,0.36,"rgba(179,226,205,1)",0.42,"rgba(253,205,172,1)",0.22,"rgba(203,213,232,1)"
