x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
3c9171,ed9f4f,d33b5f,0a2ea9,a0fa0b,8640b9,cad5ec,cb88f6,fb3820,c5c208,452c05,d4c697,8a31ee
DASH,DASH,1.0,0.4810531395,0.5700889884,0.5213523372,0.3182696173,0.4816667272,0.359099658,0.1258137331,0.559002897,0.1646434042,0.4198859431
ETC,ETC,0.4810531395,1.0,0.6672099583,0.5476164199,0.2820908779,0.586373435,0.2965483499,0.0635038489,0.5308717626,0.2045229102,0.5428493786
ETH,ETH,0.5700889884,0.6672099583,1.0,0.6208807789,0.3862267221,0.6844061007,0.3291455157,0.2158591324,0.6116255912,0.2783444796,0.5121304494
FCT,FCT,0.5213523372,0.5476164199,0.6208807789,1.0,0.4338153322,0.7132073082,0.4616670658,0.3108102748,0.6541965681,0.2932698037,0.4809832996
GAS,GAS,0.3182696173,0.2820908779,0.3862267221,0.4338153322,1.0,0.5371552504,0.3097886017,0.108030114,0.3446429395,0.1818986446,0.1503914879
OMG,OMG,0.4816667272,0.586373435,0.6844061007,0.7132073082,0.5371552504,1.0,0.5682934799,0.3452777626,0.5581490777,0.2890867741,0.3691164541
STEEM,STEEM,0.359099658,0.2965483499,0.3291455157,0.4616670658,0.3097886017,0.5682934799,1.0,0.3703835993,0.3790839522,0.3505558199,0.3572136389
STORJ,STORJ,0.1258137331,0.0635038489,0.2158591324,0.3108102748,0.108030114,0.3452777626,0.3703835993,1.0,0.1887339951,0.1702557944,0.2300321739
XMR,XMR,0.559002897,0.5308717626,0.6116255912,0.6541965681,0.3446429395,0.5581490777,0.3790839522,0.1887339951,1.0,0.2880291408,0.5035907499
XRP,XRP,0.1646434042,0.2045229102,0.2783444796,0.2932698037,0.1818986446,0.2890867741,0.3505558199,0.1702557944,0.2880291408,1.0,0.2249074863
BTC,BTC,0.4198859431,0.5428493786,0.5121304494,0.4809832996,0.1503914879,0.3691164541,0.3572136389,0.2300321739,0.5035907499,0.2249074863,1.0
