"Temperatur, x; Luftfeuchte, x","Temperatur, y","Luftfeuchte, y"
8ebb42,d1ed62,772310
2018-01-05 21:35:07,20.8,48.8
2018-01-05 21:40:07,20.8,48.9
2018-01-05 21:45:11,20.8,48.7
2018-01-05 21:50:08,20.8,48.9
2018-01-05 21:55:07,20.8,48.8
2018-01-05 22:00:07,20.8,48.9
2018-01-05 22:05:07,20.8,48.9
2018-01-05 22:10:08,20.8,49.0
2018-01-05 22:15:07,20.8,48.9
2018-01-05 22:20:09,20.8,48.9
2018-01-05 22:25:09,20.8,49.0
2018-01-05 22:30:10,20.7,49.1
2018-01-05 22:35:09,20.8,49.0
2018-01-05 22:40:07,20.8,48.9
2018-01-05 22:45:09,20.7,49.2
2018-01-05 22:50:07,20.7,49.1
2018-01-05 22:55:07,20.8,49.2
2018-01-05 23:00:07,20.8,49.1
2018-01-05 23:05:07,20.8,49.1
2018-01-05 23:10:07,20.8,49.1
2018-01-05 23:15:08,20.8,49.3
2018-01-05 23:20:09,20.7,49.3
2018-01-05 23:25:07,20.8,49.1
2018-01-05 23:30:10,20.8,49.2
2018-01-05 23:35:07,20.7,49.2
2018-01-05 23:40:09,20.7,49.4
2018-01-05 23:45:08,20.7,49.5
2018-01-05 23:50:07,20.7,49.5
2018-01-05 23:55:09,20.7,49.5
2018-01-06 00:00:09,20.8,49.4
2018-01-06 00:05:08,20.7,49.5
2018-01-06 00:10:09,20.7,49.5
2018-01-06 00:15:09,20.7,49.3
2018-01-06 00:20:08,20.7,49.7
2018-01-06 00:25:07,20.7,49.5
2018-01-06 00:30:07,20.7,49.6
2018-01-06 00:35:08,20.7,49.6
2018-01-06 00:40:09,20.7,49.6
2018-01-06 00:45:08,20.7,49.6
2018-01-06 00:50:12,20.7,49.5
2018-01-06 00:55:08,20.7,49.4
2018-01-06 01:00:09,20.7,49.5
2018-01-06 01:05:09,20.7,49.5
2018-01-06 01:10:09,20.7,49.5
2018-01-06 01:15:09,20.7,49.4
2018-01-06 01:20:07,20.7,49.5
2018-01-06 01:25:07,20.7,49.7
2018-01-06 01:30:10,20.7,49.5
