"Model - ADHD-Real-5-nonCV - Train, x","Model - ADHD-Real-5-nonCV - Train, y","Model - ADHD-Real-5-nonCV - Test, x; Best Possible, x","Model - ADHD-Real-5-nonCV - Test, y; Best Possible, y","Null Hypothesis, x","Null Hypothesis, y"
861c74,af8aa9,71cbaf,4982e8,192737,6986a1
1.0,1.0,0,0,0.0,0.0
1.0,1.0,0,0,0.01,0.01
1.0,1.0,0,0,0.02,0.02
1.0,1.0,0,0,0.03,0.03
0.9715767929,0.9966216216,0,0,0.04,0.04
0.8647838008,0.9686293436,0,0,0.05,0.05
0.7436247313,0.9126447876,0,0,0.06,0.06
0.6354672193,0.8552123552,0,0,0.07,0.07
0.5292020133,0.7953667954,0,0,0.08,0.08
0.4428768199,0.7302123552,0,0,0.09,0.09
0.36548537,0.6592664093,0,0,0.1,0.1
0.295122485,0.582046332,0,0,0.11,0.11
0.2414170411,0.5125482625,0,0,0.12,0.12
0.2067376389,0.4700772201,0,0,0.13,0.13
0.1689945033,0.4044401544,0,0,0.14,0.14
0.1473424044,0.3667953668,0,0,0.15,0.15
0.1227038091,0.3286679537,0,0,0.16,0.16
0.103549039,0.2915057915,0,0,0.17,0.17
0.0899682041,0.263996139,0,0,0.18,0.18
0.0760526756,0.23503861,0,0,0.19,0.19
0.0665139091,0.2118725869,0,0,0.2,0.2
0.0573999459,0.1833976834,0,0,0.21,0.21
0.0485820579,0.1645752896,0,0,0.22,0.22
0.0439092208,0.1515444015,0,0,0.23,0.23
0.0361082862,0.1307915058,0,0,0.24,0.24
0.0317572699,0.1153474903,0,0,0.25,0.25
0.0286806637,0.1071428571,0,0,0.26,0.26
0.0264150458,0.1003861004,0,0,0.27,0.27
0.0225274513,0.0849420849,0,0,0.28,0.28
0.0190904059,0.0743243243,0,0,0.29,0.29
0.0174555566,0.0675675676,0,0,0.3,0.3
0.0162970019,0.0632239382,0,0,0.31,0.31
0.0140571296,0.0540540541,0,0,0.32,0.32
0.0124094075,0.0482625483,0,0,0.33,0.33
0.0111993615,0.0448841699,0,0,0.34,0.34
0.0105299744,0.0424710425,0,0,0.35,0.35
0.0097962231,0.0390926641,0,0,0.36,0.36
0.0077880617,0.0337837838,0,0,0.37,0.37
0.0071444203,0.0304054054,0,0,0.38,0.38
0.0062690679,0.027992278,0,0,0.39,0.39
0.0057412819,0.0275096525,0,0,0.4,0.4
0.0054194611,0.0275096525,0,0,0.41,0.41
0.0047114555,0.0246138996,0,0,0.42,0.42
0.0043381435,0.0236486486,0,0,0.43,0.43
0.0035915194,0.0202702703,0,0,0.44,0.44
0.0033469356,0.0188223938,0,0,0.45,0.45
0.0029478779,0.0164092664,0,0,0.46,0.46
0.0028706409,0.0164092664,0,0,0.47,0.47
0.0026260572,0.01496139,0,0,0.48,0.48
0.0024844561,0.0144787645,0,0,0.49,0.49
0.0021626353,0.0115830116,0,0,0.5,0.5
0.0020081614,0.0106177606,0,0,0.51,0.51
0.0017507048,0.0096525097,0,0,0.52,0.52
0.001583358,0.0091698842,0,0,0.53,0.53
0.0015447395,0.0091698842,0,0,0.54,0.54
0.0015447395,0.0091698842,0,0,0.55,0.55
0.0012357916,0.0082046332,0,0,0.56,0.56
0.001055572,0.0077220077,0,0,0.57,0.57
0.0008753524,0.0062741313,0,0,0.58,0.58
0.0007466241,0.0043436293,0,0,0.59,0.59
0.0006951328,0.0038610039,0,0,0.6,0.6
0.00068226,0.0038610039,0,0,0.61,0.61
0.0006693871,0.0033783784,0,0,0.62,0.62
0.0006693871,0.0033783784,0,0,0.63,0.63
0.0005921501,0.0019305019,0,0,0.64,0.64
0.000527786,0.0019305019,0,0,0.65,0.65
0.000450549,0.0019305019,0,0,0.66,0.66
0.0003990577,0.0019305019,0,0,0.67,0.67
0.0003733121,0.0019305019,0,0,0.68,0.68
0.0003733121,0.0019305019,0,0,0.69,0.69
0.0003089479,0.0019305019,0,0,0.7,0.7
0.0003089479,0.0019305019,0,0,0.71,0.71
0.0003089479,0.0019305019,0,0,0.72,0.72
0.0002574566,0.0014478764,0,0,0.73,0.73
0.0002188381,0.0014478764,0,0,0.74,0.74
0.0001930924,0.0014478764,0,0,0.75,0.75
0.0001930924,0.0014478764,0,0,0.76,0.76
0.0001673468,0.000965251,0,0,0.77,0.77
0.0001029826,0.000965251,0,0,0.78,0.78
0.0001029826,0.000965251,0,0,0.79,0.79
0.0001029826,0.000965251,0,0,0.8,0.8
0.0001029826,0.000965251,0,0,0.81,0.81
0.0001029826,0.000965251,0,0,0.82,0.82
9.01098e-05,0.000965251,0,0,0.83,0.83
7.7237e-05,0.0004826255,0,0,0.84,0.84
5.14913e-05,0.0,0,0,0.85,0.85
5.14913e-05,0.0,0,0,0.86,0.86
2.57457e-05,0.0,0,0,0.87,0.87
2.57457e-05,0.0,0,0,0.88,0.88
2.57457e-05,0.0,0,0,0.89,0.89
2.57457e-05,0.0,0,0,0.9,0.9
2.57457e-05,0.0,0,0,0.91,0.91
2.57457e-05,0.0,0,0,0.92,0.92
2.57457e-05,0.0,0,0,0.93,0.93
2.57457e-05,0.0,0,0,0.94,0.94
1.28728e-05,0.0,0,0,0.95,0.95
0.0,0.0,0,0,0.96,0.96
0.0,0.0,0,0,0.97,0.97
0.0,0.0,0,0,0.98,0.98
0.0,0.0,0,0,0.99,0.99
