11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
91651c,9637b2,3e1853,06d391,8ccc94,81cb92,a55d8d,4635b0,a7ef9a,f94f4c,848ccf,d9463f,45098e
1.21875,0.73125,0.35625,0.46875,0.50625,0.65625,0.6375,0.0375,1.1625,1.14375,3.20625,11/01/18,1.725
2.08125,1.06875,0.91875,0.54375,1.2375,0.43125,0.35625,0.15,1.1625,2.3625,,12/01/18,4.70625
0.4125,0.675,0.4875,1.0875,1.14375,0.1875,0.61875,0.7125,1.125,2.68125,,13/01/18,0.2625
0.76875,1.125,1.10625,0.99375,1.10625,0.99375,1.21875,0.1875,1.8375,3.58125,,14/01/18,1.125
0.39375,1.21875,0.69375,1.3125,1.2,1.575,0.20625,0.675,1.14375,1.74375,,15/01/18,3.4125
0.525,1.5,0.7125,1.85625,0.61875,2.34375,0.24375,0.01875,1.29375,,,16/01/18,4.65
0.73125,2.08125,1.44375,1.14375,1.125,1.25625,0.225,0.20625,0.69375,,,17/01/18,0.3
0.9375,0.99375,0.975,0.9,1.74375,1.36875,0.4875,0.2625,2.45625,,,18/01/18,1.66875
1.125,1.2375,0.91875,0.88125,1.575,2.90625,0.24375,0.1875,1.14375,,,19/01/18,1.14375
0.99375,1.4625,0.975,0.28125,2.11875,2.4,0.45,0.28125,,,,20/01/18,1.74375
1.35,2.34375,1.0125,0.7875,1.51875,2.8875,0.31875,0.2625,,,,21/01/18,3.20625
1.0125,2.60625,0.3375,2.1,2.86875,1.81875,0.825,0.28125,,,,,
1.0875,1.9875,0.76875,1.875,2.7,5.26875,0.1875,1.66875,,,,,
1.25625,1.33125,0.28125,2.175,2.98125,3.05625,0.24375,,,,,,
1.6875,1.33125,0.61875,1.7625,2.2125,3.84375,0.39375,,,,,,
3.43125,1.0125,0.9,3.54375,2.30625,6.4875,0.80625,,,,,,
3.61875,1.59375,2.30625,1.96875,3.675,2.1,0.3,,,,,,
6.91875,1.55625,1.81875,1.85625,1.78125,1.93125,,,,,,,
1.59375,1.425,1.65,2.41875,2.90625,2.53125,,,,,,,
4.78125,3.16875,2.68125,4.25625,2.26875,2.53125,,,,,,,
3.16875,2.2875,0.65625,3,2.41875,4.65,,,,,,,
6.84375,3,0.61875,2.64375,2.49375,,,,,,,,
6.95625,2.11875,2.11875,2.08125,4.3125,,,,,,,,
9.15,1.65,2.98125,2.625,4.51875,,,,,,,,
8.30625,0.76875,1.125,1.9125,3.4125,,,,,,,,
6.24375,0.6,2.025,1.2,,,,,,,,,
4.63125,0.65625,1.2,1.74375,,,,,,,,,
4.5,2.86875,3.65625,1.575,,,,,,,,,
3.20625,8.775,0.99375,1.125,,,,,,,,,
3.7125,5.08125,0.35625,,,,,,,,,,
4.48125,10.63125,0.975,,,,,,,,,,
3.4125,10.06875,0.1875,,,,,,,,,,
0.7875,8.86875,0.2625,,,,,,,,,,
0.99375,6.88125,,,,,,,,,,,
3.58125,9.1125,,,,,,,,,,,
4.65,6.76875,,,,,,,,,,,
1.725,4.70625,,,,,,,,,,,
