"Br9901, x; troligen Br0701, x","Br9901, y","troligen Br0701, y"
45e869,f87d1c,aed891
2017-11-07 00:00:00,97.8558081055,97.0132389323
2017-11-08 00:00:00,98.6239737956,63.8051546224
2017-11-09 00:00:00,98.7044099935,64.7583235677
2017-11-10 00:00:00,98.9115332031,64.9473486328
2017-11-11 00:00:00,98.9215877279,65.3354532878
2017-11-12 00:00:00,98.8471842448,65.7979614258
2017-11-13 00:00:00,98.7808243815,65.1846354167
2017-11-14 00:00:00,98.4671232096,64.0444523112
2017-11-15 00:00:00,98.3163053385,62.8258439128
2017-11-16 00:00:00,98.6098974609,62.586546224
2017-11-17 00:00:00,98.6219628906,62.8238330078
2017-11-18 00:00:00,98.6199519857,62.6669824219
2017-11-19 00:00:00,98.414839681,63.6543367513
2017-11-20 00:00:00,97.8537972005,62.9746508789
2017-11-21 00:00:00,97.3289510091,62.892203776
2017-11-22 00:00:00,97.9462988281,62.7433968099
2017-11-23 00:00:00,97.6205322266,62.970629069
2017-11-24 00:00:00,98.1554329427,63.1958504232
2017-11-25 00:00:00,97.8618408203,60.6902628581
2017-11-26 00:00:00,97.7070011393,58.4722347005
2017-11-27 00:00:00,98.2238037109,57.0987866211
2017-11-28 00:00:00,98.2358691406,56.020941569
2017-11-29 00:00:00,98.1534220378,54.3498795573
2017-11-30 00:00:00,98.0146695964,51.5205362956
2017-12-01 00:00:00,97.6305867513,48.6208113607
2017-12-02 00:00:00,97.4817797852,47.178992513
2017-12-03 00:00:00,97.4013435872,45.9563623047
2017-12-04 00:00:00,96.9529117839,45.2022729492
2017-12-05 00:00:00,96.6532869466,44.8161791992
2017-12-06 00:00:00,96.7236686198,45.0414005534
2017-12-07 00:00:00,96.7196468099,45.2726546224
2017-12-08 00:00:00,96.7055704753,45.5018977865
2017-12-09 00:00:00,96.2068660482,46.794909668
2017-12-10 00:00:00,95.9555029297,46.4128377279
2017-12-11 00:00:00,95.8810994466,48.0899324544
2017-12-12 00:00:00,95.4085367839,47.1830143229
2017-12-13 00:00:00,94.8796687826,46.4168595378
2017-12-14 00:00:00,94.9560831706,46.949749349
2017-12-15 00:00:00,94.6604801432,46.8753458659
2017-12-16 00:00:00,95.056628418,46.4168595378
2017-12-17 00:00:00,93.8179109701,45.3490690104
2017-12-18 00:00:00,94.1255794271,43.8227921549
2017-12-19 00:00:00,92.8285457357,42.6082055664
2017-12-20 00:00:00,92.8265348307,42.0692830404
2017-12-21 00:00:00,91.7607552083,41.9908577474
2017-12-22 00:00:00,91.541566569,43.2154988607
2017-12-23 00:00:00,91.0850911458,41.8420507813
2017-12-24 00:00:00,90.845793457,42.0733048503
2017-12-25 00:00:00,89.7759920247,41.9989013672
2017-12-26 00:00:00,89.3195166016,42.4473331706
2017-12-27 00:00:00,89.1626660156,42.9822338867
2017-12-28 00:00:00,88.9374446615,43.356262207
2017-12-29 00:00:00,88.6981469727,42.8334269206
2017-12-30 00:00:00,88.3985221354,41.0758959961
2017-12-31 00:00:00,88.3241186523,40.3177848307
2018-01-01 00:00:00,88.1612353516,40.9150236003
2018-01-02 00:00:00,87.7912288411,39.9296801758
2018-01-03 00:00:00,87.332742513,37.3315909831
2018-01-04 00:00:00,87.1718701172,37.721706543
2018-01-05 00:00:00,87.177902832,38.7915079753
2018-01-06 00:00:00,87.1115429688,37.9469278971
2018-01-07 00:00:00,87.3387752279,38.839769694
2018-01-08 00:00:00,86.7254492188,39.7084806315
2018-01-09 00:00:00,86.3433772786,39.5496191406
2018-01-10 00:00:00,87.4192114258,-0.6021199544
2018-01-11 00:00:00,85.8848909505,65.5063802083
2018-01-12 00:00:00,85.5068408203,74.9676879883
