"Cloud, x; Physical, x; GPU, x","Cloud, y","Physical, y","GPU, y"
848877,948147,64db20,a27aa5
2017-10-15 06:35:00,84.0,73.6842105263,50.0
2017-10-15 07:05:00,83.9166666667,73.2456140351,50.0
2017-10-15 07:35:00,83.5,95.1754385965,50.0
2017-10-15 08:05:00,83.5,88.1578947368,50.0
2017-10-15 08:35:00,83.4166666667,88.1578947368,50.0
2017-10-15 09:05:00,83.8333333333,88.1578947368,50.0
2017-10-15 09:35:00,84.0833333333,96.9298245614,50.0
2017-10-15 10:05:00,83.0833333333,96.9298245614,50.0
2017-10-15 10:35:00,82.6666666667,96.9298245614,50.0
2017-10-15 11:05:00,82.3333333333,96.9298245614,50.0
2017-10-15 11:35:00,82.3333333333,96.9298245614,50.0
2017-10-15 12:05:00,82.1666666667,96.9298245614,50.0
2017-10-15 12:35:00,82.0833333333,96.9298245614,50.0
2017-10-15 13:05:00,81.9166666667,96.9298245614,50.0
2017-10-15 13:35:00,81.1666666667,96.9298245614,50.0
2017-10-15 14:05:00,81.5,96.9298245614,50.0
2017-10-15 14:35:00,82.0833333333,96.9298245614,50.0
2017-10-15 15:05:00,81.5833333333,96.9298245614,50.0
2017-10-15 15:35:00,80.6666666667,96.9298245614,50.0
2017-10-15 16:05:00,79.6666666667,94.7368421053,50.0
2017-10-15 16:35:00,78.8333333333,91.2280701754,50.0
2017-10-15 17:05:00,78.6666666667,91.2280701754,50.0
2017-10-15 17:35:00,81.6666666667,91.2280701754,50.0
2017-10-15 18:05:00,77.9166666667,91.2280701754,50.0
2017-10-15 18:35:00,80.1666666667,84.2105263158,50.0
2017-10-15 19:05:00,80.25,84.2105263158,50.0
2017-10-15 19:35:00,80.0833333333,84.2105263158,50.0
2017-10-15 20:05:00,80.0,84.2105263158,50.0
2017-10-15 20:35:00,79.5,84.2105263158,50.0
2017-10-15 21:05:00,79.0,87.7192982456,50.0
2017-10-15 21:35:00,78.8333333333,91.2280701754,50.0
2017-10-15 22:05:00,78.5,91.2280701754,50.0
2017-10-15 22:35:00,78.5,87.2807017544,50.0
2017-10-15 23:05:00,78.4166666667,83.7719298246,50.0
2017-10-15 23:35:00,77.9166666667,83.7719298246,50.0
2017-10-16 00:05:00,77.5833333333,83.7719298246,50.0
2017-10-16 00:35:00,77.3333333333,83.7719298246,50.0
2017-10-16 01:05:00,77.25,83.7719298246,50.0
2017-10-16 01:35:00,76.6666666667,83.7719298246,50.0
2017-10-16 02:05:00,76.4166666667,76.7543859649,50.0
2017-10-16 02:35:00,75.8333333333,76.7543859649,50.0
2017-10-16 03:05:00,75.5,76.7543859649,50.0
2017-10-16 03:35:00,75.0833333333,76.7543859649,50.0
2017-10-16 04:05:00,74.75,76.7543859649,50.0
2017-10-16 04:35:00,74.25,76.7543859649,50.0
2017-10-16 05:05:00,73.75,76.7543859649,50.0
2017-10-16 05:35:00,73.3333333333,67.9824561404,50.0
2017-10-16 06:05:00,73.4166666667,67.5438596491,50.0
2017-10-16 06:35:00,73.3333333333,66.6666666667,50.0
2017-10-16 07:05:00,72.8333333333,66.6666666667,50.0
2017-10-16 07:35:00,72.3333333333,64.9122807018,50.0
2017-10-16 08:05:00,76.0833333333,64.9122807018,50.0
2017-10-16 08:35:00,75.6666666667,64.9122807018,50.0
2017-10-16 09:05:00,74.4166666667,64.0350877193,50.0
2017-10-16 09:35:00,75.5833333333,92.5438596491,50.0
2017-10-16 10:05:00,75.5,91.6666666667,50.0
2017-10-16 10:35:00,75.25,96.4912280702,50.0
2017-10-16 11:05:00,75.5,96.9298245614,50.0
2017-10-16 11:35:00,75.3333333333,96.9298245614,50.0
2017-10-16 12:05:00,75.3333333333,96.9298245614,50.0
2017-10-16 12:35:00,76.1666666667,96.9298245614,50.0
2017-10-16 13:05:00,74.5,96.9298245614,50.0
2017-10-16 13:35:00,73.6666666667,96.9298245614,50.0
2017-10-16 14:05:00,72.8333333333,96.9298245614,50.0
2017-10-16 14:35:00,71.8333333333,96.9298245614,50.0
2017-10-16 15:05:00,81.9166666667,96.9298245614,50.0
2017-10-16 15:35:00,82.4166666667,96.9298245614,50.0
2017-10-16 16:05:00,81.6666666667,96.9298245614,50.0
2017-10-16 16:35:00,81.0,96.9298245614,50.0
2017-10-16 17:05:00,81.0,96.4912280702,50.0
2017-10-16 17:35:00,77.5,96.4912280702,50.0
2017-10-16 18:05:00,75.0,96.9298245614,50.0
2017-10-16 18:35:00,72.3333333333,95.1754385965,50.0
2017-10-16 19:05:00,78.1666666667,96.9298245614,50.0
2017-10-16 19:35:00,75.3333333333,96.4912280702,50.0
2017-10-16 20:05:00,78.0833333333,95.1754385965,50.0
2017-10-16 20:35:00,75.25,95.1754385965,50.0
2017-10-16 21:05:00,73.6666666667,95.1754385965,50.0
2017-10-16 21:35:00,74.0,95.1754385965,50.0
2017-10-16 22:05:00,73.3333333333,95.1754385965,50.0
2017-10-16 22:35:00,72.5,93.4210526316,50.0
2017-10-16 23:05:00,72.25,96.9298245614,50.0
2017-10-16 23:35:00,72.5,94.298245614,50.0
2017-10-17 00:05:00,72.25,89.0350877193,50.0
2017-10-17 00:35:00,72.0833333333,82.0175438596,50.0
2017-10-17 01:05:00,71.3333333333,78.5087719298,50.0
2017-10-17 01:35:00,71.5,75.0,50.0
2017-10-17 02:05:00,71.4166666667,75.0,50.0
2017-10-17 02:35:00,71.5833333333,78.5087719298,50.0
2017-10-17 03:05:00,71.75,76.7543859649,50.0
2017-10-17 03:35:00,71.6666666667,76.7543859649,50.0
2017-10-17 04:05:00,71.25,75.0,50.0
2017-10-17 04:35:00,71.0,75.0,50.0
2017-10-17 05:05:00,71.25,75.0,50.0
2017-10-17 05:35:00,71.75,75.0,50.0
2017-10-17 06:05:00,72.0833333333,78.5087719298,50.0
2017-10-17 06:35:00,71.1666666667,78.5087719298,50.0
2017-10-17 07:05:00,71.3333333333,76.7543859649,50.0
2017-10-17 07:35:00,71.25,75.0,50.0
2017-10-17 08:05:00,71.3333333333,75.0,50.0
2017-10-17 08:35:00,70.8333333333,71.4912280702,50.0
2017-10-17 09:05:00,71.0833333333,71.9298245614,50.0
2017-10-17 09:35:00,71.75,71.9298245614,50.0
2017-10-17 10:05:00,72.75,71.9298245614,50.0
2017-10-17 10:35:00,73.0,75.4385964912,50.0
2017-10-17 11:05:00,84.3333333333,77.1929824561,50.0
2017-10-17 11:35:00,73.0833333333,91.2280701754,50.0
2017-10-17 12:05:00,82.9166666667,92.5438596491,50.0
