"USD, labels","USD, values","Number, labels","Number, values"
e19107,e0ae95,4babae,8b4dc7
binance-coin = $19.77,19.7700062628,binance-coin,0.96135174
cardano = $0.0,0.0,cardano,0.00000000
litecoin = $21.16,21.1603653625,litecoin,0.07154815
cindicator = $8.65,8.6527,cindicator,50
tron = $16.72,16.7208,tron,100
coindash = $0.25,0.247361,coindash,1.00000000
bitcoin = $51.97,51.9713964,bitcoin,0.00309870
bytecoin-bcn = $7.33,7.3345692,bytecoin-bcn,444
verge = $0.18,0.176867,verge,1.00000000
ethereum = $4.5,4.501596384,ethereum,0.00403890
poet = $0.2,0.200478,poet,1.00000000
iota = $16.59,16.5851626,iota,3.99500000
