"CPU Usage, x; Memory Usage, x","CPU Usage, y","Memory Usage, y"
8b702f,50d339,adfbb6
2018-01-04 22:59:00,0,0
2018-01-04 23:59:00,0,0
2018-01-05 00:59:00,0,0
2018-01-05 01:59:00,0,0
2018-01-05 02:59:00,0,0
2018-01-05 03:59:00,0,0
2018-01-05 04:59:00,0,0
2018-01-05 05:59:00,0,0
2018-01-05 06:59:00,0,0
2018-01-05 07:59:00,0,0
2018-01-05 08:59:00,0,0
2018-01-05 09:59:00,0,0
2018-01-05 10:59:00,0,0
2018-01-05 11:59:00,0,0
2018-01-05 12:59:00,0,0
2018-01-05 13:59:00,0,0
2018-01-05 14:59:00,0,0
2018-01-05 15:59:00,0,0
2018-01-05 16:59:00,0,0
2018-01-05 17:59:00,0,0
2018-01-05 18:59:00,0,0
2018-01-05 19:59:00,0,0
2018-01-05 20:59:00,0,0
2018-01-05 21:59:00,0,0
2018-01-05 22:59:00,0,0
2018-01-05 23:59:00,0,0
2018-01-06 00:59:00,0,0
2018-01-06 01:59:00,0,0
2018-01-06 02:59:00,0,0
2018-01-06 03:59:00,0,0
2018-01-06 04:59:00,0,0
2018-01-06 05:59:00,0,0
2018-01-06 06:59:00,0,0
2018-01-06 07:59:00,0,0
2018-01-06 08:59:00,0,0
2018-01-06 09:59:00,0,0
2018-01-06 10:59:00,0,0
2018-01-06 11:59:00,0,0
2018-01-06 12:59:00,0,0
2018-01-06 13:59:00,0,0
2018-01-06 14:59:00,0,0
2018-01-06 15:59:00,0,0
2018-01-06 16:59:00,0,0
2018-01-06 17:59:00,0,0
2018-01-06 18:59:00,0,0
2018-01-06 19:59:00,0,0
2018-01-06 20:59:00,0,0
2018-01-06 21:59:00,0,0
2018-01-06 22:59:00,0,0
2018-01-06 23:59:00,0,0
2018-01-07 00:59:00,0,0
2018-01-07 01:59:00,0,0
2018-01-07 02:59:00,0,0
2018-01-07 03:59:00,0,0
2018-01-07 04:59:00,0,0
2018-01-07 05:59:00,0,0
2018-01-07 06:59:00,0,0
2018-01-07 07:59:00,0,0
2018-01-07 08:59:00,0,0
2018-01-07 09:59:00,0,0
2018-01-07 10:59:00,0,0
2018-01-07 11:59:00,0,0
2018-01-07 12:59:00,0,0
2018-01-07 13:59:00,0,0
2018-01-07 14:59:00,0,0
2018-01-07 15:59:00,0,0
2018-01-07 16:59:00,0,0
2018-01-07 17:59:00,0,0
2018-01-07 18:59:00,0,0
2018-01-07 19:59:00,0,0
2018-01-07 20:59:00,0,0
2018-01-07 21:59:00,0,0
2018-01-07 22:59:00,0,0
2018-01-07 23:59:00,0,0
2018-01-08 00:59:00,0,0
2018-01-08 01:59:00,0,0
2018-01-08 02:59:00,0,0
2018-01-08 03:59:00,0,0
2018-01-08 04:59:00,0,0
2018-01-08 05:59:00,0,0
2018-01-08 06:59:00,0,0
2018-01-08 07:59:00,0,0
2018-01-08 08:59:00,0,0
2018-01-08 09:59:00,0,0
2018-01-08 10:59:00,0,0
2018-01-08 11:59:00,0,0
2018-01-08 12:59:00,0,0
2018-01-08 13:59:00,0,0
2018-01-08 14:59:00,0,0
2018-01-08 15:59:00,0,0
2018-01-08 16:59:00,0,0
2018-01-08 17:59:00,0,0
2018-01-08 18:59:00,0,0
2018-01-08 19:59:00,0,0
2018-01-08 20:59:00,0,0
2018-01-08 21:59:00,0,0
2018-01-08 22:59:00,0,0
2018-01-08 23:59:00,0,0
2018-01-09 00:59:00,0,0
2018-01-09 01:59:00,0,0
2018-01-09 02:59:00,0,0
2018-01-09 03:59:00,0,0
2018-01-09 04:59:00,0,0
2018-01-09 05:59:00,0,0
2018-01-09 06:59:00,0,0
