x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49],z[50],z[51],z[52],z[53],z[54],z[55],z[56],z[57],z[58],z[59],z[60],z[61],z[62],z[63],z[64],z[65],z[66],z[67],z[68],z[69],z[70],z[71],z[72],z[73],z[74],z[75],z[76],z[77],z[78],z[79],z[80],z[81],z[82],z[83],z[84],z[85],z[86],z[87],z[88],z[89],z[90],z[91],z[92],z[93],z[94],z[95],z[96],z[97],z[98],z[99]
49c231,9a1d2f,80a190,9c3153,147cea,59579e,285d7c,d54391,74628d,3e9101,19ff69,7d5b60,f27e87,d4de81,40e382,010f84,7f8ec1,d96bf7,00d830,1a92d2,3745cc,1685cf,87b921,e91893,ca5ccf,9d2a38,7d2707,72f3a4,9a5515,3edf27,1e6151,978c68,c32616,97ad18,d5d619,d22148,b8b413,d498da,b31fe2,0796dd,3a0ed9,275417,e8d2b1,bcc589,4bff1e,a48358,cc4548,682f49,d15b30,ef52a4,9473de,049ea0,4b6765,72baf2,03148f,643226,02fe50,d568f3,58b434,4375ca,43d621,3748a7,382e1b,63ae2f,c12132,72781e,0af61f,9c90ea,e35b0f,803dfa,eddd9d,bd4105,d747cb,c3e37c,60e9d4,c37faf,8320f7,5ce952,492b0c,1c1394,a9b230,25712a,465577,2e6d89,51334e,05fb55,d1578e,26672f,e97847,54abf0,2d2eab,61c0b9,eb1163,9ef0b6,ca024f,fecfe6,5044d8,999431,655c92,587195,6e86d8,add83c
-122.6,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.527534898,171.5277239649,161.1102354772,172.0883571355,178.5400530266,,215.7458563536,218.024691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5916666667,47.1083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,186.8571428571,,160,184.4007510534,183.6505544546,160,170.2902797312,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5833333333,47.1166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.1508445418,204.4494040506,,,,,,,,191.6391716392,233.5294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.575,47.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8508287293,,,,,,,263.1901840491,273.4375,241.116751269,,,,,,,,259.900990099,209.8039215686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5666666667,47.1333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,160,,,207.0063694268,,261.2797619048,,164.8601398601,196.2962962963,,225.3378378378,,,210.332103321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5583333333,47.1416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.2191780822,,,,,,,,,,,,233.6397479954,,,233.0508474576,186.6011813046,,,,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.55,47.15,,,,,,,,,,,,,,,,,,,,,,,184.3929735045,160,160,,,,,160,,,,160,160,160,160,,,,,,,,,167.7852348993,183.125,,160,,,166.5828402367,,,,160,,160,,173.814229249,195.4545454545,,221.9730941704,,,259.5628415301,,168.3486238532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5416666667,47.1583333333,,,,,,,,,,,,,,,,,,,,,,,160,160,160,160,160,183.2069365313,,160,160,,229.4303797468,160,160,160.9184090384,160.9491865755,230.6613780919,,,202.1276595745,,,332.1033210332,,175.4196775987,,,160,326.455026455,,,182.6484018265,,,,164.9017348106,160,169.1431070179,,,,,,,,,,176.6355140187,176.6355140187,243.3628318584,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5333333333,47.1666666667,,,,,,,,,,,,,,,,,,,,160,,,160,160,160,185.7787816749,160,176.3228438228,160,160,160,160,162.5289016505,,173.5537190083,,,,,,,160,160.6918238994,,,,,,,,,208.7905625291,,391.7748917749,,,270.0764818356,272.7272727273,160,,,,,,,,231.3432835821,,308.9005235602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.525,47.175,,,,,,,,,,,,,,,,,,176.7973614562,160,160,160,160,160,164.2057903558,161.9230342279,,184.5808649289,191.5608078399,160,160,160,,196.1904761905,198.6160714286,160,160,175.9259259259,,,,,160,160,,,,,,,,,,,,,,,,,,,,,,,,,,227.2727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5166666667,47.1833333333,,,,,,,,,,,,,,,,160,160,160,160,180.0699300699,,,,165.4088050314,160,160,160,197.8136352216,161.5645046444,160,160,,,171.9942842442,160,166.3531745747,160,160,160,,,,,,,177.1013389994,206.3879003559,,,183.8709677419,,,,182.5842696629,,,,,,223.3423670924,,,,,,,,,163.2653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5083333333,47.1916666667,,,,,,,,,,,,,,160,160,160,160,160,160,,,,,,282.9207920792,160,160,160,189.7101316651,,,,224.7244899261,200.7671703103,167.3826324701,,160,160,160,,160,,380.4511278195,,,,263.3744855967,240.6210526316,160,237.2881355932,178.1105115907,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5,47.2,,,,,,,,,,,,,160,160,160,160,160,160,160,160,160,,,160,,160,160,160,164.2201834862,,,,168.5049019608,180.4403796125,160,169.0647482014,,,,,168.0942184154,197.7598678057,198.559339814,,192.4993384143,160,170.4661468284,189.0879316963,167.1364905498,188.829787234,,174.9186857319,186.3141025641,,,,,,237.6200120012,234.0493697479,232.1428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4916666667,47.2083333333,,,,,,,,,,,,160,160,160,160,160,160,160,160,160,160,183.2948645978,,,,,160,165.3471824941,182.2585795023,164.7008373818,,160,180.4378608097,160,173.6678752077,160,166.182327632,160,160,,,,160,210.5263157895,160,,166.5598177014,,160,178.9132882883,193.1811058525,,,,201.9568276643,190.0,,162.6596439311,164.3835616438,165.0812101969,173.6532686349,,,,,,,,,,,,,200.2480392157,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4833333333,47.2166666667,,,,,,,,,,,,218.2203389831,160,160,160,160,160,160,174.0389911298,160,160,171.607333454,175.0,,308.0024813896,194.4567170873,177.5503493503,160,168.6815499902,164.2961876833,,,,175.6438169175,160.0703142124,165.7323886569,160,160,160,160,,,160,160,160,169.7196629676,,171.4535143591,183.4394904459,181.6239316239,170.6292438454,,,,207.8500561035,,,,,,,,,,,,,356.1643835616,,,,274.3902439024,,,,265.243902439,,,,,,,,,,,,,,,,,,,,,,,,
-122.475,47.225,,,,,,,,,,,,,,174.7574739772,234.2125712853,178.8167286397,160,160,175.462844848,178.6853868044,160,160,,173.1345305132,160,174.5604785713,160,160,160,224.5989304813,,,,161.6512345679,160.4410628882,160,160,160,160,160,160,,,172.8184004176,170.2620087336,251.8018018018,,178.3333333333,244.5188853612,210.1351351351,160,173.7226277372,,160,203.3743310257,307.2174738841,,,160,160,,,,,,,,,187.8612716763,,,,207.8313253012,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4666666667,47.2333333333,,,,,,,,,,,,,,,,449.21875,160,184.444072804,176.9778710029,181.1105311673,160,160,160,162.3158872567,160,160,160,160,160,160,,,,171.819586458,160,,160,160,160,160,160,160,,,194.4269537406,171.5776699029,,183.6671520991,272.3880597015,201.8518518519,160,160,160,160,289.7086099262,,235.9079304412,,,,,,,,,,274.4075829384,,,198.5645933014,,,173.3870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4583333333,47.2416666667,,,,,,,,,,,,,,,,,,,,,241.7373302089,174.4630432106,160,160,160,160,167.0229179405,160,,,,,,162.8063394959,160,,160,,160,160,160,160,,160,,,160,,189.1854118137,165.1238182061,166.1934410707,160,160.6096163418,160,160,165.2418709317,179.3640269097,168.514523499,,171.875,,,,,,200.9661835749,214.8484528819,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.45,47.25,,,387.0198198198,387.0198198198,,227.5229357798,293.6540334057,,,,,,,,,,,,,,,309.1382802458,162.9036410565,160,192.9660702114,172.1399407493,176.1871414177,170.5374100789,166.2398921833,,,,,,160,165.5786653939,166.9489015491,160,160,160,160,160,160,160,,163.6363636364,312.5,160,160,160,160,179.8969072165,160,170.4003411419,167.7497516789,175.9423864648,160,165.6153230309,166.4967870647,166.0855350373,160,203.7133100866,160,,,,,233.7186520376,215.7360406091,209.3023255814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4416666667,47.2583333333,294.1176470588,,,,286.7647058824,273.4896683245,,,,,,,,,,,,,,,268.0412371134,206.5471270008,168.9068531164,160,160,160,160,160,,,,,,,176.0593542364,177.2901799909,165.1157236978,160,160,160,195.2862105752,214.5897529743,197.6265948398,,160,177.6417766676,166.8165218101,160,160.5053131115,166.7066517427,175.2142985893,160,197.7755017338,160,163.2014770097,160,176.5499517632,163.2057718295,,,,224.0855773063,160,172.8367165041,,266.7984189723,,,,247.0348837209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4333333333,47.2666666667,,,,,378.3068783069,,,,210.1727782657,290.8917374056,,,,,,,,,,,,192.6847313893,160,165.5052782887,160,160,160,160,,,,,163.7262537118,179.6597030908,160,160,205.21131857,165.1751050907,160,160,227.15448499,180.7783002267,162.6898885306,170.8053691275,160,160,173.3309680019,160,160,165.6304135584,198.0682898361,160,176.8799698022,163.3774497023,188.9203998399,298.0297472809,160,163.0195811261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.425,47.275,,186.5060240964,,,,,,,227.8325123153,227.8325123153,,,,,,,,,,,163.630359683,172.5311362506,174.0008286995,160,160,160,160,,,,160,227.3863050124,165.0464776072,160,160,160,160,160,160,171.7897834914,160,163.3054869878,160,160,160,160,183.2246521312,160,160,181.2047502753,,170.4119850187,,178.3212560386,174.8353021786,160.7845940477,160,163.2364286829,526.7857142857,238.7131329195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4166666667,47.2833333333,,,399.5264531162,,372.6708074534,,484.1754385965,309.2105263158,,,,287.4251497006,,,,,,,,,613.2478632479,181.6937696327,182.9634814673,163.5120170581,160,161.9164293644,160,,,,,160,180.7323944172,160,160,160,160,160,160,160,171.9063058114,160,160,,,160,,160,160,189.2696863942,191.0909778353,302.7888446215,,187.3837556384,165.0504387485,171.7796862384,174.0329991988,175.4716981132,,273.955862736,267.1568627451,206.6420664207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4083333333,47.2916666667,,,,289.1304347826,301.4705882353,210.5882352941,,222.5,,319.1489361702,342.2535211268,,,,,,,,,,207.8185328185,160,160,160,160,,,,,,,,,,164.6318425976,164.823331456,160,160,160,160,160,,,178.5714285714,,183.0985915493,,,,206.7084942085,160,,222.2222222222,222.4576271186,,,190.6840556295,192.8392857143,198.3720930233,228.0193236715,,175.3846153846,,224.2152466368,175.8916487541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4,47.3,,,,,271.4535841276,503.7313432836,285.4054054054,,189.6551724138,235.8914159941,,,,,,,,,,,234.0649853338,187.8038394694,160,,160,160,,209.7014925373,,,,,,266.6666666667,160,160,160,160,166.1200219196,160,160,,,220.8737864078,190.0,,160.5504587156,,226.8907563025,,,162.9464285714,227.8225806452,,171.0526315789,173.7411621146,195.9187206527,166.5136113777,,303.3333333333,246.7948717949,,200.1053438039,,229.7714078374,181.3471502591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3916666667,47.3083333333,,238.6363636364,,593.75,252.5168540425,336.9665543168,483.0434782609,281.5313874838,,,,,,,,,,,,181.207490209,194.1931128548,160,164.2949787055,160,161.5665912823,160,,237.2549019608,,,,,,374.7409965466,162.2519418856,160,174.0458870124,160,164.3329813952,160,160,160,202.3333333333,,,,,,172.9838709677,339.2205339195,229.2134831461,371.1538461538,289.9166367516,160,,,202.4774774775,,,252.6952780229,,209.4972067039,516.0550458716,,,205.4801536492,,259.8290598291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3833333333,47.3166666667,270.7182320442,160,,,,,172.001550459,414.6341463415,,,,,,,,,,,309.4922951319,203.1574237214,170.5855667691,161.0006819049,168.4342142066,160,160,164.5233101339,228.7804878049,,,,,,,175.5555555556,160,167.2391807353,160.9172205299,160,177.5791180732,183.3620384028,176.2323220374,166.1667607277,195.8452629011,,,,,,190.1499724591,,404.7297297297,263.9624443588,160,160,,190.7894736842,160,226.457494672,247.5166062802,160,,205.5288461538,,,,160,330.1886792453,245.7532051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.375,47.325,,,,,,,264.0,,,,,,,,,,,,215.8084919911,213.1440587063,182.0104088457,177.9933034925,,,197.9111879544,206.1362303988,281.4684087937,,,,,,,,160,192.5072570078,171.7386763428,175.019844615,235.6553928902,163.4966321785,179.6978370863,168.6574963428,181.9202227998,,,,228.3783783784,180.1661129568,263.1686887618,,246.2222222222,198.0986111111,246.9135802469,,238.0256232275,,334.793814433,193.3054393305,,,346.3892288862,,,,,,,,,,,,,,,,,,231.3725490196,231.3725490196,,,,,,,,,,,,,,,,,,,,
-122.3666666667,47.3333333333,,,,261.1731843575,220.3892597774,650,266.0585647216,,,,,,,,,,,426.716921647,231.3787570181,225.240607561,178.618367316,,,,,188.6573037557,165.3538240081,180.4380403597,,,,,,,,171.845323288,176.0495939881,161.5319202009,160,160,168.4956178454,160,174.1456058897,171.1359172963,169.9982405992,160.2996812043,164.4743573918,160,,260.0427350427,190.621564482,,,,,,,213.1044776119,180.7692307692,369.2946058091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0430107527,,,,,,,,
-122.3583333333,47.3416666667,248.3256053581,,227.7227722772,272.9095074456,259.5304232804,250.8654181185,262.7050820328,,,,,,,,468.2450483628,572.3690103,194.8042405858,261.8292552403,239.9703271698,206.3380472714,160,,,,,215.6101130283,193.2179942472,160,,,,,,,171.169655938,160,172.3500991315,182.3322871321,183.25018303,200.0500955602,198.2173237632,186.1606146476,191.1830561702,192.9017705399,169.7642616569,166.0139746778,174.5098039216,160,170.4545454545,218.6403630817,197.3289116672,160,,,,203.0769230769,200.3154574132,,174.4471744472,,,,238.0068128946,,,,,,,,,,,,,,,,,,,,,,,,211.5583315987,205.9559015446,253.7396176808,233.5784313725,,332.0,415.0579150579,315.9638554217,,,,,,
-122.35,47.35,,,,,,,314.0057095112,,,,,,,,391.2495939571,350.5820870272,250.5146231623,206.8092367858,219.9486440987,277.337740858,160,,,,197.8922716628,176.4126797008,160,174.9016067008,,,,,,,164.219830711,162.3149840472,160,160.1032820891,196.1776289287,173.5111745768,176.8201207903,185.2817228848,174.5596732107,174.153962047,163.6627543957,179.2852916865,,,,182.6376645183,160,236.8421052632,204.3859649123,,,160,,258.85396521,297.506842776,268.5026882559,,226.6795036371,163.4598128064,,,,,,,,,,,,,,,,,,,,,,,,273.8341968912,177.5280898876,347.5935828877,203.3333333333,204.210496357,,,,,245.0592885375,,,,
