"Following, x","Following, y","Followers, x","Followers, y"
c1e8b6,9d4152,0b4ae8,ca8e2f
2017-12-03 16:47:44.045011,6489,2017-12-03 16:47:44.046494,5560
2017-12-03 16:50:41.558150,6492,2017-12-03 16:50:41.559849,5560
2017-12-03 17:00:22.891524,6500,2017-12-03 17:00:22.892850,5560
2017-12-03 17:02:44.867942,6502,2017-12-03 17:02:44.869511,5560
2017-12-03 17:03:58.166011,6503,2017-12-03 17:03:58.167500,5560
2017-12-03 21:00:07.118579,6616,2017-12-03 21:00:07.123819,5577
2017-12-04 03:00:06.644888,6616,2017-12-04 03:00:06.653233,5582
2017-12-04 09:00:05.439452,6738,2017-12-04 09:00:05.573624,5595
2017-12-04 15:00:05.811690,7071,2017-12-04 15:00:05.815408,5616
2017-12-04 21:00:05.259666,7243,2017-12-04 21:00:05.263206,5641
2017-12-05 03:00:06.992288,7243,2017-12-05 03:00:06.995843,5662
2017-12-05 09:00:07.644386,7242,2017-12-05 09:00:07.648200,5668
2017-12-05 15:00:07.471812,7243,2017-12-05 15:00:07.479602,5672
2017-12-05 21:00:05.397550,7240,2017-12-05 21:00:05.401366,5678
2017-12-06 03:00:06.331199,7240,2017-12-06 03:00:06.334077,5681
2017-12-06 09:00:05.806908,7241,2017-12-06 09:00:05.808549,5684
2017-12-06 15:00:05.750490,7242,2017-12-06 15:00:05.752035,5687
2017-12-06 21:00:05.223763,7244,2017-12-06 21:00:05.226876,5691
2017-12-07 03:00:05.049065,7244,2017-12-07 03:00:05.050744,5693
2017-12-07 09:00:05.457191,7244,2017-12-07 09:00:05.459029,5696
2017-12-07 15:00:05.562967,7245,2017-12-07 15:00:05.564637,5700
2017-12-07 21:00:05.789629,7246,2017-12-07 21:00:05.791342,5704
2017-12-08 02:42:24.281349,6850,2017-12-08 02:42:24.285635,5707
2017-12-08 03:00:05.421671,6850,2017-12-08 03:00:05.423400,5707
2017-12-08 09:00:05.714391,6770,2017-12-08 09:00:05.716417,5705
