"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
d3f959,8c8bcd,097a1f,114c2a,81e8fd
1,0.1,0.0,Cluster : 1 (Size : 346)<br>eg Vector : 1|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,35.6701030928
2,0.1,0.0,Cluster : 2 (Size : 261)<br>eg Vector : 1|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,26.9072164948
3,0.1,0.0,Cluster : 3 (Size : 393)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,40.5154639175
4,0.1,0.0,Cluster : 4 (Size : 453)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,46.7010309278
5,0.1,0.0,Cluster : 5 (Size : 242)<br>eg Vector : 1|0.23809523809523808|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,24.9484536082
6,0.1,0.0,Cluster : 6 (Size : 276)<br>eg Vector : 0|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,28.4536082474
7,0.1,0.0,Cluster : 7 (Size : 249)<br>eg Vector : 1|0.2857142857142857|0|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,25.6701030928
8,0.1,0.0,Cluster : 8 (Size : 201)<br>eg Vector : 1|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.7216494845
9,0.1,0.0,Cluster : 9 (Size : 278)<br>eg Vector : 0|0.2857142857142857|0|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,28.6597938144
10,0.1,0.0,Cluster : 10 (Size : 204)<br>eg Vector : 0|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,21.0309278351
11,0.1,0.0,Cluster : 11 (Size : 201)<br>eg Vector : 0|0.19047619047619047|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.7216494845
12,0.1,0.0,Cluster : 12 (Size : 216)<br>eg Vector : 0|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,22.2680412371
13,0.1,0.0,Cluster : 13 (Size : 207)<br>eg Vector : 0|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,21.3402061856
14,0.1,0.0,Cluster : 14 (Size : 200)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.618556701
15,0.1,0.0,Cluster : 15 (Size : 200)<br>eg Vector : 1|0.23809523809523808|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.618556701
16,0.1,0.0,Cluster : 16 (Size : 201)<br>eg Vector : 1|0.14285714285714285|1|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.7216494845
17,0.1,0.0,Cluster : 17 (Size : 202)<br>eg Vector : 0|0.09523809523809523|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.824742268
18,0.1,0.0,Cluster : 18 (Size : 201)<br>eg Vector : 0|0.14285714285714285|0|0|0|0|0|0|0...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.7216494845
19,0.1,0.0,Cluster : 19 (Size : 200)<br>eg Vector : 1|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.618556701
20,0.1,0.0,Cluster : 20 (Size : 200)<br>eg Vector : 1|0.2857142857142857|0|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.618556701
21,0.1,0.0,Cluster : 21 (Size : 200)<br>eg Vector : 0|0.23809523809523808|1|1|0|0|0|0|1...<br>Obs Prob : 0.0%<br>Pred Prob : 0.1%,20.618556701
22,0.2,0.0,Cluster : 22 (Size : 237)<br>eg Vector : 0|0.047619047619047616|0|0|0|0|0|0|...<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,24.4329896907
