"Volts, x; Current, x; Temperature, x; Power, x","Volts, y; Temperature, y; Power, y","Current, y"
d43e44,bf41f0,75864c
2018-01-12 19:10:04.261597,0.0,0.0
2018-01-12 19:15:04.373119,0.0,0.0
2018-01-12 19:20:04.566562,0.0,0.0
2018-01-12 19:25:04.762327,0.0,0.0
2018-01-12 19:30:04.931287,0.0,0.0
2018-01-12 19:35:05.073835,0.0,0.0
2018-01-12 19:40:05.216875,0.0,0.0
2018-01-12 19:45:05.396676,0.0,0.0
2018-01-12 19:50:05.555326,0.0,0.0
2018-01-12 19:55:05.733498,0.0,0.0
2018-01-12 20:00:05.914986,0.0,0.0
2018-01-12 20:05:06.095532,0.0,0.0
