"ripple, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
d87de3,5c1555,a0db00,2176ad,1f1411,afc68d,58f179,d979d0,868712,9e2445,e098fe
2013-08-04,0.005882,0.005927,0.005874,0.005874,,,,#17BECF,,
2013-08-05,0.005613,0.00598,0.005613,0.005875,,,,#7F7F7F,,
2013-08-06,0.00468,0.005661,0.004629,0.005637,,,,#7F7F7F,,
2013-08-07,0.004417,0.004682,0.004333,0.004669,,,,#7F7F7F,,
2013-08-08,0.004254,0.004424,0.004175,0.004397,,,,#7F7F7F,,
2013-08-09,0.004291,0.004367,0.004253,0.004257,,,,#17BECF,,
2013-08-10,0.004314,0.004366,0.004279,0.004291,,,,#17BECF,,
2013-08-11,0.004415,0.004421,0.0043,0.004314,0.00473325,,,#17BECF,,
2013-08-12,0.004449,0.00452,0.004359,0.004414,0.004554125,,,#17BECF,,
2013-08-13,0.004245,0.004463,0.004171,0.004463,0.004383125,,,#7F7F7F,0.0058407674,0.0034712326
2013-08-14,0.003788,0.004267,0.003785,0.004267,0.004271625,,,#7F7F7F,0.0053823422,0.0035108578
2013-08-15,0.003092,0.003804,0.003067,0.003788,0.004106,,,#7F7F7F,0.00509117,0.00329783
2013-08-16,0.003134,0.003162,0.002875,0.003082,0.003966,,,#17BECF,0.0050853084,0.0029944916
2013-08-17,0.005671,0.005684,0.003138,0.003138,0.0041385,,,#17BECF,0.0056289345,0.0027016655
2013-08-18,0.005617,0.006263,0.005585,0.005687,0.004301375,,,#7F7F7F,0.0060315706,0.0025716294
2013-08-19,0.00526,0.005839,0.005223,0.005587,0.004407,,,#7F7F7F,0.0062313264,0.0025656736
2013-08-20,0.006098,0.006158,0.005309,0.005376,0.004613125,,,#17BECF,0.0066978236,0.0024559764
2013-08-21,0.006131,0.006349,0.00595,0.006098,0.004848875,,,#17BECF,0.0070785703,0.0024184297
2013-08-22,0.005143,0.006138,0.005143,0.006131,0.00501825,,,#7F7F7F,0.0071496641,0.0024861359
2013-08-23,0.005139,0.005232,0.004919,0.005179,0.005274125,,,#7F7F7F,0.0072098103,0.0026047897
2013-08-24,0.005546,0.005603,0.005126,0.005139,0.005575625,,,#17BECF,0.0072714068,0.0028947932
2013-08-25,0.006104,0.006148,0.005519,0.005526,0.00562975,,,#17BECF,0.0071412023,0.0036273977
2013-08-26,0.006417,0.006507,0.006065,0.006104,0.00572975,,,#17BECF,0.0066242282,0.0048009718
2013-08-27,0.006452,0.006936,0.006373,0.006468,0.00587875,,,#7F7F7F,0.0068135249,0.0047678751
2013-08-28,0.006246,0.006463,0.006066,0.006451,0.00589725,,,#7F7F7F,0.0069058878,0.0048013122
2013-08-29,0.005763,0.006246,0.005756,0.006246,0.00585125,,,#7F7F7F,0.0068750375,0.0049327625
2013-08-30,0.00593,0.006264,0.00561,0.00576,0.005949625,,,#17BECF,0.0068490833,0.0049251167
2013-08-31,0.005632,0.006081,0.005576,0.005913,0.00601125,,,#7F7F7F,0.006794712,0.004879688
2013-09-01,0.005787,0.005872,0.005574,0.005623,0.006041375,,,#17BECF,0.0067294482,0.0050737518
2013-09-02,0.005528,0.006115,0.005507,0.005799,0.005969375,,,#7F7F7F,0.0066348853,0.0052461147
2013-09-03,0.00567,0.005693,0.005405,0.005518,0.005876,,,#17BECF,0.0066198622,0.0052859378
2013-09-04,0.005695,0.006276,0.005507,0.00566,0.005781375,,,#17BECF,0.006587883,0.005236117
