"INV, y, y, y (1), y, x; DIFF, y, y, y (1), y, x (1)","INV, y, y, y (1), y, y (1)","INV, y, y, y (1), y, text; DIFF, y, y, y (1), y, text (1)","DIFF, y, y, y (1), y, y (1)"
1be98b,30d274,2a87ed,e34a1f
,253787.3, ,0
2015-11-30,253828.45, ,41.15
2015-12-15,253873.11, ,44.66
2015-12-31,242951.59, ,-10921.52
2016-01-15,253999.37, ,11047.78
2016-01-31,254052.22, ,52.85
2016-02-15,234230.34, ,-19821.88
2016-02-29,234281.98, ,51.64
2016-03-15,233046.83, ,-1235.15
2016-03-31,233114.61, ,67.78
2016-04-15,233177.18, ,62.57
2016-04-30,229911.59, ,-3265.59
2016-05-15,225200.99, ,-4710.6
2016-05-31,225268.47, ,67.48
2016-06-15,227992.09, ,2723.62
2016-06-30,228055.03, ,62.94
2016-07-15,230601.87, ,2546.84
2016-07-31,230678.99, ,77.12
2016-08-15,224608.42, ,-6070.57
2016-08-31,225878.67, ,1270.25
2016-09-15,233496.18, ,7617.51
2016-09-30,240380.6, ,6884.42
2016-10-15,238195.9, ,-2184.7
2016-10-31,238292.3, ,96.4
2016-11-15,237845.53, ,-446.77
2016-11-30,245979.16, ,8133.63
2016-12-15,249197.67, ,3218.51
2016-12-31,265195.53, ,15997.86
2017-01-15,254677.93, ,-10517.6
2017-01-31,264548.72, ,9870.79
2017-02-15,258356.19, ,-6192.53
2017-02-28,259535.23, ,1179.04
2017-03-15,259675.37, ,140.14
2017-03-31,309071.58, ,49396.21
2017-04-12,311229.75, ,2158.17
2017-04-30,316369.07,D INT 6492045 POR ORDEN DE MARCO AYALA AUT.942896,5139.32
2017-05-02,318459.07,ARTUROALVAREZ/BECERRIL Abono por instrucciones de AUT.49372,2090
2017-05-05,318527.65, ,11.46
2017-05-06,318539.11, ,11.46
2017-05-09,318573.5, ,34.39
2017-05-10,318584.97, ,11.47
2017-05-11,318596.44, ,11.47
2017-05-12,318607.91, ,11.47
2017-05-13,318619.38, ,11.47
2017-05-16,301753.28, ,-16866.1
2017-05-17,301764.25, ,10.97
2017-05-18,301775.22, ,10.97
2017-05-19,301786.27, ,11.05
2017-05-20,301797.32, ,11.05
2017-05-23,301830.49, ,33.17
2017-05-24,301841.55, ,11.06
2017-05-25,301852.61, ,11.06
2017-05-26,301864, ,11.39
2017-05-27,301875.39, ,11.39
2017-05-30,301909.56, ,34.17
2017-05-31,301920.96, ,11.4
2017-06-01,307331.07,D INT 7278619 POR ORDEN DE MARCO AXEL AYALA AUT.516452,5410.11
2017-06-02,307342.71,,11.64
2017-06-03,307354.35,,11.64
2017-06-06,307389.27,,34.92
2017-06-07,307400.91,,11.64
2017-06-08,307412.56,,11.65
2017-06-09,307424.21,,11.65
2017-06-10,307435.86,,11.65
2017-06-13,307470.81,,34.95
2017-06-15,307494.11,,23.3
2017-06-16,307505.85,,11.74
2017-06-17,307517.59,,11.74
2017-06-20,307552.81,,35.22
2017-06-21,307564.55,,11.74
2017-06-22,307576.29,,11.74
2017-06-23,307588.2,,11.91
2017-06-24,307600.11,,11.91
2017-06-27,307635.84,,35.73
2017-06-28,307647.75,,11.91
2017-06-29,307659.66,,11.91
2017-06-30,307671.83,,12.17
2017-07-01,307684,,12.17
2017-07-04,307720.51,,36.51
2017-07-05,307732.68,,12.17
2017-07-06,309860.76,D INT 6201984 POR ORDEN DE MARCO AXEL AYALA AUT.42767,2128.08
2017-07-07,309873.08,,12.32
2017-07-08,309885.4,,12.32
2017-07-11,309922.37,,36.97
2017-07-12,309934.7,,12.33
2017-07-14,309959.27,,24.57
2017-07-15,309971.51,,12.24
2017-07-18,310008.23,,36.72
2017-07-19,310020.47,,12.24
2017-07-20,310032.71,,12.24
2017-07-21,310044.95,,12.24
2017-07-22,310057.2,,12.25
2017-07-25,310093.95,,36.75
2017-07-26,310106.2,,12.25
2017-07-27,310118.45,,12.25
2017-07-28,310130.70,,12.25
2017-07-31,310142.95,,24.5
2017-08-01,304756.37,,-5386.58
2017-08-02,304768.45,,12.08
2017-08-15,304925.42,,156.97
2017-08-16,305687.53,,762.11
2017-08-17,305699.63,,12.1
2017-08-18,305711.57,,11.94
2017-08-19,305723.51,,11.94
2017-08-22,305759.33,,35.82
2017-08-23,305771.27,,11.94
2017-08-24,305783.21,,11.94
2017-08-25,305795.23,,12.02
2017-08-26,305807.26,,12.03
2017-09-02,306820.96,D INT 7278619 POR ORDEN DE MARCO AXEL AYALA AUT.516452,1013.7
2017-09-09,306905.09, ,84.13
2017-09-12,306941.51, ,36.42
2017-09-14,306965.81, ,24.3
2017-09-15,306977.96, ,12.15
2017-09-16,306990.11, ,12.15
2017-09-19,307026.56, ,36.45
2017-09-20,307038.71, ,12.15
2017-09-21,307050.86, ,12.15
2017-09-22,307063.01, ,12.15
2017-09-23,307075.16, ,12.15
2017-09-26,307111.61, ,36.45
2017-09-27,307123.76, ,12.15
2017-09-28,307135.91, ,12.15
2017-09-29,305148.08, ,-1987.83
2017-09-30,315431.72, ,10283.64
2017-10-03,315469.25, ,37.53
2017-10-04,315481.77, ,12.52
2017-10-05,315494.28, ,12.51
2017-10-06,315506.79, ,12.51
2017-10-07,315519.3, ,12.51
2017-10-23,308820.74, ,-6698.56
2017-10-24,308857.88, ,37.14
2017-10-25,308870.26, ,12.38
2017-10-26,308882.64, ,12.38
2017-10-27,308894.94, ,12.3
2017-10-28,319202.63, ,10307.69
2017-11-03,321461.76, ,2259.13
2017-11-04,321487.18, ,25.42
2017-11-07,321525.31, ,38.13
2017-11-08,321538.02, ,12.71
2017-11-09,321550.73, ,12.71
2017-11-10,321563.44, ,12.71
2017-11-11,321576.15, ,12.71
2017-12-04,321881.33,TIempo sin correr el script,305.18
2017-12-06,321894.05, ,12.72
2017-12-07,321906.77, ,12.72
2017-12-08,321919.49, ,12.72
2017-12-09,321932.21, ,12.72
2017-12-12,321970.37, ,38.16
2017-12-14,324257.44, ,2287.07
2017-12-15,324269.97, ,12.53
2017-12-16,324282.5,D,12.53
2017-12-19,324320.07, ,37.57
2017-12-20,334945.04,I,10624.97
2017-12-21,334957.91,N,12.87
2017-12-22,329970.71,T,-4987.2
2017-12-23,329983.51, ,12.8
2017-12-27,330034.71,5,51.2
2017-12-28,326983.19,6,-3051.52
2017-12-29,326995.89,8,12.7
2017-12-30,327008.59,5,12.7
2018-01-05,327075.23,0,66.64
2018-01-05,327088.65,0,13.42
2018-01-06,327102.07,2,13.42
2018-01-09,327142.33, ,40.26
2018-01-10,327155.75,P,13.42
2018-01-11,327169.17,O,13.42
2018-01-12,327182.5,R,13.33
