x,y,z,color
d9bad9,b8709a,160ad9,37a638
56104.8318484027,1.1,51.52718,87000.0
56104.8318484027,1.1,53.730701,87000.0
56104.8318484027,1.1,52.135632,87000.0
56104.8699030563,1.1,49.459179,87000.0
56104.8825879409,1.1,48.835064,87000.0
56104.9586972483,1.1,51.733879,87000.0
56105.0094367865,1.1,47.371239,87000.0
56105.022121671,1.1,50.875401,87000.0
56104.704999557,1.8,59.337742,87000.0
56104.7176844416,1.8,62.554649,87000.0
56104.7176844416,1.8,54.133984,87000.0
56104.7303693262,1.8,57.554703,87000.0
56104.7303693262,1.8,55.544972,87000.0
56104.7430542107,1.8,54.663231,87000.0
56104.7430542107,1.8,71.192162,87000.0
56104.7557390953,1.8,52.268333,87000.0
56104.7557390953,1.8,59.705872,87000.0
56104.7557390953,1.8,72.115295,87000.0
56104.7557390953,1.8,49.004524,87000.0
56104.7684239798,1.8,49.215313,87000.0
56104.7684239798,1.8,50.490318,87000.0
56104.7684239798,1.8,78.827164,87000.0
56104.7684239798,1.8,46.466423,87000.0
56104.7684239798,1.8,59.119114,87000.0
56104.7811088644,1.8,73.09462,87000.0
56104.7811088644,1.8,163.64433,87000.0
56104.7811088644,1.8,49.506828,87000.0
56104.793793749,1.8,81.60292,87000.0
56104.793793749,1.8,181.75699,87000.0
56104.793793749,1.8,51.295517,87000.0
56104.8064786335,1.8,63.129578,87000.0
56104.8064786335,1.8,103.23125,87000.0
56104.8064786335,1.8,70.656753,87000.0
56104.8191635181,1.8,52.162193,87000.0
56104.8191635181,1.8,106.77047,87000.0
56104.8318484027,1.8,75.791824,87000.0
56104.8318484027,1.8,58.041859,87000.0
56104.8445332872,1.8,69.841171,87000.0
56104.8572181718,1.8,50.998684,87000.0
56104.8699030563,1.8,61.270958,87000.0
56104.8699030563,1.8,56.579262,87000.0
56104.8825879409,1.8,56.161629,87000.0
56104.8825879409,1.8,73.943153,87000.0
56104.8825879409,1.8,57.095757,87000.0
56104.8952728255,1.8,95.527473,87000.0
56104.8952728255,1.8,58.372345,87000.0
56104.90795771,1.8,94.730629,87000.0
56104.90795771,1.8,93.65741,87000.0
56104.9206425946,1.8,78.362915,87000.0
56104.9206425946,1.8,91.691788,87000.0
56104.9333274791,1.8,91.875732,87000.0
56104.9333274791,1.8,85.897934,87000.0
56104.9460123637,1.8,47.395081,87000.0
56104.9460123637,1.8,88.893158,87000.0
56104.9460123637,1.8,58.786102,87000.0
56104.9586972483,1.8,48.670925,87000.0
56104.9586972483,1.8,77.387695,87000.0
56104.9713821328,1.8,50.688614,87000.0
56104.9713821328,1.8,59.257961,87000.0
56104.9967519019,1.8,48.246006,87000.0
56104.590835596,2.5,53.582909,87000.0
56104.6415751343,2.5,54.222259,87000.0
56104.6923146725,2.5,52.158588,87000.0
56104.704999557,2.5,48.820343,87000.0
56104.704999557,2.5,50.926773,87000.0
56104.7176844416,2.5,47.358448,87000.0
56104.7176844416,2.5,52.294697,87000.0
56104.7303693262,2.5,51.422291,87000.0
56104.7303693262,2.5,57.588673,87000.0
56104.7557390953,2.5,65.056442,87000.0
56104.7557390953,2.5,56.437611,87000.0
56104.7684239798,2.5,52.075562,87000.0
56104.7684239798,2.5,50.089325,87000.0
56104.7684239798,2.5,48.863606,87000.0
56104.7811088644,2.5,60.944599,87000.0
56104.7811088644,2.5,52.430191,87000.0
56104.793793749,2.5,62.545857,87000.0
56104.793793749,2.5,73.787147,87000.0
56104.793793749,2.5,64.42865,87000.0
56104.8064786335,2.5,65.445511,87000.0
56104.8064786335,2.5,53.126625,87000.0
56104.8064786335,2.5,64.619888,87000.0
