"close, x; MA7, x","close, y","MA7, y","close (1), x; MA7 (1), x; ratio, x","close (1), y","MA7 (1), y","ratio, y"
088811,8b45cc,c4a156,88e8a1,a9177b,665f3d,bfd026
2015-12-28 00:00:00,385.2,392.9428571429,2015-12-26 00:00:00,864036.7,728657.6757142859,
2015-12-29 00:00:00,395.9,391.7428571429,2015-12-27 00:00:00,905844.93,745911.8657142859,
2015-12-30 00:00:00,390.0,389.7,2015-12-28 00:00:00,747902.73,750557.2242857144,0.0005235348
2015-12-31 00:00:00,395.7,390.5142857143,2015-12-29 00:00:00,706094.51,757857.0742857145,0.0005169086
2016-01-01 00:00:00,399.4,391.8571428571,2015-12-30 00:00:00,803647.04,763166.0557142859,0.0005106359
2016-01-02 00:00:00,398.2,393.0285714286,2015-12-31 00:00:00,743604.44,770515.485714286,0.0005068221
2016-01-03 00:00:00,395.3,394.2428571429,2016-01-01 00:00:00,697129.16,781179.9300000004,0.0005016221
2016-01-04 00:00:00,399.4,396.2714285714,2016-01-02 00:00:00,707457.0,758811.4014285718,0.0005179529
2016-01-05 00:00:00,401.9,397.1285714286,2016-01-03 00:00:00,769424.04,739322.7028571432,0.0005332487
2016-01-06 00:00:00,399.3,398.4571428571,2016-01-04 00:00:00,903685.95,761577.4485714289,0.0005203298
2016-01-07 00:00:00,420.5,402.0,2016-01-05 00:00:00,841718.91,780952.3628571433,0.0005085183
2016-01-08 00:00:00,417.0,404.5142857143,2016-01-06 00:00:00,702293.08,766473.2257142861,0.0005198579
2016-01-09 00:00:00,412.6,406.5714285714,2016-01-07 00:00:00,743604.44,766473.2257142862,0.0005244802
2016-01-10 00:00:00,412.1,408.9714285714,2016-01-08 00:00:00,903685.95,795981.3385714291,0.0005081957
2016-01-11 00:00:00,414.7,411.1571428571,2016-01-09 00:00:00,821063.24,812210.801428572,0.0005005738
2016-01-12 00:00:00,404.0,411.4571428571,2016-01-10 00:00:00,877866.35,827702.5600000005,0.0004941043
2016-01-13 00:00:00,398.8,411.3857142857,2016-01-11 00:00:00,877866.35,824014.0457142862,0.0004989686
2016-01-14 00:00:00,398.3,408.2142857143,2016-01-12 00:00:00,908849.87,833604.1828571433,0.0004935881
2016-01-15 00:00:00,333.6,396.3,2016-01-13 00:00:00,862135.53,856438.818571429,0.0004803445
2016-01-16 00:00:00,358.9,388.6285714286,2016-01-14 00:00:00,743803.21,856467.2142857148,0.0004766257
2016-01-17 00:00:00,350.0,379.7571428571,2016-01-15 00:00:00,693089.35,826381.9857142862,0.0004795603
2016-01-18 00:00:00,357.2,371.5428571429,2016-01-16 00:00:00,783247.32,820979.7114285718,0.0004733717
2016-01-19 00:00:00,348.6,363.6285714286,2016-01-17 00:00:00,783247.32,807462.7071428577,0.0004703092
2016-01-20 00:00:00,385.9,361.7857142857,2016-01-18 00:00:00,986102.74,822925.0485714292,0.0004514905
2016-01-21 00:00:00,379.0,359.0285714286,2016-01-19 00:00:00,839596.04,813031.644285715,0.0004472502
2016-01-22 00:00:00,356.3,362.2714285714,2016-01-20 00:00:00,822691.42,807396.771428572,0.0004480891
2016-01-23 00:00:00,358.2,362.1714285714,2016-01-21 00:00:00,755072.95,809006.7342857149,0.0004437893
2016-01-24 00:00:00,372.5,365.3857142857,2016-01-22 00:00:00,929754.01,842815.9714285721,0.0004298346
2016-01-25 00:00:00,363.2,366.2428571429,2016-01-23 00:00:00,1008642.23,875015.2442857149,0.000413903
2016-01-26 00:00:00,364.6,368.5285714286,2016-01-24 00:00:00,935388.88,896749.7528571434,0.0004074556
2016-01-27 00:00:00,365.0,365.5428571429,2016-01-25 00:00:00,974832.99,895139.7885714292,0.000409146
2016-01-28 00:00:00,349.8,361.3714285714,2016-01-26 00:00:00,978569.91,914993.1985714292,0.0004027665
2016-01-29 00:00:00,350.4,360.5285714286,2016-01-27 00:00:00,918901.01,928737.4257142863,0.0003935912
2016-01-30 00:00:00,349.4,359.2714285714,2016-01-28 00:00:00,883099.67,947026.9571428577,0.0003815852
2016-01-31 00:00:00,342.0,354.9142857143,2016-01-29 00:00:00,1014371.25,959115.1342857148,0.0003758971
2016-02-01 00:00:00,342.3,351.9285714286,2016-01-30 00:00:00,1056139.48,965900.4557142862,0.0003719549
2016-02-02 00:00:00,343.2,348.8714285714,2016-01-31 00:00:00,1068073.26,984855.3671428576,0.000360372
2016-02-03 00:00:00,334.5,344.5142857143,2016-02-01 00:00:00,1050172.59,995618.1671428576,0.0003534775
2016-02-04 00:00:00,347.8,344.2285714286,2016-02-02 00:00:00,978569.91,995618.1671428576,0.0003504069
2016-02-05 00:00:00,346.2,343.6285714286,2016-02-03 00:00:00,1038238.81,1012666.4242857146,0.0003402051
2016-02-06 00:00:00,336.9,341.8428571429,2016-02-04 00:00:00,1103874.59,1044205.6985714289,0.0003296559
2016-02-07 00:00:00,335.0,340.8428571429,2016-02-05 00:00:00,1074040.15,1052729.8271428575,0.0003264167
2016-02-08 00:00:00,332.3,339.4142857143,2016-02-06 00:00:00,1139675.93,1064663.605714286,0.0003210806
2016-02-09 00:00:00,331.8,337.7857142857,2016-02-07 00:00:00,1303860.28,1098347.4657142858,0.0003103233
2016-02-10 00:00:00,336.9,338.1285714286,2016-02-08 00:00:00,1153414.86,1113096.3614285716,0.000304928
2016-02-11 00:00:00,333.0,336.0142857143,2016-02-09 00:00:00,1210727.4,1146261.7171428574,0.0002946846
2016-02-12 00:00:00,339.9,335.1142857143,2016-02-10 00:00:00,1210727.4,1170902.9442857145,0.0002887759
2016-02-13 00:00:00,345.9,336.4,2016-02-11 00:00:00,1375500.95,1209706.7100000002,0.0002777651
2016-02-14 00:00:00,361.1,340.1285714286,2016-02-12 00:00:00,1139086.72,1218999.0771428572,0.0002749094
2016-02-15 00:00:00,356.6,343.6,2016-02-13 00:00:00,1096102.32,1212774.275714286,0.0002773806
2016-02-16 00:00:00,364.4,348.2571428571,2016-02-14 00:00:00,1289532.14,1210727.398571429,0.0002809291
2016-02-17 00:00:00,371.9,353.2571428571,2016-02-15 00:00:00,1060281.98,1197422.701428572,0.0002869496
2016-02-18 00:00:00,378.9,359.8142857143,2016-02-16 00:00:00,1067446.05,1176953.9371428576,0.000295897
2016-02-19 00:00:00,375.3,364.8714285714,2016-02-17 00:00:00,1002969.44,1147274.2285714287,0.0003079099
2016-02-20 00:00:00,392.0,371.4571428571,2016-02-18 00:00:00,1289532.14,1134992.9700000002,0.000317019
2016-02-21 00:00:00,389.0,375.4428571429,2016-02-19 00:00:00,1129682.78,1133649.5500000003,0.0003218556
