"pH, x; Upper Limit, x; Lower Limit, x; FC, x; Upper Limit (1), x; Lower Limit (1), x","pH, y","Upper Limit, y","Lower Limit, y","FC, y","Upper Limit (1), y","Lower Limit (1), y"
5cb718,24e07c,769018,a1604a,825752,9d3165,2c1258
2017-11-25 21:05:02,7.3,7.6,7.2,1.50,3,1
2017-11-25 21:05:12,7.3,7.6,7.2,1.48,3,1
2017-11-25 21:05:21,7.3,7.6,7.2,1.47,3,1
2017-11-25 21:05:31,7.3,7.6,7.2,1.46,3,1
2017-11-25 21:05:41,7.3,7.6,7.2,1.51,3,1
2017-11-25 21:05:51,7.3,7.6,7.2,1.46,3,1
2017-11-25 21:06:00,7.3,7.6,7.2,1.43,3,1
2017-11-25 21:10:05,7.3,7.6,7.2,1.68,3,1
2017-11-25 21:10:14,7.3,7.6,7.2,1.69,3,1
2017-11-25 21:10:24,7.3,7.6,7.2,3.23,3,1
2017-11-25 21:10:34,7.3,7.6,7.2,3.22,3,1
2017-11-25 21:10:44,7.3,7.6,7.2,3.24,3,1
2017-11-25 21:10:53,7.3,7.6,7.2,3.22,3,1
2017-11-25 21:15:07,7.3,7.6,7.2,1.70,3,1
2017-11-25 21:15:17,7.3,7.6,7.2,1.71,3,1
2017-11-25 21:15:27,7.3,7.6,7.2,3.21,3,1
2017-11-25 21:15:37,7.3,7.6,7.2,3.22,3,1
2017-11-25 21:15:46,7.3,7.6,7.2,3.23,3,1
2017-11-25 21:15:56,7.3,7.6,7.2,1.68,3,1
2017-11-25 21:20:10,7.3,7.6,7.2,1.70,3,1
2017-11-25 21:20:20,7.3,7.6,7.2,1.71,3,1
2017-11-25 21:20:29,7.3,7.6,7.2,1.44,3,1
2017-11-25 21:20:39,7.3,7.6,7.2,1.44,3,1
2017-11-25 21:20:49,7.3,7.6,7.2,1.44,3,1
2017-11-25 21:20:59,7.3,7.6,7.2,1.41,3,1
2017-11-25 21:25:03,7.3,7.6,7.2,3.27,3,1
2017-11-25 21:25:12,7.3,7.6,7.2,1.71,3,1
2017-11-25 21:25:22,7.3,7.6,7.2,3.27,3,1
2017-11-25 21:25:32,7.3,7.6,7.2,1.43,3,1
2017-11-25 21:25:41,7.3,7.6,7.2,1.42,3,1
2017-11-25 21:25:51,7.3,7.6,7.2,3.28,3,1
2017-11-25 21:30:05,7.3,7.6,7.2,1.43,3,1
2017-11-25 21:30:15,7.3,7.6,7.2,1.40,3,1
2017-11-25 21:30:24,7.3,7.6,7.2,1.40,3,1
2017-11-25 21:30:34,7.3,7.6,7.2,1.42,3,1
2017-11-25 21:30:44,7.3,7.6,7.2,1.48,3,1
2017-11-25 21:30:54,7.3,7.6,7.2,1.47,3,1
2017-11-25 21:35:07,7.3,7.6,7.2,1.48,3,1
2017-11-25 21:35:17,7.3,7.6,7.2,1.45,3,1
2017-11-25 21:35:27,7.3,7.6,7.2,1.43,3,1
2017-11-25 21:35:37,7.3,7.6,7.2,1.43,3,1
2017-11-25 21:35:46,7.3,7.6,7.2,1.40,3,1
2017-11-25 21:35:56,7.3,7.6,7.2,3.28,3,1
2017-11-25 21:40:10,7.3,7.6,7.2,1.71,3,1
2017-11-25 21:40:20,7.2,7.6,7.2,3.00,3,1
2017-11-25 21:40:30,7.3,7.6,7.2,1.70,3,1
2017-11-25 21:40:39,7.3,7.6,7.2,1.65,3,1
2017-11-25 21:40:49,7.3,7.6,7.2,1.72,3,1
2017-11-25 21:40:59,7.3,7.6,7.2,1.68,3,1
2017-11-25 21:45:03,7.3,7.6,7.2,1.70,3,1
2017-11-25 21:45:13,7.2,7.6,7.2,1.29,3,1
2017-11-25 21:45:22,7.2,7.6,7.2,1.34,3,1
2017-11-25 21:45:32,7.2,7.6,7.2,1.33,3,1
2017-11-25 21:45:42,7.2,7.6,7.2,1.34,3,1
2017-11-25 21:45:52,7.3,7.6,7.2,1.44,3,1
2017-11-25 21:50:05,7.3,7.6,7.2,1.46,3,1
2017-11-25 21:50:15,7.3,7.6,7.2,1.50,3,1
2017-11-25 21:50:25,7.3,7.6,7.2,1.46,3,1
2017-11-25 21:50:35,7.3,7.6,7.2,1.49,3,1
2017-11-25 21:50:44,7.3,7.6,7.2,1.46,3,1
2017-11-25 21:50:54,7.3,7.6,7.2,1.44,3,1
2017-11-25 21:55:08,7.3,7.6,7.2,1.41,3,1
2017-11-25 21:55:17,7.3,7.6,7.2,1.41,3,1
2017-11-25 21:55:27,7.3,7.6,7.2,1.39,3,1
2017-11-25 21:55:37,7.3,7.6,7.2,3.26,3,1
2017-11-25 21:55:47,7.3,7.6,7.2,3.23,3,1
2017-11-25 21:55:56,7.3,7.6,7.2,3.26,3,1
2017-11-25 22:00:10,7.3,7.6,7.2,1.69,3,1
2017-11-25 22:00:20,7.3,7.6,7.2,1.67,3,1
2017-11-25 22:00:30,7.3,7.6,7.2,1.71,3,1
2017-11-25 22:00:39,7.3,7.6,7.2,1.70,3,1
2017-11-25 22:00:49,7.3,7.6,7.2,1.68,3,1
2017-11-25 22:00:59,7.3,7.6,7.2,1.69,3,1
2017-11-25 22:05:03,7.3,7.6,7.2,3.23,3,1
2017-11-25 22:05:13,7.3,7.6,7.2,1.71,3,1
2017-11-25 22:05:22,7.3,7.6,7.2,1.70,3,1
2017-11-25 22:05:32,7.3,7.6,7.2,1.71,3,1
2017-11-25 22:05:42,7.3,7.6,7.2,1.72,3,1
2017-11-25 22:05:52,7.3,7.6,7.2,3.21,3,1
2017-11-25 22:10:06,7.3,7.6,7.2,1.51,3,1
2017-11-25 22:10:15,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:10:25,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:10:35,7.3,7.6,7.2,1.52,3,1
2017-11-25 22:10:45,7.3,7.6,7.2,1.52,3,1
2017-11-25 22:10:54,7.3,7.6,7.2,1.51,3,1
2017-11-25 22:15:08,7.3,7.6,7.2,1.51,3,1
2017-11-25 22:15:18,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:15:28,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:15:37,7.3,7.6,7.2,1.49,3,1
2017-11-25 22:15:47,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:15:57,7.3,7.6,7.2,1.50,3,1
2017-11-25 22:20:10,7.3,7.6,7.2,1.55,3,1
2017-11-25 22:20:20,7.3,7.6,7.2,1.54,3,1
2017-11-25 22:20:30,7.3,7.6,7.2,1.55,3,1
2017-11-25 22:20:40,7.3,7.6,7.2,1.55,3,1
2017-11-25 22:20:49,7.3,7.6,7.2,1.57,3,1
2017-11-25 22:20:59,7.3,7.6,7.2,1.59,3,1
2017-11-25 22:25:03,7.3,7.6,7.2,1.65,3,1
2017-11-25 22:25:13,7.3,7.6,7.2,1.64,3,1
2017-11-25 22:25:23,7.3,7.6,7.2,1.65,3,1
2017-11-25 22:25:32,7.3,7.6,7.2,1.65,3,1
2017-11-25 22:25:42,7.3,7.6,7.2,1.65,3,1
2017-11-25 22:25:52,7.3,7.6,7.2,1.67,3,1
2017-11-25 22:30:06,7.3,7.6,7.2,3.27,3,1
2017-11-25 22:30:16,7.3,7.6,7.2,3.24,3,1
2017-11-25 22:30:25,7.3,7.6,7.2,3.26,3,1
2017-11-25 22:30:35,7.3,7.6,7.2,1.40,3,1
2017-11-25 22:30:45,7.3,7.6,7.2,1.40,3,1
2017-11-25 22:30:55,7.3,7.6,7.2,1.42,3,1
2017-11-25 22:35:09,7.3,7.6,7.2,1.49,3,1
2017-11-25 22:35:18,7.3,7.6,7.2,1.48,3,1
2017-11-25 22:35:28,7.3,7.6,7.2,1.48,3,1
