"close, x; MA180, x; MA90, x; MA30, x; MA15, x; MA7, x; MA1, x; log_MA1/7, x; log_MA7/15, x; log_MA15/30, x","close, y","MA180, y","MA90, y","MA30, y","MA15, y","MA7, y","MA1, y","log_MA1/7, y","log_MA7/15, y","log_MA15/30, y"
bd90bd,c6ea51,ae32c5,5cdf31,7b5ca2,d7c1b9,e323c0,978967,5cc5e6,3a292c,7ed984
2017-10-01 00:00:00,0.021908,0.0188682108,0.020083709,0.0256627269,0.0242829264,0.0235820454,0.0222169531,-0.0258969726,-0.0127195525,-0.0240017792
2017-10-01 00:15:00,0.021908,0.0188684095,0.0200841606,0.0256606705,0.0242800306,0.0235790432,0.0222114063,-0.0259501229,-0.0127230517,-0.0240187711
2017-10-01 00:30:00,0.021908,0.018868648,0.0200847025,0.0256582028,0.0242765556,0.0235754405,0.02220475,-0.0260139289,-0.0127272519,-0.0240391657
2017-10-01 00:45:00,0.021908,0.0188688865,0.0200852444,0.0256557351,0.0242730806,0.0235718378,0.0221980938,-0.0260777638,-0.0127314533,-0.0240595652
2017-10-01 01:00:00,0.021908,0.018869125,0.0200857863,0.0256532674,0.0242696056,0.0235682351,0.0221914375,-0.0261416276,-0.0127356559,-0.0240799697
2017-10-01 01:15:00,0.021908,0.0188693634,0.0200863282,0.0256507997,0.0242661306,0.0235646324,0.0221847813,-0.0262055204,-0.0127398598,-0.0241003789
2017-10-01 01:30:00,0.021908,0.0188696019,0.0200868701,0.0256483319,0.0242626556,0.0235610298,0.022178125,-0.026269442,-0.012744065,-0.0241207931
2017-10-01 01:45:00,0.021908,0.0188698404,0.020087412,0.0256458642,0.0242591806,0.0235574271,0.0221714688,-0.0263333927,-0.0127482714,-0.0241412122
2017-10-01 02:00:00,0.021908,0.0188700789,0.0200879539,0.0256433965,0.0242557056,0.0235538244,0.0221648125,-0.0263973723,-0.012752479,-0.0241616362
2017-10-01 02:15:00,0.021908,0.0188703174,0.0200884958,0.0256409288,0.0242522306,0.0235502217,0.0221581563,-0.026461381,-0.0127566879,-0.024182065
2017-10-01 02:30:00,0.021908,0.0188705559,0.0200890377,0.0256384611,0.0242487556,0.023546619,0.0221515,-0.0265254186,-0.012760898,-0.0242024987
2017-10-01 02:45:00,0.021908,0.0188707943,0.0200895796,0.0256359934,0.0242452806,0.0235430164,0.0221448438,-0.0265894853,-0.0127651094,-0.0242229374
2017-10-01 03:00:00,0.021908,0.0188710328,0.0200901215,0.0256335257,0.0242418056,0.0235394137,0.0221381875,-0.0266535811,-0.012769322,-0.0242433809
2017-10-01 03:15:00,0.021908,0.0188712713,0.0200906633,0.025631058,0.0242383306,0.023535811,0.0221315313,-0.026717706,-0.0127735359,-0.0242638294
2017-10-01 03:30:00,0.021908,0.0188715098,0.0200912052,0.0256285903,0.0242348556,0.0235322083,0.022124875,-0.0267818599,-0.012777751,-0.0242842827
2017-10-01 03:45:00,0.021908,0.0188717483,0.0200917471,0.0256261226,0.0242313806,0.0235286057,0.0221182188,-0.0268460431,-0.0127819674,-0.0243047409
2017-10-01 04:00:00,0.021721,0.0188719796,0.0200922746,0.0256236368,0.0242278477,0.023524997,0.0221099931,-0.0269409733,-0.0127852576,-0.0243259354
2017-10-01 04:15:00,0.021721,0.0188722072,0.0200927949,0.025621142,0.0242242859,0.0235213854,0.0221009826,-0.0270513171,-0.0127880849,-0.0243475008
2017-10-01 04:30:00,0.021721,0.0188724349,0.0200933151,0.0256186472,0.0242207241,0.0235177738,0.0220919722,-0.0271617229,-0.0127909131,-0.0243690714
2017-10-01 04:45:00,0.021721,0.0188726625,0.0200938354,0.0256161524,0.0242171623,0.0235141622,0.0220829618,-0.0272721907,-0.0127937422,-0.0243906473
2017-10-01 05:00:00,0.021721,0.0188728902,0.0200943556,0.0256136576,0.0242136005,0.0235105506,0.0220739514,-0.0273827205,-0.0127965721,-0.0244122284
2017-10-01 05:15:00,0.021721,0.0188731179,0.0200948759,0.0256111628,0.0242100387,0.023506939,0.022064941,-0.0274933125,-0.0127994028,-0.0244338149
2017-10-01 05:30:00,0.021721,0.0188733455,0.0200953961,0.0256086681,0.0242064769,0.0235033274,0.0220559306,-0.0276039666,-0.0128022344,-0.0244554066
2017-10-01 05:45:00,0.021721,0.0188735732,0.0200959164,0.0256061733,0.024202915,0.0234997158,0.0220469201,-0.0277146829,-0.0128050669,-0.0244770036
2017-10-01 06:00:00,0.021721,0.0188738008,0.0200964367,0.0256036785,0.0241993532,0.0234961042,0.0220379097,-0.0278254616,-0.0128079002,-0.0244986059
2017-10-01 06:15:00,0.021721,0.0188740285,0.0200969569,0.0256011837,0.0241957914,0.0234924926,0.0220288993,-0.0279363025,-0.0128107343,-0.0245202135
2017-10-01 06:30:00,0.021721,0.0188742562,0.0200974772,0.0255986889,0.0241922296,0.023488881,0.0220198889,-0.0280472059,-0.0128135694,-0.0245418263
2017-10-01 06:45:00,0.021721,0.0188744838,0.0200979974,0.0255961941,0.0241886678,0.0234852693,0.0220108785,-0.0281581717,-0.0128164052,-0.0245634445
2017-10-01 07:00:00,0.021721,0.0188747115,0.0200985177,0.0255936993,0.024185106,0.0234816577,0.0220018681,-0.0282692,-0.0128192419,-0.0245850679
2017-10-01 07:15:00,0.021721,0.0188749392,0.0200990379,0.0255912045,0.0241815442,0.0234780461,0.0219928576,-0.0283802909,-0.0128220795,-0.0246066966
2017-10-01 07:30:00,0.021721,0.0188751668,0.0200995582,0.0255887097,0.0241779824,0.0234744345,0.0219838472,-0.0284914444,-0.0128249179,-0.0246283307
2017-10-01 07:45:00,0.021721,0.0188753945,0.0201000784,0.0255862149,0.0241744206,0.0234708229,0.0219748368,-0.0286026606,-0.0128277572,-0.02464997
2017-10-01 08:00:00,0.021979,0.0188756321,0.0201006186,0.0255837581,0.0241711477,0.0234676091,0.0219700556,-0.0286376909,-0.0128284258,-0.0246670683
2017-10-01 08:15:00,0.021979,0.0188758747,0.0201011687,0.0255813203,0.0241680192,0.0234645942,0.0219673889,-0.0286346103,-0.0128280088,-0.0246818973
2017-10-01 08:30:00,0.021979,0.0188761173,0.0201017188,0.0255788824,0.0241648907,0.0234615794,0.0219647222,-0.0286315289,-0.0128275917,-0.0246967296
2017-10-01 08:45:00,0.021979,0.0188763599,0.0201022689,0.0255764446,0.0241617623,0.0234585645,0.0219620556,-0.0286284467,-0.0128271744,-0.0247115653
2017-10-01 09:00:00,0.021979,0.0188766025,0.0201028191,0.0255740067,0.0241586338,0.0234555496,0.0219593889,-0.0286253637,-0.012826757,-0.0247264043
2017-10-01 09:15:00,0.021979,0.0188768451,0.0201033692,0.0255715689,0.0241555053,0.0234525347,0.0219567222,-0.02862228,-0.0128263396,-0.0247412466
2017-10-01 09:30:00,0.021979,0.0188770877,0.0201039193,0.025569131,0.0241523769,0.0234495198,0.0219540556,-0.0286191955,-0.012825922,-0.0247560922
2017-10-01 09:45:00,0.021979,0.0188773302,0.0201044694,0.0255666932,0.0241492484,0.023446505,0.0219513889,-0.0286161102,-0.0128255043,-0.0247709412
2017-10-01 10:00:00,0.021979,0.0188775728,0.0201050195,0.0255642553,0.0241461199,0.0234434901,0.0219487222,-0.0286130242,-0.0128250865,-0.0247857936
2017-10-01 10:15:00,0.021979,0.0188778154,0.0201055696,0.0255618175,0.0241429914,0.0234404752,0.0219460556,-0.0286099374,-0.0128246686,-0.0248006493
2017-10-01 10:30:00,0.021979,0.018878058,0.0201061198,0.0255593796,0.024139863,0.0234374603,0.0219433889,-0.0286068498,-0.0128242506,-0.0248155083
2017-10-01 10:45:00,0.021979,0.0188783006,0.0201066699,0.0255569418,0.0241367345,0.0234344454,0.0219407222,-0.0286037615,-0.0128238325,-0.0248303707
2017-10-01 11:00:00,0.021979,0.0188785432,0.02010722,0.0255545039,0.024133606,0.0234314306,0.0219380556,-0.0286006723,-0.0128234143,-0.0248452364
2017-10-01 11:15:00,0.021979,0.0188787858,0.0201077701,0.0255520661,0.0241304775,0.0234284157,0.0219353889,-0.0285975824,-0.0128229959,-0.0248601054
2017-10-01 11:30:00,0.021979,0.0188790284,0.0201083202,0.0255496282,0.0241273491,0.0234254008,0.0219327222,-0.0285944918,-0.0128225775,-0.0248749778
2017-10-01 11:45:00,0.021979,0.018879271,0.0201088703,0.0255471904,0.0241242206,0.0234223859,0.0219300556,-0.0285914003,-0.0128221589,-0.0248898536
2017-10-01 12:00:00,0.021583,0.0188794983,0.0201093899,0.0255443347,0.0241209056,0.0234185169,0.0219269444,-0.0285812706,-0.0128342214,-0.0249009883
2017-10-01 12:15:00,0.021583,0.018879718,0.0201098942,0.0255412701,0.0241174972,0.0234142207,0.0219236111,-0.0285676183,-0.0128525291,-0.0249102534
2017-10-01 12:30:00,0.021583,0.0188799377,0.0201103985,0.0255382056,0.0241140889,0.0234099246,0.0219202778,-0.0285539615,-0.0128708427,-0.0249195209
2017-10-01 12:45:00,0.021583,0.0188801573,0.0201109027,0.025535141,0.0241106806,0.0234056285,0.0219169444,-0.0285403001,-0.0128891623,-0.0249287908
2017-10-01 13:00:00,0.021583,0.018880377,0.020111407,0.0255320764,0.0241072722,0.0234013323,0.0219136111,-0.0285266341,-0.0129074878,-0.0249380632
2017-10-01 13:15:00,0.021583,0.0188805967,0.0201119113,0.0255290118,0.0241038639,0.0233970362,0.0219102778,-0.0285129635,-0.0129258193,-0.024947338
2017-10-01 13:30:00,0.021583,0.0188808164,0.0201124156,0.0255259472,0.0241004556,0.0233927401,0.0219069444,-0.0284992883,-0.0129441567,-0.0249566152
2017-10-01 13:45:00,0.021583,0.018881036,0.0201129199,0.0255228826,0.0240970472,0.0233884439,0.0219036111,-0.0284856085,-0.0129625001,-0.0249658948
