11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
2db557,ad01f8,6737b8,33c7d7,89549d,a19e23,64d6cf,0badc3,2b111d,5bc70c,e34487,b71da6,aef78d
2.64375,7.44375,7.78125,2.30625,0.84375,0.1125,4.1625,1.48125,3.95625,9.65625,1.55625,11/01/18,3.3375
5.2125,2.83125,6.58125,2.83125,0.61875,0.075,4.5,2.925,7.425,7.2,,12/01/18,1.96875
7.2,15.2625,7.44375,2.90625,0.5625,0.1125,2.45625,7.21875,8.23125,4.2,,13/01/18,10.35
5.025,7.89375,5.34375,0.7875,0.01875,1.81875,2.56875,3,4.8,2.8125,,14/01/18,7.0125
2.55,10.6875,4.06875,2.34375,0.05625,4.5,1.5,2.53125,8.45625,3.91875,,15/01/18,1.48125
6.0375,9.50625,5.2875,3.1125,0.075,3.075,1.29375,2.83125,6.45,,,16/01/18,1.44375
4.06875,6.54375,5.2125,2.08125,0,0.88125,1.33125,7.18125,6.54375,,,17/01/18,2.23125
4.3875,5.0625,4.06875,2.94375,1.425,2.04375,2.34375,4.2,6.46875,,,18/01/18,4.6875
3.4125,1.93125,7.85625,1.3125,2.53125,0.76875,0.73125,1.95,6.73125,,,19/01/18,6.73125
3.6375,4.06875,12.28125,1.4625,1.6125,0.46875,1.7625,3.54375,,,,20/01/18,3.91875
3.45,8.56875,4.70625,1.4625,0.91875,0.39375,1.29375,7.63125,,,,21/01/18,1.55625
3.1875,5.55,8.325,4.66875,1.40625,2.30625,1.6125,3.28125,,,,,
1.9125,4.725,3.61875,3.84375,0.6,0.4875,1.06875,4.6875,,,,,
2.775,2.8125,5.45625,2.79375,0.61875,1.63125,4.10625,,,,,,
6,2.86875,6.5625,3.4125,0.46875,0.58125,2.00625,,,,,,
9.58125,3.09375,6.95625,3.50625,1.35,1.275,3.0375,,,,,,
4.66875,8.00625,10.2,3.4125,0.76875,0.31875,2.23125,,,,,,
5.15625,5.38125,15.15,2.94375,1.2375,1.8375,,,,,,,
9.7875,8.1375,11.38125,2.56875,0.7125,1.63125,,,,,,,
2.75625,2.60625,6.88125,2.5125,1.40625,3.45,,,,,,,
10.40625,1.81875,12.16875,5.60625,0.73125,1.44375,,,,,,,
11.0625,1.36875,7.425,8.04375,1.8,,,,,,,,
8.00625,1.6875,6.3,6.01875,1.03125,,,,,,,,
5.30625,1.425,6.91875,6.43125,2.94375,,,,,,,,
4.125,2.3625,6.31875,3.2625,1.48125,,,,,,,,
2.41875,2.4,7.44375,5.625,,,,,,,,,
2.38125,1.575,5.625,6.525,,,,,,,,,
1.3875,2.5875,3.20625,6.76875,,,,,,,,,
1.6875,2.025,3.4125,7.0125,,,,,,,,,
1.51875,3.24375,4.425,,,,,,,,,,
2.11875,3.6,9.43125,,,,,,,,,,
1.44375,2.71875,9.76875,,,,,,,,,,
3.13125,3.825,10.35,,,,,,,,,,
6.4875,2.26875,,,,,,,,,,,
7.65,4.0125,,,,,,,,,,,
4.21875,4.10625,,,,,,,,,,,
3.3375,1.96875,,,,,,,,,,,
