"BBBIndex, x; VNIndex, x; VN30Index, x","BBBIndex, y","VNIndex, y","VN30Index, y"
a4f91a,6e2ab4,72a228,006f11
1/12/15,100,100,100
1/13/15,100.696,101.0969876371,100.6009420172
1/14/15,101.189,100.4701375588,100.1786584376
1/15/15,101.64,100.592025074,100.3085918467
1/16/15,101.555,100.0870625109,99.8375832386
1/19/15,101.927,99.5124499391,99.3340912782
1/20/15,101.976,99.6343374543,98.9442910508
1/21/15,102.342,99.0945498868,98.505765795
1/22/15,102.447,100.0348250044,99.1391911645
1/23/15,102.067,101.4104126763,99.9187916193
1/26/15,101.606,101.0969876371,99.4965080396
1/27/15,101.332,100.8706251088,99.07422446
1/28/15,101.359,101.6541877068,99.6426831249
1/29/15,101.667,101.5671251959,99.7076498295
1/30/15,101.769,100.3134250392,98.505765795
2/2/15,101.615,99.3209124151,97.2064317038
2/3/15,99.665,97.0746996343,95.0950138054
2/4/15,99.366,97.7711997214,95.6309891181
2/5/15,100.054,98.7637123455,96.0370310216
2/6/15,100.411,99.9651749956,96.7516647718
2/9/15,99.938,99.8781124848,96.6054896865
2/10/15,101.474,100.0348250044,96.7191814195
2/11/15,101.503,101.3059376632,98.6356992042
2/12/15,102.381,101.8109002264,99.6264414488
2/13/15,101.708,102.2462127808,100.2436251421
2/24/15,101.915,103.9526379941,101.380542472
2/25/15,102.653,103.2039004005,100.6009420172
2/26/15,102.753,103.9004004876,101.3155757674
2/27/15,102.468,103.1864878983,100.4385252558
3/2/15,102.367,102.855650357,100.227383466
3/3/15,102.264,103.9004004876,101.8840344324
3/4/15,101.974,104.5446630681,102.2738346597
3/5/15,102.725,103.9352254919,101.5592009095
3/6/15,101.809,103.4302629288,101.153159006
3/9/15,102.015,102.4551628069,100.8445671593
3/10/15,103.197,102.6745603343,100.8770505116
3/11/15,102.648,102.1312902664,100.5798278382
3/12/15,103.343,102.4777990597,100.7373720968
3/13/15,104.168,102.0546752568,100.2013967841
3/16/15,102.829,101.1318126415,99.1765470197
3/17/15,104.197,101.2989726624,99.2756212441
3/18/15,102.726,100.7626675953,98.6162091928
3/19/15,103.516,99.9024899878,97.6628228033
3/20/15,104.252,100.1985025248,98.0607438688
3/23/15,104.155,99.4062336758,97.1365924963
3/24/15,103.332,98.8037611005,96.4430729251
3/25/15,102.954,97.671948459,95.8535000812
3/26/15,103.398,96.8413721052,95.2899139191
3/27/15,101.913,96.016019502,94.6922202371
3/30/15,101.992,94.9312206164,93.6495046289
3/31/15,102.703,95.9655232457,94.1968491148
4/1/15,101.909,93.8377154797,92.4930972876
4/2/15,102.559,95.2202681525,93.573168751
4/3/15,102.76,95.3943931743,93.821666396
4/6/15,104.189,94.5446630681,93.017703427
4/7/15,106.475,95.43966568,93.8265388988
4/8/15,106.847,95.3717569215,93.5423095663
4/9/15,105.973,95.8593069824,93.9337339613
4/10/15,106.698,96.4704858088,94.7441936008
4/13/15,107.359,97.4299146787,95.7885333766
4/14/15,106.691,97.2784259098,95.3776189703
4/15/15,106.951,98.2935747867,95.9525743057
4/16/15,107.151,98.951767369,96.6525905473
4/17/15,107.631,98.9587323698,97.3071300958
4/20/15,107.332,98.3876022985,96.7711547832
4/21/15,107.985,97.9000522375,96.4219587461
4/22/15,108.009,97.9470659934,96.4755562774
4/23/15,108.448,97.727668466,96.2660386552
4/24/15,108.651,98.5147135643,96.8166314764
4/27/15,109.242,97.927912241,96.3375020302
5/4/15,108.232,94.912066864,93.636511288
5/5/15,108.759,96.2301932788,95.0868929674
5/6/15,108.299,95.6468744559,94.1026473932
5/7/15,108.726,96.287654536,94.5915218451
5/8/15,108.87,96.5540658193,94.6743543934
5/11/15,108.428,96.0595507574,94.1058957284
5/12/15,108.216,94.7954030994,92.739970765
5/13/15,107.96,94.5185443148,92.4606139354
5/14/15,107.964,94.6700330838,92.5596881598
5/15/15,107.759,93.5817516977,91.2571057333
5/18/15,106.333,92.1034302629,89.8002273835
5/19/15,107.273,93.4737941842,90.3751827189
5/20/15,107.614,95.7861744733,92.9576092253
5/21/15,107.84,96.2145220268,93.9808348222
5/22/15,106.828,97.8269197284,95.2704239077
5/25/15,106.86,98.032387254,95.5595257431
5/26/15,106.101,98.7637123455,96.0094201722
5/27/15,106.506,98.6383423298,95.7966542147
5/28/15,106.833,99.7684137211,96.519408803
5/29/15,107.432,99.1746473968,95.715445834
6/1/15,106.324,100.1184050148,96.4122137405
6/2/15,106.586,99.3052411632,95.6033782686
6/3/15,107.141,98.8855998607,95.1112554816
6/4/15,107.25,99.0753961344,95.416598993
6/5/15,107.212,100.6564513321,96.1864544421
6/8/15,108.162,100.9629113704,96.5583888257
6/9/15,106.835,100.0296012537,96.3716095501
6/10/15,107.026,99.9651749956,96.6477180445
6/11/15,107.213,101.1753438969,97.6774403118
6/12/15,107.535,101.4678739335,98.1468247523
6/15/15,107.814,102.1208427651,98.1858047751
