"Daily Avg., x; 7 Day Avg., x; 30 Day Avg., x","Daily Avg., y","Daily Avg., text","7 Day Avg., y","7 Day Avg., text","30 Day Avg., y","30 Day Avg., text"
ed7964,471aa8,a9fe8f,3df024,3cd43e,952a58,fca469
2017-01-01,3.42857,total number = 7<br>5☆ = 2<br>4☆ = 2<br>3☆ = 1<br>2☆ = 1<br>1☆ = 1,2.59302,total number = 7<br>5☆ = 24<br>4☆ = 7<br>3☆ = 3<br>2☆ = 14<br>1☆ = 38,2.08257,total number = 545<br>5☆ = 110<br>4☆ = 26<br>3☆ = 15<br>2☆ = 42<br>1☆ = 352
2017-01-02,2.90909,total number = 11<br>5☆ = 4<br>4☆ = 1<br>3☆ = 1<br>2☆ = 0<br>1☆ = 5,2.7375,total number = 11<br>5☆ = 25<br>4☆ = 7<br>3☆ = 3<br>2☆ = 12<br>1☆ = 33,2.09756,total number = 533<br>5☆ = 108<br>4☆ = 27<br>3☆ = 15<br>2☆ = 42<br>1☆ = 341
2017-01-03,3.57143,total number = 14<br>5☆ = 7<br>4☆ = 2<br>3☆ = 1<br>2☆ = 0<br>1☆ = 4,2.7561,total number = 14<br>5☆ = 25<br>4☆ = 9<br>3☆ = 4<br>2☆ = 9<br>1☆ = 35,2.15984,total number = 513<br>5☆ = 111<br>4☆ = 28<br>3☆ = 16<br>2☆ = 35<br>1☆ = 323
2017-01-04,2.5,total number = 10<br>5☆ = 3<br>4☆ = 0<br>3☆ = 1<br>2☆ = 1<br>1☆ = 5,2.9863,total number = 10<br>5☆ = 26<br>4☆ = 8<br>3☆ = 5<br>2☆ = 7<br>1☆ = 27,2.17426,total number = 505<br>5☆ = 110<br>4☆ = 28<br>3☆ = 17<br>2☆ = 35<br>1☆ = 315
2017-01-05,1.71429,total number = 14<br>5☆ = 1<br>4☆ = 1<br>3☆ = 1<br>2☆ = 1<br>1☆ = 10,2.81333,total number = 14<br>5☆ = 23<br>4☆ = 8<br>3☆ = 6<br>2☆ = 8<br>1☆ = 30,2.13174,total number = 501<br>5☆ = 104<br>4☆ = 27<br>3☆ = 17<br>2☆ = 36<br>1☆ = 317
2017-01-06,2.94737,total number = 19<br>5☆ = 4<br>4☆ = 6<br>3☆ = 1<br>2☆ = 1<br>1☆ = 7,2.76744,total number = 19<br>5☆ = 22<br>4☆ = 14<br>3☆ = 7<br>2☆ = 8<br>1☆ = 35,2.16633,total number = 493<br>5☆ = 102<br>4☆ = 32<br>3☆ = 17<br>2☆ = 37<br>1☆ = 305
2017-01-07,2.89474,total number = 19<br>5☆ = 7<br>4☆ = 2<br>3☆ = 1<br>2☆ = 0<br>1☆ = 9,2.82979,total number = 19<br>5☆ = 28<br>4☆ = 14<br>3☆ = 7<br>2☆ = 4<br>1☆ = 41,2.1831,total number = 497<br>5☆ = 105<br>4☆ = 32<br>3☆ = 18<br>2☆ = 36<br>1☆ = 306
2017-01-08,2.15385,total number = 13<br>5☆ = 3<br>4☆ = 0<br>3☆ = 1<br>2☆ = 1<br>1☆ = 8,2.7,total number = 13<br>5☆ = 29<br>4☆ = 12<br>3☆ = 7<br>2☆ = 4<br>1☆ = 48,2.19512,total number = 492<br>5☆ = 105<br>4☆ = 31<br>3☆ = 19<br>2☆ = 37<br>1☆ = 300
2017-01-09,1.77778,total number = 9<br>5☆ = 1<br>4☆ = 0<br>3☆ = 0<br>2☆ = 3<br>1☆ = 5,2.59184,total number = 9<br>5☆ = 26<br>4☆ = 11<br>3☆ = 6<br>2☆ = 7<br>1☆ = 48,2.17119,total number = 479<br>5☆ = 100<br>4☆ = 30<br>3☆ = 16<br>2☆ = 39<br>1☆ = 294
