11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
330a94,7df3da,8de075,4ee4a7,1d11fa,1863b8,b4b10a,271b58,65c0c4,4342d9,0a0f77,94bcba,944114
0.05625,0,0,1.05,0.0375,0.09375,0,0,0,2.1,0.5625,11/01/18,0
0.01875,0.0375,0.01875,0,0,0,0,0,1.78125,0.88125,,12/01/18,0
0,0,0.31875,0,0,0,0,0,5.83125,0,,13/01/18,0
0,0,0,0,0,0,0,0,2.11875,0.80625,,14/01/18,1.35
0,0,0,0.05625,0,0,0,0,0.225,3.73125,,15/01/18,0.3
0.05625,0,0,0.1125,0,0,0,0,0.3375,,,16/01/18,0
0.05625,0,0,0,0,0.075,0,0,0,,,17/01/18,0
0.0375,0,0,0,0.0375,0,0,0.0375,1.85625,,,18/01/18,0
0.0375,0.01875,0,0,0.075,0.01875,0,0,3.09375,,,19/01/18,3.09375
0,0,0.13125,0.01875,0,0,0,0.1125,,,,20/01/18,3.73125
0,0,0,0.15,0.01875,0,0,0,,,,21/01/18,0.5625
0.01875,0,0,0.075,0.0375,0,0,0,,,,,
0,0,0,0.01875,0,0,0,0,,,,,
0,0,0,0.0375,0,0,0,,,,,,
0,0,0.01875,0,0,0,0,,,,,,
0.01875,0,0.01875,0,0,0,0,,,,,,
0,0,0.1125,0,0,0,0,,,,,,
0,0,0.075,0,0.01875,0,,,,,,,
0,0,0.01875,0,0,0,,,,,,,
0,0,0.05625,0,0.1125,0.075,,,,,,,
0,0,0.0375,0,0.225,0,,,,,,,
0,0,0.0375,0,0.1125,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0.0375,0,0.0375,,,,,,,,
0,0,0,0,0.3,,,,,,,,
0,0,0,0.1125,,,,,,,,,
0,0,0,0,,,,,,,,,
0.01875,0,0,0.4125,,,,,,,,,
0.05625,0,0.01875,1.35,,,,,,,,,
0,0,0,,,,,,,,,,
0,0,0.01875,,,,,,,,,,
0,0,0.01875,,,,,,,,,,
0,0,0,,,,,,,,,,
0.05625,0,,,,,,,,,,,
0,0,,,,,,,,,,,
0,0,,,,,,,,,,,
0,0,,,,,,,,,,,
