11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
d590e6,60716a,91ffd1,796dc8,e51c23,371584,180d22,c2bcaa,c927d5,c74e34,663ea4,725ccd,d65712
3.45,4.7625,3.88125,1.33125,0.13125,0.13125,1.35,0.2625,3.3375,1.9875,4.25625,11/01/18,1.875
3.45,3.6375,4.25625,0.4125,0.09375,0.20625,1.36875,5.2875,2.0625,1.275,,12/01/18,2.49375
3.5625,3.375,2.04375,0.99375,0.09375,0.39375,0.9,5.41875,3.50625,0.825,,13/01/18,2.98125
4.0125,3.075,3.15,0.13125,0.05625,0.075,1.48125,1.875,2.23125,1.8,,14/01/18,1.93125
2.3625,2.00625,2.5125,0.675,0.1875,1.5,0.91875,2.4,4.1625,2.1,,15/01/18,0.54375
3.525,1.59375,1.89375,0.225,0.2625,1.25625,4.25625,1.78125,4.85625,,,16/01/18,1.51875
3.05625,1.48125,3,0.65625,0.01875,0.35625,3.075,3.54375,3.88125,,,17/01/18,2.9625
3.20625,3.80625,1.9125,0.6375,0.1875,1.35,0.65625,2.7,2.11875,,,18/01/18,4.29375
2.75625,3.375,2.08125,1.14375,2.4,0.61875,1.7625,4.125,1.575,,,19/01/18,1.575
2.1375,3.35625,1.65,0.91875,0.75,0.88125,1.9875,5.025,,,,20/01/18,2.1
3.50625,3.35625,1.8375,0.225,0.5625,0.69375,3,3.4875,,,,21/01/18,4.25625
2.8875,2.1375,2.00625,1.95,0.7875,1.425,3.65625,5.025,,,,,
1.125,1.4625,1.96875,4.93125,0.35625,0.20625,2.49375,4.29375,,,,,
1.3125,1.29375,1.89375,1.35,0.225,1.4625,3.45,,,,,,
3,2.1,0.675,1.6125,0.1875,0.4875,3.3,,,,,,
3.16875,2.00625,8.41875,0.91875,1.0875,1.44375,3.0375,,,,,,
1.35,2.1,9.54375,1.2,0.15,0.76875,2.9625,,,,,,
3.15,2.38125,5.4,0.9375,0.4875,1.9875,,,,,,,
5.49375,1.70625,5.64375,0.76875,0.43125,0.99375,,,,,,,
3.28125,2.1375,2.26875,1.21875,0.8625,1.25625,,,,,,,
6.95625,2.98125,3.01875,0.525,0.31875,1.51875,,,,,,,
5.75625,2.1375,5.1375,0.95625,0.95625,,,,,,,,
4.40625,4.21875,2.25,1.10625,0.28125,,,,,,,,
3.0375,3.69375,5.1375,2.325,0.54375,,,,,,,,
5.4375,1.70625,5.38125,2.34375,0.54375,,,,,,,,
4.6125,2.8875,1.875,1.10625,,,,,,,,,
2.775,1.96875,1.78125,1.4625,,,,,,,,,
2.475,5.4375,4.2375,1.55625,,,,,,,,,
2.2125,5.55,6.24375,1.93125,,,,,,,,,
1.9875,5.5125,4.06875,,,,,,,,,,
3.15,5.00625,4.95,,,,,,,,,,
3.4875,3.15,3.09375,,,,,,,,,,
3.7875,5.1375,2.98125,,,,,,,,,,
2.8125,4.14375,,,,,,,,,,,
3.58125,5.49375,,,,,,,,,,,
3.15,4.2,,,,,,,,,,,
1.875,2.49375,,,,,,,,,,,
