"Sensor Output, x; Rounded to 0.5mm increment, x","Sensor Output, y","Rounded to 0.5mm increment, y"
795419,549571,8b542b
1511507114000,0.3736298591,0
1511507294000,0.3298548353,0
1511507474000,0.3256991513,0
1511507654000.01,0.3008044662,0
1511507834000.01,0.3087807194,0
1511508014000.01,0.3332563705,0
1511508194000.01,0.3463234094,0
1511508374000.01,0.2716311847,0
1511508554000.01,0.2502987088,0
1511508734000.01,0.257934746,0
1511508914000.01,0.3024885965,0
1511509094000.01,0.2772454357,0
1511509274000.01,0.2572604592,0
1511509454000,0.2256757008,0
1511509634000,0.2480730682,0
1511509814000,0.2369522831,0
1511509994000,0.205890868,0
1511510174000,0.2418450288,0
1511510354000.01,0.2064847133,0
1511510534000.01,0.2398634887,0
1511510714000.01,0.1951460162,0
1511510894000.01,0.1668991053,0
1511511074000.01,0.1699881978,0
1511511254000.01,0.1586236342,0
1511511434000.01,0.1626153992,0
1511511614000.01,0.1464274957,0
1511511794000.01,0.1296723113,0
1511511974000.01,0.10323306,0
1511512154000,0.1080920344,0
1511512334000,0.111767841,0
1511512514000,0.0982423718,0
1511512694000,0.0918886325,0
1511512874000,0.0776900914,0
1511513054000.01,0.0281741012,0
1511513234000.01,0.0543186085,0
1511513414000.01,0.0702724428,0
1511513594000.01,0.0708684286,0
1511513774000.01,0.0840157782,0
1511513954000.01,0.0168363061,0
1511514134000.01,0.0570175822,0
1511514314000.01,0.0676022817,0
1511514494000.01,0.080795134,0
1511514674000.01,0.0725549842,0
1511514854000,0.0632280488,0
1511515034000,0.0376878162,0
1511515214000,0.0666056804,0
1511515394000,0.070704996,0
1511515574000,0.0194200488,0
1511515754000.01,0.0445200073,0
1511515934000.01,0.0557171932,0
1511516114000.01,0.0558774794,0
1511516294000.01,0.0318648177,0
1511516474000.01,0.0270667067,0
1511516654000.01,0.0093981376,0
1511516834000.01,0.0221620222,0
1511517014000.01,0.0015311441,0
1511517194000.01,0.0498763768,0
1511517374000.01,0.0956143393,0
1511517554000,0.024356039,0
1511517734000,0.0144254024,0
1511517914000,0.0101579704,0
1511518094000,0.0159560011,0
1511518274000,0.0155007069,0
1511518454000.01,0.0099692422,0
1511518634000.01,0.0161591096,0
1511518814000.01,0.0180411445,0
1511518994000.01,0.0102194366,0
1511519174000.01,0.0106117735,0
1511519354000.01,-0.0022458397,0
1511519534000.01,0.0272286868,0
1511519714000.01,0.0248631785,0
1511519894000.01,-0.0009404483,0
1511520074000.01,0.0168080458,0
1511520254000,0.004314264,0
1511520434000,0.0029567364,0
1511520614000,0.011381421,0
1511520794000,0.0108004608,0
1511520974000,0.0140120238,0
1511521154000.01,0.0088138002,0
1511521334000.01,0.0009867907,0
1511521514000.01,0.0006575083,0
1511521694000.01,0.0110008152,0
1511521874000.01,0.0187856184,0
1511522054000.01,0.0175674849,0
1511522234000.01,0.0124077816,0
1511522414000.01,0.0206843832,0
1511522594000.01,0.0571228707,0
1511522774000.01,0.0140717387,0
1511522954000,0.0099409891,0
1511523134000,0.0073461814,0
1511523314000,0.0038528738,0
1511523494000,0.012579908,0
1511523674000,0.0011818355,0
1511523854000.01,0.0067415644,0
1511524034000.01,0.0334040241,0
1511524214000.01,0.0443669865,0
1511524394000.01,0.0122871366,0
1511524574000.01,0.0025169881,0
1511524754000.01,0.0167813341,0
1511524934000.01,0.0093869599,0
1511525114000.01,0.0083295767,0
1511525294000.01,0.0007163376,0
1511525474000.01,0.0503784327,0
1511525654000,0.041113496,0
1511525834000,-0.0012870223,0
1511526014000,0.0035006925,0
1511526194000,-0.0009675404,0
1511526374000,0.003906132,0
1511526554000.01,0.0065337943,0
1511526734000.01,0.0058410898,0
1511526914000.01,0.0050070632,0
1511527094000.01,0.0023257681,0
1511527274000.01,0.0061341256,0
1511527454000.01,0.0044223506,0
1511527634000.01,-0.0027110081,0
1511527814000.01,0.0226828275,0
1511527994000.01,0.030661576,0
1511528174000.01,0.0052796212,0
1511528354000,0.0075530362,0
1511528534000,0.0063736337,0
