Power Five,Others,Power Five (1),Others (1),Power Five (2),Others (2),Power Five (3),Others (3)
9623b1,e5c076,714dcf,5c3c35,499ed8,e74e73,77230e,c6c65d
1356500.0,400000.0,1600000.0,1040568.0,1558000.0,1106156.0,1800000.0,540000.0
1350000.0,372113.0,1500000.0,501000.0,1431250.0,534450.0,1700000.0,460000.0
1300000.0,350000.0,1500000.0,500000.0,1400000.0,526000.0,1608000.0,440000.0
1300000.0,350000.0,1500000.0,405000.0,1315000.0,500000.0,1505000.0,425000.0
1300000.0,317512.0,1404807.0,370000.0,1300000.0,425000.0,1300000.0,400000.0
975000.0,308295.0,1300000.0,350000.0,1200000.0,385000.0,1300000.0,398831.0
905033.0,305012.0,1300000.0,333013.0,1199848.0,375000.0,1200000.0,387657.0
900000.0,303000.0,1005000.0,330000.0,1155000.0,350000.0,1200000.0,355000.0
897926.0,300350.0,980415.0,306000.0,1100000.0,355000.0,1155000.0,350000.0
888333.0,301500.0,957200.0,305020.0,1051500.0,350000.0,1150000.0,350000.0
875000.0,300000.0,950000.0,303000.0,1000000.0,345000.0,1150000.0,350000.0
850000.0,300000.0,900000.0,300000.0,965000.0,340000.0,1150000.0,325000.0
851600.0,292000.0,891940.0,300012.0,925000.0,315000.0,1144225.0,314580.0
850000.0,292000.0,880000.0,301500.0,900000.0,316000.0,1100000.0,311250.0
830000.0,288622.0,880000.0,301000.0,900000.0,310473.0,1000000.0,315000.0
800000.0,285000.0,860000.0,301000.0,880000.0,309500.0,976500.0,310000.0
760000.0,285850.0,850000.0,300000.0,850000.0,309000.0,950000.0,310000.0
751500.0,275000.0,850000.0,300000.0,850000.0,305684.0,950000.0,310000.0
750000.0,270005.0,800000.0,295896.0,850000.0,300012.0,950000.0,309000.0
723000.0,270000.0,760000.0,292000.0,850000.0,300000.0,920000.0,301725.0
715281.0,260094.0,755000.0,292000.0,833000.0,300000.0,875000.0,300000.0
708000.0,250016.0,750000.0,285850.0,825000.0,301500.0,858000.0,300000.0
700000.0,250000.0,750000.0,283340.0,800000.0,300000.0,850000.0,300000.0
700000.0,244488.0,750000.0,274005.0,800000.0,300000.0,850000.0,300000.0
680000.0,242000.0,750000.0,270000.0,760000.0,298793.0,850000.0,300000.0
650000.0,242000.0,730008.0,254016.0,754500.0,62504.0,825000.0,300000.0
650000.0,240106.0,725000.0,250000.0,750000.0,285000.0,825000.0,300000.0
650000.0,236140.0,701500.0,250000.0,750000.0,279000.0,810000.0,290004.0
625000.0,235350.0,680000.0,250000.0,750000.0,275000.0,800000.0,285000.0
622000.0,225000.0,660000.0,250000.0,725000.0,275000.0,800000.0,275000.0
605000.0,219800.0,675000.0,249378.0,700000.0,265000.0,800000.0,275018.0
601000.0,220002.0,660000.0,247755.0,700000.0,255953.0,800000.0,275000.0
600000.0,220000.0,650000.0,247755.0,700000.0,253664.0,800000.0,275000.0
600000.0,218479.0,650000.0,240568.0,670000.0,252500.0,800000.0,270000.0
600000.0,214893.0,640000.0,240218.0,654500.0,250000.0,800000.0,265000.0
600000.0,210000.0,625000.0,235000.0,650000.0,250000.0,750000.0,260000.0
600000.0,200004.0,616000.0,237964.0,650000.0,250000.0,700008.0,253659.0
590000.0,200004.0,606667.0,235350.0,650000.0,244012.0,700000.0,250016.0
585000.0,210018.0,600000.0,235000.0,650000.0,240000.0,700000.0,250000.0
575000.0,207000.0,600000.0,234007.0,643750.0,235000.0,700000.0,250000.0
575000.0,208075.0,601500.0,232420.0,643750.0,235000.0,700000.0,250000.0
575000.0,208075.0,600000.0,230000.0,635000.0,234600.0,700000.0,250000.0
570000.0,205008.0,583000.0,229515.0,625000.0,230000.0,700000.0,250000.0
550000.0,205000.0,583000.0,227788.0,625000.0,230000.0,700000.0,250000.0
550000.0,205000.0,583000.0,225000.0,610000.0,229050.0,700000.0,250000.0
550000.0,205000.0,580000.0,226639.0,607500.0,226750.0,675000.0,245000.0
550000.0,200000.0,575000.0,221250.0,607500.0,226639.0,675000.0,245000.0
550000.0,200004.0,575000.0,221340.0,604500.0,220000.0,675000.0,245000.0
550000.0,200000.0,575000.0,215000.0,603600.0,225000.0,660000.0,242500.0
550000.0,200000.0,570000.0,212237.0,600000.0,225000.0,655000.0,241605.0
510000.0,201000.0,566000.0,212237.0,600000.0,220000.0,654800.0,240000.0
510000.0,200000.0,560000.0,212100.0,600000.0,219000.0,650004.0,235000.0
500000.0,200000.0,550000.0,212100.0,600000.0,217000.0,651500.0,235000.0
505008.0,200000.0,550000.0,212000.0,600000.0,215000.0,650000.0,234780.0
504645.0,200000.0,550000.0,210000.0,600000.0,215010.0,650000.0,234780.0
500000.0,200000.0,550000.0,210000.0,600000.0,215000.0,650000.0,230000.0
500000.0,200000.0,550000.0,210000.0,590000.0,214700.0,650000.0,230004.0
500000.0,200000.0,550000.0,210000.0,592000.0,210000.0,650000.0,225000.0
501000.0,200000.0,550000.0,209100.0,592000.0,210000.0,650000.0,230000.0
500000.0,199920.0,541667.0,205000.0,587500.0,210000.0,645000.0,226750.0
500000.0,195237.0,525000.0,205000.0,580663.0,212100.0,625000.0,225015.0
500000.0,195236.0,525000.0,204000.0,575000.0,212100.0,607500.0,225000.0
500000.0,194750.0,520000.0,204000.0,574800.0,210000.0,607500.0,225000.0
500000.0,194750.0,520000.0,202120.0,575000.0,200004.0,602000.0,223063.0
490000.0,194000.0,515000.0,200000.0,565000.0,208000.0,602000.0,222833.0
500000.0,157500.0,515036.0,200000.0,565000.0,203883.0,600000.0,222833.0
500000.0,192000.0,515036.0,203135.0,560000.0,200004.0,600000.0,214200.0
500000.0,192000.0,500000.0,203135.0,555000.0,203600.0,600000.0,215750.0
500000.0,192000.0,507000.0,200000.0,550000.0,200000.0,600000.0,214700.0
500000.0,190000.0,510000.0,200000.0,550000.0,200004.0,600000.0,210000.0
500000.0,190000.0,500000.0,201000.0,550000.0,198294.0,600000.0,210000.0
500000.0,190000.0,500000.0,200000.0,550000.0,202135.0,600000.0,210018.0
500000.0,190000.0,500000.0,201000.0,550000.0,202135.0,575000.0,210000.0
485004.0,190000.0,501500.0,200532.0,548457.0,201644.0,575000.0,203883.0
483000.0,188376.0,500000.0,200004.0,535000.0,201644.0,560000.0,205000.0
480000.0,187000.0,500000.0,200000.0,538959.0,201250.0,560000.0,202135.0
480000.0,183842.0,500000.0,200000.0,520000.0,201000.0,550008.0,202135.0
480000.0,184316.0,500000.0,200000.0,527875.0,200013.0,550000.0,201250.0
480000.0,185000.0,485004.0,199920.0,526500.0,200013.0,550000.0,200004.0
475000.0,184295.0,483500.0,197000.0,525000.0,200000.0,550000.0,200000.0
450000.0,181000.0,481950.0,196755.0,525000.0,200000.0,550000.0,200000.0
455000.0,180000.0,475000.0,196755.0,511500.0,200000.0,550000.0,200000.0
458000.0,180000.0,475000.0,190000.0,511250.0,200000.0,540000.0,200000.0
457500.0,180874.0,475000.0,187272.0,510000.0,199920.0,540000.0,200000.0
455000.0,180000.0,470000.0,190016.0,510000.0,195000.0,539179.0,200000.0
450000.0,176000.0,463000.0,190000.0,507083.0,194000.0,535000.0,199920.0
450036.0,175440.0,463000.0,190000.0,505000.0,190000.0,527875.0,197700.0
450036.0,175000.0,465000.0,190000.0,500000.0,191900.0,525000.0,196200.0
450000.0,175000.0,465000.0,186000.0,500000.0,190000.0,525000.0,195000.0
450000.0,175000.0,460000.0,187000.0,500000.0,188330.0,520000.0,195000.0
450000.0,174250.0,458500.0,186500.0,500004.0,188000.0,515000.0,190000.0
430000.0,160008.0,450000.0,185000.0,501500.0,186750.0,515000.0,189816.0
428000.0,170000.0,450000.0,185000.0,501000.0,184850.0,510000.0,189816.0
428000.0,170000.0,450000.0,180000.0,500000.0,185016.0,505000.0,190700.0
425000.0,171482.0,450000.0,182225.0,500000.0,185000.0,505000.0,190000.0
425004.0,170004.0,440840.0,180000.0,500000.0,184008.0,505000.0,188000.0
425004.0,164004.0,433000.0,180012.0,500000.0,184000.0,502000.0,185674.0
425004.0,170000.0,435000.0,177228.0,500000.0,182000.0,500000.0,185016.0
417560.0,170000.0,435000.0,180000.0,500000.0,178500.0,500004.0,185000.0
