"Temperature, x; Pressure, x; Humidity, x; Lux, x","Temperature, y","Pressure, y","Humidity, y","Lux, y"
8b0a15,631d62,12afd0,6a7520,479d1e
2017-11-08 20:52:20,20.3749,987.275,34.3938,0
2017-11-08 20:57:28,20.568,987.234,34.5083,0
2017-11-08 21:02:36,20.5143,987.121,34.1421,0
2017-11-08 21:07:44,20.6645,987.101,34.4167,0
2017-11-08 21:12:52,20.643,987.013,34.7753,0
2017-11-09 10:48:30,18.5409,986,33.7835,0
2017-11-09 10:53:38,18.5409,986.047,33.753,0
2017-11-09 10:58:46,18.5087,986.015,33.8216,0
2017-11-09 11:09:02,18.4766,985.875,33.9818,0
2017-11-09 11:14:09,18.4766,985.722,33.9513,0
2017-11-09 11:19:16,18.498,985.683,33.8445,0
2017-11-09 11:24:24,18.4444,985.672,33.608,0
2017-11-09 11:29:32,18.38,985.636,33.5012,0
2017-11-09 11:34:40,18.3371,985.623,33.6233,0
2017-11-09 11:39:48,18.3586,985.536,33.8521,0
2017-11-09 11:44:56,18.3264,985.516,33.8674,0
2017-11-09 11:50:03,18.3264,985.567,33.9055,0
2017-11-09 11:55:11,18.3157,985.707,33.9132,0
2017-11-09 12:05:27,18.2513,985.672,33.9666,0
2017-11-09 12:10:35,18.2299,985.685,33.9284,0
2017-11-09 12:15:42,18.2406,985.657,33.9361,0
2017-11-09 12:20:50,18.2084,985.781,34.0581,0
2017-11-09 12:25:57,18.1441,985.715,34.0505,0
2017-11-09 12:31:04,18.1119,985.656,34.0887,0
2017-11-09 12:41:19,18.1012,985.568,33.7148,0
2017-11-09 12:46:27,18.0368,985.483,33.5241,0
2017-11-09 12:56:41,17.9618,985.454,33.6461,0
2017-11-09 13:01:49,17.9832,985.438,33.7911,0
2017-11-09 13:06:59,18.0047,985.374,34.1955,0
2017-11-09 13:12:06,17.9939,985.358,34.3786,0
2017-11-09 13:22:23,17.9618,985.472,34.5006,0
2017-11-09 13:27:31,17.951,985.473,34.5693,0
2017-11-09 13:32:38,17.9189,985.4,34.5922,0
2017-11-09 13:37:45,17.8974,985.514,34.6532,0
2017-11-09 13:53:08,17.7902,985.591,34.7753,0
2017-11-09 13:58:16,17.7902,985.609,34.7066,0
2017-11-09 14:03:24,17.758,985.582,34.7295,0
2017-11-09 14:08:32,17.7258,985.629,34.6303,0
2017-11-09 14:13:40,17.6936,985.629,34.6837,0
2017-11-09 14:18:48,17.6507,985.791,34.7448,0
2017-11-09 14:23:56,17.6507,985.782,34.7219,0
2017-11-09 14:29:03,17.6293,985.851,34.6532,0
2017-11-09 14:34:11,17.5864,985.928,34.6761,0
2017-11-09 14:39:18,17.5649,985.919,34.6837,0
2017-11-09 14:44:25,17.5113,985.876,34.6685,0
2017-11-09 14:49:37,17.5113,986.013,34.6914,0
2017-11-09 14:54:45,17.5006,986.033,34.5998,0
2017-11-09 14:59:53,17.5113,985.951,34.6456,0
2017-11-09 15:20:25,17.5113,986.036,34.3862,0
2017-11-09 15:25:33,17.5328,986.009,34.4243,0
2017-11-09 15:30:41,17.6829,985.861,34.1802,0
2017-11-09 15:35:48,17.8116,985.914,33.875,0
2017-11-09 15:40:56,17.876,985.893,33.6614,0
2017-11-09 15:46:04,17.8545,985.881,33.7301,0
2017-11-09 15:51:12,17.8974,985.93,33.7911,0
2017-11-09 15:56:19,17.9081,985.927,33.9055,0
2017-11-09 16:01:27,17.9296,985.896,34.0429,0
2017-11-09 16:06:35,17.9081,985.993,34.1039,0
2017-11-09 16:11:43,17.951,986.086,34.1802,0
2017-11-09 16:22:00,18.0261,986.175,34.1955,0
2017-11-09 16:27:07,18.0583,986.258,34.1878,0
2017-11-09 16:32:14,18.1012,986.384,34.2565,0
2017-11-09 16:37:21,18.1441,986.375,34.3557,0
2017-11-09 16:42:29,18.2084,986.428,34.4243,0
2017-11-09 16:47:37,18.2513,986.451,34.554,0
2017-11-09 16:52:45,18.2728,986.453,34.6609,0
2017-11-09 16:57:53,18.2728,986.504,34.638,0
2017-11-09 17:08:09,18.3157,986.524,34.8287,0
2017-11-09 17:13:17,18.3693,986.429,35.0042,0
2017-11-09 17:18:25,18.3479,986.521,35.0728,0
2017-11-09 17:23:33,18.3908,986.524,35.1186,0
2017-11-09 17:28:43,18.4122,986.542,35.2178,0
2017-11-09 17:33:51,18.4122,986.469,35.256,0
2017-11-09 17:38:58,18.4658,986.454,35.4238,0
2017-11-09 17:44:06,18.498,986.467,35.523,0
2017-11-09 17:49:13,18.498,986.397,35.584,0
2017-11-09 17:54:20,18.6375,986.332,35.8816,0
2017-11-09 17:59:27,18.6804,986.419,36.8276,0
2017-11-09 18:04:34,18.7447,986.334,38.4069,0
2017-11-09 18:14:49,18.7447,986.353,39.681,0
2017-11-09 18:19:56,18.7662,986.325,39.8641,0
2017-11-09 18:25:04,18.7983,986.363,39.7268,0
2017-11-09 18:35:39,18.927,986.267,38.7807,0
2017-11-09 18:40:46,18.9056,986.194,39.3606,0
2017-11-09 18:45:54,18.9592,986.204,39.3453,0
2017-11-09 19:16:43,19.0986,985.63,39.2385,0
2017-11-09 19:21:56,19.2059,985.623,38.6281,0
2017-11-09 19:27:05,19.2488,985.446,37.1709,0
2017-11-09 19:32:12,19.3882,985.371,35.9655,0
2017-11-09 19:42:29,19.4097,985.188,33.8293,0
2017-11-09 19:52:47,19.4955,985.03,32.105,0
2017-11-09 20:03:04,19.5705,984.948,30.4037,0
2017-11-09 20:08:11,19.6885,984.837,30.0527,0
2017-11-09 20:18:30,19.7743,984.529,28.4429,0
2017-11-09 20:23:37,19.8387,984.49,27.802,0
2017-11-09 20:28:44,19.8708,984.382,27.4892,0
2017-11-09 20:33:52,19.9352,984.195,26.9094,0
2017-11-09 20:39:00,19.9781,984.143,26.2533,0
2017-11-09 20:49:15,20.0746,983.942,25.6963,0
2017-11-09 20:54:23,20.0853,983.863,25.498,0
2017-11-09 20:59:31,20.1175,983.765,25.6811,0
2017-11-09 21:04:39,20.1926,983.843,25.0478,0
2017-11-09 21:09:49,20.1604,983.716,25.6582,0
2017-11-09 21:14:57,20.2355,983.706,25.6353,0
2017-11-09 21:20:05,20.2998,983.607,24.9029,0
2017-11-10 10:51:19,18.8734,984.299,31.4107,0
2017-11-10 10:56:28,18.8305,984.264,31.3878,0
2017-11-10 11:01:35,18.7876,984.152,31.3573,0
2017-11-10 11:11:54,18.7662,984.084,31.5404,0
2017-11-10 11:17:04,18.7233,984.08,31.5404,0
2017-11-10 11:22:11,18.6911,984.087,31.4947,0
2017-11-10 11:27:19,18.6375,983.971,31.5023,0
2017-11-10 11:32:26,18.6375,983.992,31.5328,0
2017-11-10 11:37:37,18.6267,983.887,31.5786,0
2017-11-10 11:42:46,18.6053,983.803,31.5481,0
2017-11-10 11:47:53,18.5838,983.752,31.5175,0
2017-11-10 11:53:01,18.5517,983.767,31.5252,0
2017-11-10 11:58:08,18.5195,983.626,31.5252,0
2017-11-10 12:08:24,18.4658,983.543,31.6701,0
2017-11-10 12:13:31,18.4229,983.49,31.6625,0
2017-11-10 12:18:40,18.4015,983.525,31.7007,0
2017-11-10 12:23:47,18.38,983.524,31.7464,0
2017-11-10 12:28:57,18.38,983.483,31.8304,0
2017-11-10 12:34:07,18.3693,983.452,31.8914,0
2017-11-10 12:44:22,18.3586,983.587,31.5404,0
2017-11-10 12:49:30,18.3693,983.632,31.8609,0
2017-11-10 12:59:49,18.3586,983.918,33.4783,0
2017-11-10 13:05:00,18.3157,984.049,33.0205,0
2017-11-10 13:10:08,18.4015,984.076,33.1197,0
2017-11-10 13:15:16,18.4337,984.057,33.0129,0
2017-11-10 13:25:32,18.3908,984.134,32.7993,0
2017-11-10 13:30:43,18.2942,984.113,32.1966,0
