"ioa-ast03, x; ioa-ful01, x; ioa-bxb200, x; ioa-blr11, x; ioa-rtp6, x; ioa-sjc19, x; ioa-prg5, x; u90-scratch, x; u45-scratch, x; u71-scratch, x","ioa-ast03, y","ioa-ful01, y","ioa-bxb200, y","ioa-blr11, y","ioa-rtp6, y","ioa-sjc19, y","ioa-prg5, y","u90-scratch, y","u45-scratch, y","u71-scratch, y","u32-scratch, x; u70-scratch, x","u32-scratch, y","u70-scratch, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y; prg5-opsview, y"
29138a,cbb6f6,de5f07,7dcdcd,db3530,b9d721,2887f4,3df56b,f941ef,013ace,7dd041,52359f,001692,31147e,90ef1c,2f7d2f
2018-01-09 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-09 13:00:00,0.0,0.0,2018-01-09 13:00:00,0.0
2018-01-09 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-09 17:00:00,0.0,0.0,2018-01-09 17:00:00,0.0
2018-01-09 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-09 21:00:00,0.0,0.0,2018-01-09 21:00:00,0.0
2018-01-10 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 01:00:00,0.0,0.0,2018-01-10 01:00:00,0.0
2018-01-10 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 05:00:00,0.0,0.0,2018-01-10 05:00:00,0.0
2018-01-10 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 09:00:00,0.0,0.0,2018-01-10 09:00:00,0.0
2018-01-10 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 13:00:00,0.0,0.0,2018-01-10 13:00:00,0.0
2018-01-10 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 17:00:00,0.0,0.0,2018-01-10 17:00:00,0.0
2018-01-10 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-10 21:00:00,0.0,0.0,2018-01-10 21:00:00,0.0
2018-01-11 01:00:00,50.04,52.54,121.26,27.98,120.03,68.15,0.0,48.27,23.97,58.22,2018-01-11 01:00:00,28.04,53.75,,
2018-01-11 05:00:00,50.31,8.05,118.77,29.68,120.53,68.04,0.0,55.38,31.94,65.53,2018-01-11 05:00:00,29.18,46.71,,
2018-01-11 09:00:00,69.96,50.51,120.4,29.74,120.4,68.11,0.0,50.58,24.09,65.4,2018-01-11 09:00:00,30.08,56.5,,
2018-01-11 13:00:00,55.46,43.17,120.31,26.35,119.56,68.09,0.0,59.14,18.39,61.04,2018-01-11 13:00:00,28.01,52.37,,
2018-01-11 17:00:00,56.94,27.57,119.82,28.0,119.88,68.04,0.0,51.13,14.19,62.62,2018-01-11 17:00:00,21.33,25.59,,
2018-01-11 21:00:00,54.01,55.26,120.47,26.85,120.03,68.07,0.0,56.24,26.93,45.85,2018-01-11 21:00:00,26.92,10.1,,
2018-01-12 01:00:00,71.08,53.1,118.09,28.0,120.27,68.19,0.0,22.51,20.25,46.08,2018-01-12 01:00:00,28.12,11.02,,
2018-01-12 05:00:00,61.18,55.32,120.51,27.98,120.14,68.12,0.0,68.59,27.83,47.21,2018-01-12 05:00:00,18.25,24.72,,
2018-01-12 09:00:00,66.33,48.54,119.32,29.27,120.34,65.22,0.0,49.3,27.56,32.84,2018-01-12 09:00:00,30.07,21.19,,
2018-01-12 13:00:00,48.99,43.6,118.98,27.92,119.84,68.16,0.0,39.77,18.44,53.95,2018-01-12 13:00:00,28.08,17.67,,
2018-01-12 17:00:00,28.89,40.65,120.55,29.77,119.64,68.1,0.0,48.6,17.5,29.1,,,,,
