11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
c05532,615490,aa4455,bca1a1,2b16b9,13d1e4,07b389,d8b366,eafc0c,dc8409,4993f2,77dc3d,e5aefd
0,0,0,0,0,0,0,0.15,0,0,0.05625,11/01/18,0
0,0,0,0,0.01875,0,0,0.1875,0,1.21875,,12/01/18,0
0.0375,0,0,0,0.01875,0,0,0.15,0.09375,0.01875,,13/01/18,0
0,0,0,0,0,0,0,0.15,0,0,,14/01/18,0
0,0,0,0,0,0,0.01875,0.1125,0.01875,0.15,,15/01/18,0
0,0,0,0,0,0,0.05625,0.20625,0.09375,,,16/01/18,0
0,0,0,0.09375,0,0,0.075,0.16875,0.3375,,,17/01/18,0
0,0,0,0.05625,0,0,0.0375,0,0.075,,,18/01/18,0.15
0,0,0,0,0,0,0.05625,0.05625,0.3,,,19/01/18,0.3
0,0,0,0,0,0,0.05625,0.09375,,,,20/01/18,0.15
0.05625,0,0,0,0,0,0.0375,0.1125,,,,21/01/18,0.05625
0,0,0.05625,0,0,0,0,0.16875,,,,,
0,0,0,0,0,0,0,0.15,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0.05625,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,,,,,,,,,
0,0,0,0,,,,,,,,,
0,0,0,0.05625,,,,,,,,,
0,0,0,0,,,,,,,,,
0,0,0,,,,,,,,,,
0,0.20625,0,,,,,,,,,,
0,0,0.05625,,,,,,,,,,
0,0,0,,,,,,,,,,
0,0,,,,,,,,,,,
0,0,,,,,,,,,,,
0.05625,0,,,,,,,,,,,
0,0,,,,,,,,,,,
