"Gauss java, x; Jacobi java, x; Siedel java, x; Monte carlo java, x; Sparse eigen, x; Partial eigen, x","Gauss java, y","Jacobi java, y","Siedel java, y","Monte carlo java, y","Sparse eigen, y","Partial eigen, y"
3e38a6,2aaf8c,9d2e4e,134037,076d9e,a0994c,e638f7
0,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6655479044,0.6663671726890183,0.6663671726890183
1,0.5712942155591734,0.5712792546737431,0.5712942145074577,0.5700243424,0.5712942155591736,0.5712942155591736
2,0.8227589914096756,0.8227587982574054,0.8227589884377358,0.8237823069,0.8227589914096760,0.8227589914096758
3,0.6447028353971072,0.6433185301276534,0.64470283495773,0.6431187832,0.6447028353971069,0.6447028353971072
4,0.02345420894884007,0.023454208751725363,0.02345420738221877,0.0244142252,0.0234542089488401,0.0234542089488401
5,0.4275536979322403,0.4275427538687854,0.42755369738550436,0.4287771257,0.4275536979322403,0.4275536979322403
6,0.4275536979322403,0.4275427538687854,0.42755369738550436,0.42635229,0.4275536979322403,0.4275536979322403
7,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8448284649,0.8439358187653412,0.8439358187653441
8,0.41814439340427034,0.41813396331178604,0.41814439288226635,0.4167278898,0.4181443934042704,0.4181443934042703
9,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6655070538,0.6663671726890183,0.6663671726890183
10,0.7917402865753609,0.7917171709146118,0.7917402854492666,0.7936176678,0.7917402865753604,0.7917402865753609
11,0.1204449938155122,0.12044499284605638,0.12044499284605638,0.1218799839,0.1204449938155120,0.1204449938155122
12,0.7682541841706583,0.7682540099489101,0.7682541814862771,0.7692524328,0.7682541841706583,0.7682541841706580
13,0.8416888828672131,0.8416886859270489,0.8416888798364319,0.8435953756,0.8416888828672132,0.8416888828672133
14,0.6620576428668412,0.6606425665851692,0.6620576424186848,0.6632754555,0.6620576428668414,0.6620576428668413
15,0.034271812559194835,0.034270047616021385,0.03427181177097557,0.0327641055,0.0342718125591948,0.0342718125591948
16,0.6815327399687351,0.6815327345064939,0.6815327345064939,0.6806443764,0.6815327399687349,0.6815327399687349
17,0.8401548636552529,0.8401546672305984,0.8401548606323961,0.8382857436,0.8401548636552530,0.8401548636552529
18,0.7986824742444536,0.7986589909534478,0.7986824731008078,0.7972022794,0.7986824742444542,0.7986824742444536
19,0.01095194531218203,0.010951945222464642,0.01095194007975201,0.0123469222,0.0109519453121820,0.0109519453121820
20,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6654433061,0.6663671726890183,0.6663671726890183
21,0.031006108969589143,0.03100610869519245,0.031006106794244884,0.0301726816,0.0310061089695891,0.0310061089695891
22,0.7986824742444536,0.7986589909534478,0.7986824731008078,0.7976485745,0.7986824742444542,0.7986824742444536
23,0.47783360638357936,0.47783350764657617,0.4778336048634959,0.4796490564,0.4778336063835792,0.4778336063835793
24,0.5653143840483446,0.5652973496949505,0.5653143828370941,0.563495192,0.5653143840483446,0.5653143840483446
25,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8451250343,0.8439358187653443,0.8439358187653441
26,0.1338862116171616,0.13388621053233674,0.13388621053233674,0.1330200753,0.1338862116171614,0.1338862116171615
27,0.7986824742444536,0.7986589909534478,0.7986824731008078,0.7972056694,0.7986824742444542,0.7986824742444536
28,0.8377651486804139,0.8373734614583954,0.8377651482176987,0.8393152797,0.8377651486804136,0.8377651486804140
29,0.5635775489819144,0.5635629966809292,0.5635775479575524,0.5652085982,0.5635775489819141,0.5635775489819143
30,0.7986824742444536,0.7986589909534478,0.7986824731008078,0.797163698,0.7986824742444542,0.7986824742444536
31,0.6447028353971072,0.6433185301276534,0.64470283495773,0.646125388,0.6447028353971069,0.6447028353971072
32,0.01764992285159908,0.017649922703282805,0.017649921673485183,0.0160730348,0.0176499228515991,0.0176499228515991
33,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6670079821,0.6663671726890183,0.6663671726890183
34,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.664855637,0.6663671726890183,0.6663671726890183
35,0.034271812559194835,0.034270047616021385,0.03427181177097557,0.032589017,0.0342718125591948,0.0342718125591948
36,0.836896123381736,0.8365049897787671,0.8368961229200387,0.8382645996,0.8368961233817351,0.8368961233817360
37,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8458722717,0.8439358187653412,0.8439358187653441
38,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6675001382,0.6663671726890183,0.6663671726890183
39,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8423362705,0.8439358187653412,0.8439358187653441
40,0.4275536979322403,0.4275427538687854,0.42755369738550436,0.428092591,0.4275536979322403,0.4275536979322403
41,0.1414381116379107,0.14143811047580385,0.14143811047580385,0.1396275917,0.1414381116379104,0.1414381116379106
42,0.6694013919153732,0.6693811550588922,0.6694013904783978,0.6676793149,0.6694013919153734,0.6694013919153732
43,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8444440878,0.8439358187653412,0.8439358187653441
44,0.7917402865753609,0.7917171709146118,0.7917402854492666,0.7909531602,0.7917402865753604,0.7917402865753609
45,0.836896123381736,0.8365049897787671,0.8368961229200387,0.8377787875,0.8368961233817351,0.8368961233817360
46,0.6620576428668412,0.6606425665851692,0.6620576424186848,0.6609429606,0.6620576428668414,0.6620576428668413
47,0.031804695700317666,0.03180307709785817,0.03180469497479017,0.0334074912,0.0318046957003177,0.0318046957003177
48,0.6669295693656698,0.6669094306496897,0.6669295679359057,0.6650382163,0.6669295693656698,0.6669295693656698
49,0.7986824742444536,0.7986589909534478,0.7986824731008078,0.798057885,0.7986824742444542,0.7986824742444536
50,0.031006108969589143,0.03100610869519245,0.031006106794244884,0.0317746898,0.0310061089695891,0.0310061089695891
51,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8451063492,0.8439358187653412,0.8439358187653441
52,0.8439358187653441,0.8435399308898579,0.843935818297797,0.8445551578,0.8439358187653412,0.8439358187653441
53,0.6490560726170009,0.6476564504130287,0.6490560721736414,0.6481956028,0.6490560726170006,0.6490560726170009
54,0.31704277990696744,0.31704272633909414,0.31704277296567074,0.3188493419,0.3170427799069674,0.3170427799069674
55,0.6815327399687351,0.6815327345064939,0.6815327345064939,0.6800945341,0.6815327399687349,0.6815327399687349
56,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6654785993,0.6663671726890183,0.6663671726890183
57,0.56882239300947,0.5688075302645407,0.5688223919649655,0.5670964762,0.5688223930094702,0.5688223930094701
58,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6646937361,0.6663671726890183,0.6663671726890183
59,0.6663671726890183,0.6649375532602189,0.6663671722358477,0.6655163857,0.6663671726890183,0.6663671726890183
60,0.02818475990472826,0.028184759653757274,0.02818475791594161,0.0266450873,0.0281847599047282,0.0281847599047283
61,0.024308131430172103,0.024308131214374293,0.0243081297192286,0.0234601109,0.0243081314301721,0.0243081314301721
62,0.7667201649586979,0.7667199912524594,0.766720162282241,0.7659960841,0.7667201649586975,0.7667201649586979
63,0.021486782365311208,0.021486782172939103,0.021486780840925316,0.0206574925,0.0214867823653113,0.0214867823653112
64,0.6447028353971072,0.6433185301276534,0.64470283495773,0.6439306757,0.6447028353971069,0.6447028353971072
65,0.2824360093693899,0.28243109168228175,0.28243600657051643,0.2841519325,0.2824360093693897,0.2824360093693900
