x,y,z,color
984029,664479,dab4b2,e24c91
5.3439344188,-3.7933450705,-5.8493640527,0.0
-2.0783815917,0.7955525127,-3.8988764032,0.0
-6.9236457107,1.3680679411,-3.8713215468,0.0
-13.7941468863,4.3369017561,16.7396699351,1.0
-5.175507274,0.1388918444,1.171501584,0.0
-2.5270542424,-8.4619297469,8.7890517679,1.0
-8.1219223906,-1.2575510244,5.6043740219,0.0
8.3806135114,-1.4415198247,-3.0284823552,0.0
-1.5992712799,-4.552514669,3.005045602,0.0
-21.3462284209,18.4213924575,-18.3941366746,1.0
5.8724699626,8.4632605704,-16.8412139847,1.0
-0.2169491652,5.6298797842,-1.5395018501,0.0
2.1304849459,3.5491594914,0.5392701854,0.0
3.3851738999,8.8826309452,-3.0452304293,0.0
-9.4794290617,-1.7691913011,-12.9554272414,1.0
0.353831096,4.7942868277,-8.373679313,0.0
-2.0025483959,4.5746802475,8.3151892067,0.0
-3.5981346487,-3.088954148,-7.3055787152,0.0
-12.030520451,7.6296697987,11.585302261,1.0
2.2557125766,-10.4462325334,2.4615270755,1.0
-5.500524687,-5.7617178351,10.6066960497,1.0
0.89061294,-1.0664861592,-2.1800679133,0.0
-2.2835128719,-14.9767320643,-16.5188710516,1.0
2.4536176871,8.3069691885,7.6058104536,0.0
6.2501251053,7.0175052054,4.6976388415,0.0
-1.019920398,8.3427061589,-0.6267544311,0.0
14.9081412897,14.0936393611,-6.0136606142,1.0
-7.6478811209,16.159272432,-9.3086322887,1.0
-0.1175552734,-9.1314794237,10.7652379287,1.0
-3.2280263077,1.3175369531,4.0932635894,0.0
-0.153205402,-4.9857408776,-0.4464574654,0.0
-8.4453133878,18.6185779384,3.6089804741,1.0
8.6723806546,1.8682330103,2.5592639952,0.0
2.3098203582,7.3540258367,6.3614405392,0.0
6.250972817,-1.2186444129,16.2841699102,1.0
0.5230422079,-0.0712070426,-6.270583198,0.0
-1.8253494586,-4.6213389882,2.7693541086,0.0
-0.4557404582,-4.1091575346,-5.9930498488,0.0
18.3483367432,-3.5957807083,-4.4619770886,1.0
-7.1083145351,3.6610499593,-3.9961628263,0.0
-8.9107574567,12.2804765804,4.9162847837,1.0
2.1772501916,-0.3751984111,-5.8014879421,0.0
-2.4895620048,-5.1923466212,-6.0463627227,0.0
7.5616534689,-4.4033126078,3.3500235371,0.0
-9.3387711131,-0.3621485273,-3.8326126087,0.0
11.2882374695,-20.3573318474,-3.5101413923,1.0
-7.611617626,-0.6391625893,-5.6458405517,0.0
5.6172162684,-0.5240751814,1.3110162878,0.0
-2.4687060549,-9.9569790724,1.3449303103,1.0
-7.3696278866,2.1014515181,-6.0688318286,0.0
3.9915294787,0.143677454,-0.8208821734,0.0
-10.1167740393,-13.1841702036,-14.3974825937,1.0
-18.5805153992,-12.8319255432,9.0187392714,1.0
-7.2614268313,-1.2498260675,-8.1412587451,1.0
2.6319179347,-7.617781026,-10.0510005538,1.0
1.0821748769,4.7091774552,-8.5913204297,0.0
5.5405107035,4.5291414451,5.7895646437,0.0
-17.7686539329,9.9619776201,-0.048892535,1.0
1.1961432309,12.3975955632,13.3124689033,1.0
16.0960571287,10.9667410812,-10.8306130114,1.0
-9.7653272747,-6.4355911886,-1.485739028,1.0
-1.6746200633,4.5884317036,10.1326345169,0.0
18.4775188791,-5.5535221515,17.6715316904,1.0
21.8225279459,14.5268699435,-7.3764360294,1.0
-4.3149232941,4.0223032153,-0.6435004939,0.0
8.0756975608,-1.2050551049,0.5947266284,0.0
-9.43168984,19.7339622992,-11.6145108159,1.0
0.5948550878,-8.4882896299,-5.7169496649,0.0
17.6875548212,1.2505414529,1.6109614782,1.0
2.0687196353,4.0219813882,16.7150648441,1.0
2.2615699811,-7.1189814351,-12.8087911291,1.0
-3.5229946542,-18.8559530642,-17.3731574315,1.0
2.847698506,6.661451653,-3.2248230228,0.0
-6.3930387492,7.3549892501,0.3814204671,0.0
21.9231755592,10.5552607672,-7.3974400099,1.0
4.5653096012,1.846794572,-13.9507707097,1.0
8.8032721553,0.2321035838,-7.8231612954,1.0
1.2464610895,-21.5376091457,1.3276381323,1.0
-5.9116071658,7.3200419012,-0.3540087002,0.0
-4.4135789299,1.1971115555,10.4194993145,0.0
8.907777108,3.573330277,6.3061892094,1.0
-16.2879892734,-0.5665133659,-8.6461828583,1.0
-3.2768556849,-6.7858523925,-2.3621762542,0.0
-15.4716574478,-10.5363683568,9.8969018526,1.0
2.3905741801,1.5408789455,-4.2172569423,0.0
-1.5524555705,10.5494471688,4.1182481823,1.0
1.9099227836,1.3241527246,10.6218933613,0.0
-2.6224492029,6.0671202501,0.902978614,0.0
-3.6166799889,-2.7835572475,-0.8216777764,0.0
6.2683780588,-5.0768196584,-2.2705197233,0.0
-0.094161639,0.4597336443,-7.0608628624,0.0
19.6459688543,17.5387590954,-0.2077276408,1.0
-0.4245149387,1.4059216604,3.0169859607,0.0
6.1746447525,4.3432637613,5.0367054467,0.0
8.0160850682,-2.2655096486,-5.8625854885,0.0
5.4119542614,-18.4294982585,-15.005853958,1.0
-2.8969127073,-3.6467481625,2.5442252249,0.0
2.2101044194,11.4169199946,-21.5682602008,1.0
6.502062792,6.1690938548,4.0883033852,0.0
-20.7332602471,-4.7309700431,10.4474503045,1.0
6.4364872422,-4.9818944456,-1.2666356996,0.0
-1.75177163,-2.0881289624,-15.4393158513,1.0
9.1202079899,-4.8869705069,3.4434912435,0.0
6.6723481578,-7.7037407374,-0.0418854346,0.0
8.1600666732,-9.8699703598,-21.1775286551,1.0
14.4199276315,-5.3206423264,4.1274016292,1.0
5.1501965549,-17.8692833105,13.3324880966,1.0
6.3793246234,2.3147573462,0.8584890525,0.0
0.8006733369,2.067756882,-5.7201397714,0.0
-4.0840976155,-5.6267165268,-4.9535547892,0.0
18.8632204606,16.6656267839,-1.2176512352,1.0
0.1695817148,2.1021081447,-2.2560417738,0.0
-3.0599071743,-8.3853627996,6.7381806866,0.0
-12.5213342449,20.5559020272,-7.7087175715,1.0
-1.6604792734,21.1974380839,-3.8646190261,1.0
10.9699369858,-7.6393895435,-16.4373104876,1.0
0.0830796757,15.6980408988,21.9807418719,1.0
-19.2185784126,-5.5724605397,13.0146625187,1.0
-11.9385070237,-12.1288523318,20.6797608504,1.0
-18.0645942639,-2.7578642659,-4.9927537264,1.0
4.5305810444,-0.1840663157,3.4448610978,0.0
-7.6863891523,2.2300850862,0.3152020651,0.0
0.0788244393,3.7447275857,-10.38647256,0.0
-8.2856952535,2.5185902044,-3.7883393391,0.0
-16.7352403385,-3.7515664588,21.9777247356,1.0
11.0176616998,14.3780814715,-19.4618828792,1.0
-0.763669235,-2.4166830088,-0.2506123658,0.0
-3.0847403719,9.6078531477,-4.0389131372,1.0
2.8447232064,-1.5020995408,-2.3636654771,0.0
-0.5277621357,6.0328667154,6.0863367459,0.0
1.4150763214,-4.3906574902,-4.3637880392,0.0
-2.4098995826,-18.560930169,-18.087509824,1.0
17.7571995621,19.6821445452,2.9705170651,1.0
-8.4426377849,-0.0076155654,-13.9994932552,1.0
-0.1116920811,5.4955676128,6.4629910238,0.0
17.1461194983,8.819164441,15.712384775,1.0
0.0108573046,-0.0867172115,-6.0643313347,0.0
0.683450923,9.6167751982,2.3001352837,0.0
9.5844678479,0.4079241805,0.92332233,0.0
-6.6034853938,3.6191697308,-7.4179113615,0.0
-8.4929398372,2.6181090352,-0.3305572312,0.0
16.0963920464,14.3042535398,-5.5627343094,1.0
-5.3931632611,3.6632434829,-8.6473693731,1.0
-2.226487026,-2.4509271601,-4.7959838336,0.0
1.6699073279,4.8505068551,6.1921505105,0.0
-17.157627895,6.7328114812,-16.1715925148,1.0
2.368637151,3.1010461539,-15.8056273338,1.0
9.4332942291,-1.108315326,-0.5972752341,0.0
-6.6506648576,-1.3888557174,-6.5013642242,0.0
-0.5070942747,-3.7482499771,-21.6432173071,1.0
8.3952671289,15.2531132885,-11.0962795181,1.0
-17.5408657257,-4.0728100267,-3.3915891418,1.0
1.6110002563,-5.0028089037,4.0285077189,0.0
-5.322007512,5.2888172077,2.3470468287,0.0
-11.9469150024,-19.3556506875,-15.5096349721,1.0
-8.6317620973,4.6840531892,-2.4126596887,0.0
11.287661059,0.8326592046,-3.9315426064,0.0
-15.2561537785,4.8462159479,-9.499436186,1.0
4.6558895081,-19.711634441,7.7672381816,1.0
-19.6194073085,-8.8473824507,9.5909761725,1.0
1.0305865305,-10.2276455447,18.0289263557,1.0
-3.8114052727,-7.2303639648,-3.9503318557,0.0
-0.4212490574,3.6337567531,-7.1363402873,0.0
0.7123946546,2.8623292972,-6.5417460765,0.0
-3.9143640608,-1.0514273147,5.0168906894,0.0
-18.105738861,15.2006517114,-5.9130919429,1.0
-10.6871828155,8.0818327637,17.1497515527,1.0
-0.9669567251,-8.8477555442,-5.3494551481,0.0
3.7041353977,2.2516441451,-5.4710544413,0.0
-18.7891364034,-2.5802448638,-9.9148931143,1.0
-20.5637654393,-1.1701986544,6.5857437641,1.0
5.0970823167,7.2685032965,-1.7781890657,0.0
12.6097065605,18.702518603,-15.689057201,1.0
-16.392714813,-1.5675662467,-4.6984175245,1.0
8.0896420917,20.758184758,11.5839863108,1.0
