"Used Space, x; Total Space, x","Used Space, y","Total Space, y"
7452e1,a40797,9574a8
2017-10-14 09:59:00,59556,74497
2017-10-14 10:59:00,59577,74497
2017-10-14 11:59:00,59582,74497
2017-10-14 12:59:00,59584,74497
2017-10-14 13:59:00,59587,74497
2017-10-14 14:59:00,59587,74497
2017-10-14 15:59:00,59588,74497
2017-10-14 16:59:00,59589,74497
2017-10-14 17:59:00,59590,74497
2017-10-14 18:59:00,59592,74497
2017-10-14 19:59:00,59594,74497
2017-10-14 20:59:00,59608,74497
2017-10-14 21:59:00,59712,74497
2017-10-14 22:59:00,59717,74497
2017-10-14 23:59:00,59715,74497
2017-10-15 00:59:00,59715,74497
2017-10-15 01:59:00,59718,74497
2017-10-15 02:59:00,59720,74497
2017-10-15 03:59:00,59722,74497
2017-10-15 04:59:00,59726,74497
2017-10-15 05:59:00,59728,74497
2017-10-15 06:59:00,59731,74497
2017-10-15 07:59:00,59733,74497
2017-10-15 08:59:00,59737,74497
2017-10-15 09:59:00,59738,74497
2017-10-15 10:59:00,59743,74497
2017-10-15 11:59:00,59745,74497
2017-10-15 12:59:00,59747,74497
2017-10-15 13:59:00,59748,74497
2017-10-15 14:59:00,59750,74497
2017-10-15 15:59:00,59751,74497
2017-10-15 16:59:00,59751,74497
2017-10-15 17:59:00,59752,74497
2017-10-15 18:59:00,59754,74497
2017-10-15 19:59:00,59755,74497
2017-10-15 20:59:00,59757,74497
2017-10-15 21:59:00,59758,74497
2017-10-15 22:59:00,59760,74497
2017-10-15 23:59:00,59763,74497
2017-10-16 00:59:00,59779,74497
2017-10-16 01:59:00,59782,74497
2017-10-16 02:59:00,59783,74497
2017-10-16 03:59:00,59785,74497
2017-10-16 04:59:00,59786,74497
2017-10-16 05:59:00,59790,74497
2017-10-16 06:59:00,59791,74497
2017-10-16 07:59:00,59793,74497
2017-10-16 08:59:00,59794,74497
2017-10-16 09:59:00,59799,74497
2017-10-16 10:59:00,59789,74497
2017-10-16 11:59:00,59951,74497
2017-10-16 12:59:00,60428,74497
2017-10-16 13:59:00,59857,74497
2017-10-16 14:59:00,59956,74497
2017-10-16 15:59:00,59715,74497
2017-10-16 16:59:00,59717,74497
2017-10-16 17:59:00,59824,74497
2017-10-16 18:59:00,59848,74497
2017-10-16 19:59:00,59874,74497
2017-10-16 20:59:00,59878,74497
2017-10-16 21:59:00,59873,74497
2017-10-16 22:59:00,59874,74497
2017-10-16 23:59:00,59877,74497
2017-10-17 00:59:00,60056,74497
2017-10-17 01:59:00,60066,74497
2017-10-17 02:59:00,60070,74497
2017-10-17 03:59:00,60073,74497
2017-10-17 04:59:00,60074,74497
2017-10-17 05:59:00,60078,74497
2017-10-17 06:59:00,60080,74497
2017-10-17 07:59:00,60100,74497
2017-10-17 08:59:00,60103,74497
2017-10-17 09:59:00,60097,74497
2017-10-17 10:59:00,60106,74497
2017-10-17 11:59:00,60090,74497
2017-10-17 12:59:00,60093,74497
2017-10-17 13:59:00,60110,74497
2017-10-17 14:59:00,60123,74497
2017-10-17 15:59:00,60124,74497
2017-10-17 16:59:00,60646,74497
2017-10-17 17:59:00,60933,74497
2017-10-17 18:59:00,60236,74497
2017-10-17 19:59:00,60255,74497
2017-10-17 20:59:00,60257,74497
2017-10-17 21:59:00,60277,74497
2017-10-17 22:59:00,60304,74497
2017-10-17 23:59:00,60323,74497
2017-10-18 00:59:00,60413,74497
2017-10-18 01:59:00,60403,74497
2017-10-18 02:59:00,60405,74497
2017-10-18 03:59:00,60907,74497
2017-10-18 04:59:00,61147,74497
2017-10-18 05:59:00,61359,74497
2017-10-18 06:59:00,61394,74497
