"60-90 dias, x; 30-60 días, x; 0-30 días, x","60-90 dias, y","60-90 dias, color","30-60 días, y","30-60 días, color","0-30 días, y","0-30 días, color"
61025c,cb96b1,a8f953,5fce1f,2d015a,cfe61c,7d5256
BCN,0.25,"rgba(179,226,205,1)",0.625,"rgba(253,205,172,1)",0.125,"rgba(203,213,232,1)"
CDMX,0.3333333333,"rgba(179,226,205,1)",0.5416666667,"rgba(253,205,172,1)",0.125,"rgba(203,213,232,1)"
CHP,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
COL,0.0,"rgba(179,226,205,1)",0.0,"rgba(253,205,172,1)",1.0,"rgba(203,213,232,1)"
DUR,0.3043478261,"rgba(179,226,205,1)",0.5652173913,"rgba(253,205,172,1)",0.1304347826,"rgba(203,213,232,1)"
GTO,0.5091575092,"rgba(179,226,205,1)",0.358974359,"rgba(253,205,172,1)",0.1318681319,"rgba(203,213,232,1)"
GUE,0.4285714286,"rgba(179,226,205,1)",0.4285714286,"rgba(253,205,172,1)",0.1428571429,"rgba(203,213,232,1)"
HID,0.4324324324,"rgba(179,226,205,1)",0.4324324324,"rgba(253,205,172,1)",0.1351351351,"rgba(203,213,232,1)"
JAL,0.6666666667,"rgba(179,226,205,1)",0.3333333333,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
MEX,0.5,"rgba(179,226,205,1)",0.5,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
MIC,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
NLE,0.4655172414,"rgba(179,226,205,1)",0.4827586207,"rgba(253,205,172,1)",0.0517241379,"rgba(203,213,232,1)"
QUE,0.2,"rgba(179,226,205,1)",0.8,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
SLP,0.4545454545,"rgba(179,226,205,1)",0.3636363636,"rgba(253,205,172,1)",0.1818181818,"rgba(203,213,232,1)"
SON,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
TAB,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
TAM,0.3846153846,"rgba(179,226,205,1)",0.3846153846,"rgba(253,205,172,1)",0.2307692308,"rgba(203,213,232,1)"
TLA,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
VER,1.0,"rgba(179,226,205,1)",0.0,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
ZAC,0.3666666667,"rgba(179,226,205,1)",0.4666666667,"rgba(253,205,172,1)",0.1666666667,"rgba(203,213,232,1)"
