"Model - ADHD-Real-5-nonCV - Train, x; Precision Threshold, x","Model - ADHD-Real-5-nonCV - Train, y; Recall Threshold, y","Recall Threshold, x","Precision Threshold, y"
f68f91,1e3187,3a02bc,3d18ec
100.0,2.6381277965,15,8.5
100.0,2.6381277965,15,8.5
100.0,2.6381277965,15,8.5
100.0,2.6381277965,15,8.5
99.714149595,2.7067571937,15,8.5
96.2839447356,2.9843032442,15,8.5
91.615054788,3.1836167078,15,8.5
86.1362553597,3.5571644992,15,8.5
79.5616960457,3.9167858902,15,8.5
71.9866603144,4.2058676168,15,8.5
65.7455931396,4.5311268716,15,8.5
57.3606479276,4.9776748801,15,8.5
51.0719390186,5.3349258485,15,8.5
47.4035254883,5.7124813411,15,8.5
41.019533111,6.1844562563,15,8.5
37.7798951882,6.3817801384,15,8.5
33.3492139114,6.9135802469,15,8.5
30.252501191,7.2563135642,15,8.5
27.6798475465,7.3824650572,15,8.5
23.2491662697,7.8887811187,15,8.5
22.2010481182,7.9658119658,15,8.5
19.2949023344,8.1554571083,15,8.5
16.1505478799,8.5627683759,15,8.5
15.2453549309,8.4903157336,15,8.5
13.7208194378,8.7885260909,15,8.5
11.1005240591,8.7792012057,15,8.5
10.1476893759,8.9646464646,15,8.5
10.0524059076,8.9787234043,15,8.5
8.9090042878,9.317389138,15,8.5
7.4321105288,9.5588235294,15,8.5
6.4792758456,9.3023255814,15,8.5
6.4792758456,9.4773519164,15,8.5
5.9552167699,9.349289454,15,8.5
4.9070986184,9.5636025998,15,8.5
4.3830395426,10.0436681223,15,8.5
4.0971891377,10.1176470588,15,8.5
4.0971891377,10.1534828808,15,8.5
3.7160552644,10.5834464043,15,8.5
3.2396379228,10.7765451664,15,8.5
2.8108623154,11.0280373832,15,8.5
2.7155788471,12.0762711864,15,8.5
2.7155788471,12.0762711864,15,8.5
2.7155788471,12.5,15,8.5
2.4297284421,12.6550868486,15,8.5
2.2391615055,13.9880952381,15,8.5
2.0009528347,14.6341463415,15,8.5
1.7627441639,14.1221374046,15,8.5
1.7627441639,14.1221374046,15,8.5
1.7627441639,14.1221374046,15,8.5
1.5721772273,13.8075313808,15,8.5
1.3339685565,13.4615384615,15,8.5
1.0481181515,12.5714285714,15,8.5
0.9528346832,13.7931034483,15,8.5
0.9528346832,13.986013986,15,8.5
0.9528346832,13.986013986,15,8.5
0.9528346832,13.986013986,15,8.5
0.905192949,15.2,15,8.5
0.8575512149,16.6666666667,15,8.5
0.6669842782,15.3846153846,15,8.5
0.4287756074,13.8461538462,15,8.5
0.3811338733,13.3333333333,15,8.5
0.3811338733,13.3333333333,15,8.5
0.3811338733,13.3333333333,15,8.5
0.3811338733,13.3333333333,15,8.5
0.285850405,11.320754717,15,8.5
0.2382086708,9.8039215686,15,8.5
0.2382086708,10.8695652174,15,8.5
0.2382086708,13.5135135135,15,8.5
0.2382086708,18.5185185185,15,8.5
0.2382086708,18.5185185185,15,8.5
0.2382086708,18.5185185185,15,8.5
0.2382086708,18.5185185185,15,8.5
0.2382086708,18.5185185185,15,8.5
0.2382086708,18.5185185185,15,8.5
0.1905669366,17.3913043478,15,8.5
0.1905669366,21.0526315789,15,8.5
0.1429252025,20.0,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,27.2727272727,15,8.5
0.1429252025,30.0,15,8.5
0.0476417342,16.6666666667,15,8.5
