11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
1ee649,261fd7,b4cf4c,4166c2,eba28e,701575,7764d2,03ac2c,fa3a1e,618b7d,881c00,d86aba,75819e
0,0,0,0.13125,0,0,0,0,0,0.0375,0.9,11/01/18,0
0,0,0,0,0,0,0,0,1.70625,0,,12/01/18,0
0,0,0,0,0,0,0,0,0.375,0.80625,,13/01/18,0
0,0,0.0375,0,0,0,0,0,0.6375,0.28125,,14/01/18,0
0,0,0,0,0,0,0,0,0.4875,0.65625,,15/01/18,0.0375
0.05625,0,0,0,0,0,0,0,0.35625,,,16/01/18,0
0,0,0,0,0,0,0,0,0,,,17/01/18,0
0,0,0,0,0,0,0,0,0,,,18/01/18,0
0.01875,0,0,0,0,0,0,0.1125,0.4125,,,19/01/18,0.4125
0,0,0,0,0,0,0,0.39375,,,,20/01/18,0.65625
0,0,0,0,0,0,0,0,,,,21/01/18,0.9
0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0.1875,0,,,,,,,,
0,0,0,0.28125,0,,,,,,,,
0,0,0,0.31875,0.09375,,,,,,,,
0.01875,0,0,0,0.0375,,,,,,,,
0,0,0,0,,,,,,,,,
0.01875,0,0,0,,,,,,,,,
0.0375,0,0,0,,,,,,,,,
0.0375,0,0,0,,,,,,,,,
0.0375,0,0,,,,,,,,,,
0.075,0,0,,,,,,,,,,
0.05625,0.1875,0,,,,,,,,,,
0.01875,0,0,,,,,,,,,,
0.01875,0.7125,,,,,,,,,,,
0.01875,1.275,,,,,,,,,,,
0,0.225,,,,,,,,,,,
0,0,,,,,,,,,,,
