"price, x; LONG positions, x; CLOSED LONG positions, x; SHORT positions, x; CLOSED SHORT positions, x; 200 SMA, x; MACD indicator, x; EMA9 indicator, x; RSI, x; RSImax, x; RSImin, x","price, y","LONG positions, y","CLOSED LONG positions, y","SHORT positions, y","CLOSED SHORT positions, y","200 SMA, y","MACD indicator, y","EMA9 indicator, y","RSI, y","RSImax, y","RSImin, y"
625e8c,4fda6c,9e958f,1d3047,562059,9752cb,8fa0a3,afced7,3382fd,32c2d4,c8cf55,684ac0
2017-09-12 07:59:59,313.1,,,,,308.085,18.9944680045,18.9944680045,50.0,70,30
2017-09-12 12:00:00,310.16,,,,,308.7766666667,18.9944680045,18.9944680045,50.0,70,30
2017-09-12 16:00:00,303.0,,,,,307.3325,18.9944680045,18.9944680045,50.0,70,30
2017-09-12 20:00:00,294.07,,,,,304.68,18.9944680045,18.9944680045,50.0,70,30
2017-09-12 23:59:59,293.91,,,,,302.885,18.9944680045,18.9944680045,50.0,70,30
2017-09-13 03:59:58,275.63,,,,,298.9914285714,18.9944680045,18.9944680045,50.0,70,30
2017-09-13 07:59:59,278.9,,,,,296.48,18.9944680045,18.9944680045,50.0,70,30
2017-09-13 11:59:59,261.7,,,,,291.30875,18.9944680045,18.9944680045,50.0,70,30
2017-09-13 15:59:59,267.39,,,,,288.6511111111,18.9944680045,18.9944680045,50.0,70,30
2017-09-13 19:59:59,267.48,,,,,286.534,18.9944680045,18.9944680045,50.0,70,30
2017-09-14,275.48,,,,,285.5290909091,18.9944680045,18.9944680045,50.0,70,30
2017-09-14 04:00:00,269.8,,,,,284.2183333333,18.9944680045,18.9944680045,50.0,70,30
2017-09-14 07:59:59,272.12,,,,,283.2876923077,18.9944680045,18.9944680045,50.0,70,30
2017-09-14 11:59:59,248.0,,,,,280.7671428571,13.5977739479,18.6490417737,50.0,70,30
2017-09-14 16:00:10,243.64,,,,,278.292,8.5036814187,17.9315649618,17.1574773105,70,30
2017-09-14 20:00:00,234.65,,,,,275.564375,3.7717617259,16.8156812084,14.6396776125,70,30
2017-09-14 23:59:58,222.5,,,,,272.4429411765,-1.9724494225,15.1835495,13.1333864007,70,30
2017-09-15 03:59:58,237.77,,,,,270.5166666667,-4.9085792476,13.146169099,23.7516890437,70,30
2017-09-15 08:00:00,220.68,,,,,267.8936842105,-9.4154492919,10.5490433897,20.7017143932,70,30
2017-09-15 12:00:00,203.17,,,,,264.6575,-12.7292443014,7.3940083116,18.1325630213,70,30
2017-09-15 15:59:59,252.99,,,,,264.1019047619,-14.7755594321,3.6879066879,40.6871332531,70,30
2017-09-15 19:59:59,257.3,,,,,263.7927272727,-16.8220406682,-0.6426457714,42.1714410291,70,30
2017-09-15 23:59:58,258.52,,,,,263.5634782609,-20.1510210775,-4.6988949656,42.6092495352,70,30
2017-09-16 03:59:59,260.41,,,,,263.4320833333,-22.8918454224,-8.4663312737,43.3250950078,70,30
2017-09-16 08:00:00,265.05,,,,,263.4968,-26.0026235293,-12.0015836913,45.134426578,70,30
2017-09-16 11:59:59,252.98,,,,,263.0923076923,-26.5338930083,-14.9090518805,41.429253959,70,30
2017-09-16 15:59:59,246.78,,,,,262.4881481481,-26.789359772,-17.6411225996,39.629598802,70,30
2017-09-16 20:00:00,254.29,,,,,262.1953571429,-22.3665540983,-19.5653197235,42.8670396423,70,30
2017-09-16 23:59:59,253.0,,,253.0,,261.8782758621,-16.4328459613,-20.712589046,42.4459750237,70,30
2017-09-17 03:59:59,250.4,,,,,261.4956666667,-12.9032851641,-21.383256684,41.5599048399,70,30
2017-09-17 08:00:00,241.68,,,,,260.8564516129,-6.9523358746,-21.3588452831,38.6460710393,70,30
2017-09-17 11:59:59,244.56,,,,,260.3471875,0.8512203368,-20.175374608,40.1388515727,70,30
2017-09-17 15:59:59,254.14,,,,,260.1590909091,2.6284180785,-18.1802050532,44.9379907372,70,30
2017-09-17 19:59:59,261.03,,,,261.03,260.1847058824,2.9631211841,-15.284651528,48.1571716389,70,30
2017-09-18,257.0,,,,,260.0937142857,3.387524863,-11.8716520429,46.4466892858,70,30
2017-09-18 04:00:00,279.47,,,,,260.6319444444,4.1197954793,-7.9069798389,55.8605407918,70,30
2017-09-18 08:00:02,287.71,,,,,261.3637837838,4.9518824156,-4.2331385547,58.7258283108,70,30
2017-09-18 11:59:59,286.56,,,,,262.0268421053,7.1635556608,-1.0984313571,58.1584026372,70,30
2017-09-18 16:00:01,292.55,,,,,262.8094871795,10.7506916523,1.9873869104,60.3095939631,70,30
2017-09-18 19:59:59,291.81,,,,,263.5345,12.0349815532,4.3930185173,59.8998747995,70,30
2017-09-18 23:59:59,296.78,,,,,264.3453658537,13.5339196398,5.676385081,61.7779921407,70,30
2017-09-19 03:59:59,288.31,,,,,264.915952381,14.8394911843,6.8638114063,56.8879875208,70,30
2017-09-19 07:59:59,281.11,,,,,265.2925581395,16.6674201529,8.2603534264,53.044300836,70,30
2017-09-19 12:00:02,287.66,,,,,265.8009090909,19.5280611638,9.9422704212,55.9595308873,70,30
2017-09-19 16:00:00,291.23,,,,,266.366,20.401157456,11.7596451923,57.5080025666,70,30
2017-09-19 20:00:00,282.8,,,,,266.7232608696,19.2136390958,13.5789406253,52.7881162663,70,30
2017-09-19 23:59:59,282.9,,,,,267.0674468085,21.8612550929,15.3738949501,52.8375651601,70,30
2017-09-20 03:59:59,280.99,,,,,267.3575,21.8250532412,16.69830405,51.7232473159,70,30
2017-09-20 07:59:58,285.55,,,,,267.7287755102,20.8463671114,17.883208638,54.2063121915,70,30
2017-09-20 12:00:01,284.0,,,,,268.0542,20.0689096334,18.8805948861,53.2045823896,70,30
2017-09-20 15:59:59,291.05,291.05,,,,268.5050980392,18.8780056454,19.6771548134,57.0888815329,70,30
2017-09-20 20:00:00,287.0,,,,,268.8607692308,16.8517458333,20.0896944626,54.3004293907,70,30
2017-09-20 23:59:59,283.5,,,,,269.1369811321,13.515137609,19.7796058314,51.9393745184,70,30
2017-09-21 03:59:59,280.0,,,,,269.3381481481,11.5550816989,19.1306363669,49.6160509664,70,30
2017-09-21 07:59:59,286.31,,,,,269.6467272727,10.5924213542,18.5677663431,53.6421313235,70,30
2017-09-21 11:59:59,283.85,,,,,269.9003571429,8.4573450778,17.2712992574,51.9009035544,70,30
2017-09-21 15:59:59,271.99,,,,,269.9370175439,4.845672874,15.5781746518,44.4154533701,70,30
2017-09-21 20:00:00,256.33,,256.33,,,269.7024137931,1.9900479281,13.6697864335,36.8566851197,70,30
2017-09-22,256.67,,,,,269.4815254237,-0.4480377525,11.5045246968,37.1069451331,70,30
2017-09-22 04:00:01,264.7,,,,,269.4018333333,-2.1407533842,9.177409272,42.8663470876,70,30
