"Ambient, y, x; Fridge, y (1), y, x; Right Chamber, y, x; Left Chamber, y (1), x (1)","Ambient, y, y (1)","Fridge, y (1), y, y (1)","Right Chamber, y, y (1)","Left Chamber, y (1), y (1)"
f42ed3,0aeeb2,aa8b34,b22b68,4d30ff
2017-11-24 21:35:54.834986,54.95,54.275,54.1616,69.2366
2017-11-24 21:46:04.270481,54.8366,54.275,54.1616,69.125
2017-11-24 21:56:13.154637,54.8366,54.1616,54.1616,68.9
2017-11-24 22:06:19.795166,54.725,54.1616,57.875,68.5616
2017-11-24 23:37:37.955064,54.5,53.9366,58.55,66.9866
2017-11-24 23:47:45.473600,54.3866,53.9366,58.4366,67.55
2017-11-24 23:57:54.194212,54.3866,53.9366,58.4366,67.8866
2017-11-25 00:08:04.837858,54.1616,53.9366,58.4366,68.1116
2017-11-25 00:28:22.272376,54.1616,54.05,58.325,68.3366
2017-11-25 00:38:31.870890,54.05,54.1616,58.325,68.45
2017-11-25 00:48:41.315313,54.05,54.1616,58.325,68.5616
2017-11-25 01:08:59.630668,53.825,54.3866,58.2116,68.675
2017-11-25 01:29:21.552614,53.7116,54.5,58.1,68.7866
2017-11-25 01:39:28.030493,53.7116,54.5,58.1,68.9
2017-11-25 01:49:37.871451,53.7116,54.6116,58.1,69.0116
2017-11-25 01:59:44.352515,53.6,54.725,58.1,69.0116
2017-11-25 02:20:03.795359,53.6,54.8366,57.9866,69.125
2017-11-25 02:30:18.194093,53.4866,54.8366,57.9866,69.2366
2017-11-25 02:40:25.870582,53.4866,54.95,57.9866,69.2366
2017-11-25 02:50:34.191651,53.375,54.95,57.9866,69.35
2017-11-25 03:00:44.834564,53.375,54.95,57.875,69.4616
2017-11-25 03:31:11.874516,53.2616,55.0616,57.875,69.575
2017-11-25 03:41:23.713365,53.2616,55.175,57.875,69.6866
2017-11-25 03:51:33.873881,53.2616,55.175,57.7616,69.8
2017-11-25 04:01:44.594046,53.15,55.175,57.7616,69.8
2017-11-25 04:21:58.751580,53.15,55.2866,57.7616,70.025
2017-11-25 04:32:09.395607,53.0366,55.2866,57.7616,70.025
2017-11-25 04:42:15.956606,53.0366,55.2866,57.7616,70.1366
2017-11-25 04:52:32.674206,52.925,55.4,57.65,70.1366
2017-11-25 05:02:43.155136,52.925,55.4,57.65,70.25
2017-11-25 05:12:50.755624,52.8116,55.4,57.65,70.3616
2017-11-25 05:22:57.792119,52.7,55.4,57.65,70.3616
2017-11-25 05:53:21.152038,52.475,55.5116,57.5366,70.5866
2017-11-25 06:03:31.632995,52.475,55.5116,57.5366,70.7
2017-11-25 06:13:38.274822,52.3616,55.5116,57.5366,70.8116
2017-11-25 06:23:45.950933,52.3616,55.5116,57.5366,70.8116
2017-11-25 06:33:53.395739,52.25,55.5116,57.425,70.925
2017-11-25 06:44:01.234338,52.25,55.625,57.425,71.0366
2017-11-25 06:54:12.832084,52.25,55.625,57.425,71.0366
2017-11-25 07:04:24.035142,52.475,55.625,57.425,71.15
2017-11-25 07:24:37.631300,54.05,55.625,57.3116,71.2616
2017-11-25 07:34:45.392949,54.275,55.7366,57.3116,71.375
2017-11-25 07:55:19.234740,54.275,55.85,57.3116,71.6
2017-11-25 08:05:25.875789,54.275,55.9616,57.3116,71.6
2017-11-25 08:15:32.432156,54.8366,56.075,57.3116,71.7116
2017-11-25 08:25:40.990963,55.0616,56.1866,57.3116,71.825
2017-11-25 08:35:51.711525,55.0616,56.3,57.3116,71.9366
2017-11-25 08:46:02.271701,55.175,56.3,57.425,71.9366
2017-11-25 08:56:09.951303,55.2866,56.4116,57.425,72.05
2017-11-25 09:06:20.672440,55.4,56.525,57.425,71.6
2017-11-25 09:16:30.430953,55.5116,56.525,57.425,71.2616
2017-11-25 09:26:40.672952,55.5116,56.525,57.5366,71.0366
2017-11-25 09:36:52.034651,55.625,56.525,57.5366,70.8116
2017-11-25 09:46:59.631857,55.625,56.4116,57.5366,70.7
2017-11-25 09:57:12.916017,55.625,56.4116,57.5366,70.5866
2017-11-25 10:07:20.593309,55.7366,56.3,57.5366,70.475
2017-11-25 10:17:33.076902,55.7366,56.3,57.5366,70.3616
2017-11-25 13:30:13.230682,56.1866,55.7366,58.2116,68.5616
2017-11-25 13:40:26.031429,56.3,55.7366,58.325,68.5616
2017-11-25 13:50:32.596895,56.3,55.7366,58.325,68.45
2017-11-25 14:00:41.475603,56.3,55.7366,58.4366,68.3366
2017-11-25 14:10:49.476597,56.4116,55.7366,58.4366,68.225
2017-11-25 14:21:01.315247,56.4116,55.7366,58.4366,68.225
2017-11-25 14:31:10.539199,56.525,55.7366,58.55,68.1116
2017-11-25 14:41:17.873984,56.525,55.85,58.55,68.0
2017-11-25 14:51:29.551438,56.525,55.85,58.6616,67.8866
2017-11-25 15:21:52.271041,56.8616,55.85,58.775,67.6616
2017-11-25 15:32:00.991336,56.8616,55.85,58.775,67.55
2017-11-25 15:42:15.232189,56.8616,55.85,58.8866,67.55
2017-11-25 15:52:22.990691,56.975,55.85,58.8866,67.4366
2017-11-25 16:02:34.675355,56.975,55.9616,59.0,67.325
2017-11-25 16:12:44.290307,57.0866,55.9616,59.0,67.325
2017-11-25 16:43:11.394506,57.2,56.075,59.1116,67.1
2017-11-25 17:03:29.794324,57.5366,56.075,59.225,67.6616
2017-11-25 17:13:42.354312,57.5366,56.075,59.3366,68.0
2017-11-25 17:34:28.034539,57.65,56.1866,59.45,68.5616
2017-11-25 17:44:39.875207,57.65,56.3,59.45,68.675
2017-11-25 17:54:46.912635,57.7616,56.4116,59.5616,68.9
2017-11-25 18:04:54.356573,57.7616,56.525,59.5616,69.0116
2017-11-25 18:15:19.714527,57.65,56.6366,59.675,69.125
2017-11-25 18:25:31.794166,57.65,56.75,59.675,69.35
2017-11-25 18:35:40.289719,57.7616,56.8616,59.7866,69.35
2017-11-25 18:45:47.875414,57.7616,56.8616,59.7866,69.575
2017-11-25 18:55:56.594355,57.7616,56.975,59.9,69.6866
2017-11-25 19:06:03.390652,57.65,57.0866,59.9,69.6866
2017-11-25 19:16:11.075595,57.5366,57.3116,60.0116,69.8
2017-11-25 19:26:38.673389,57.425,57.3116,60.0116,69.9116
2017-11-25 19:36:50.276858,57.425,57.425,60.125,70.025
2017-11-25 19:46:58.354622,57.3116,57.425,60.125,70.025
2017-11-25 19:57:07.552122,57.2,57.5366,60.2366,70.25
2017-11-25 20:07:25.712773,56.975,57.5366,60.2366,70.3616
2017-11-25 20:17:32.915930,56.975,57.65,60.35,70.475
2017-11-25 20:27:40.510326,56.975,57.65,60.35,70.475
2017-11-25 20:38:10.830138,56.75,57.65,60.4616,70.7
2017-11-25 20:48:17.875937,56.75,57.7616,60.4616,70.7
2017-11-25 20:58:30.595599,56.6366,57.7616,60.575,70.8116
2017-11-25 21:08:58.030509,56.525,57.7616,60.575,70.925
2017-11-25 21:19:14.592700,56.525,57.7616,60.6866,71.0366
2017-11-25 21:29:21.310823,56.4116,57.7616,60.6866,71.15
2017-11-25 21:39:28.754446,56.1866,57.7616,60.8,71.2616
2017-11-25 21:49:37.391856,56.1866,57.7616,60.8,71.375
2017-11-25 21:59:43.870731,55.9616,57.7616,60.8,71.375
2017-11-25 22:09:56.272745,55.85,57.7616,60.9116,71.4866
2017-11-25 23:41:03.075130,54.5,57.425,61.25,70.8116
2017-11-25 23:51:10.030069,54.5,57.425,61.25,70.7
2017-11-26 00:01:21.554944,54.1616,57.3116,61.25,70.5866
2017-11-26 00:11:29.391443,53.9366,57.0866,61.25,70.475
2017-11-26 00:31:49.792383,53.4866,56.8616,61.25,70.25
2017-11-26 00:41:56.674422,53.375,56.75,61.25,70.25
2017-11-26 00:52:04.271788,53.2616,56.6366,61.25,70.1366
2017-11-26 01:12:33.794590,52.925,56.4116,61.25,69.9116
2017-11-26 01:32:50.194074,52.5866,56.1866,61.25,69.6866
2017-11-26 01:42:59.150490,52.475,56.1866,61.25,69.6866
2017-11-26 01:53:06.191029,52.25,55.85,61.25,69.575
2017-11-26 02:03:16.590098,52.25,55.85,61.25,69.4616
2017-11-26 02:23:30.750572,52.025,55.7366,61.1366,69.2366
2017-11-26 02:33:40.910749,51.8,55.625,61.1366,69.125
2017-11-26 02:44:08.675839,51.575,55.5116,61.1366,69.0116
2017-11-26 02:54:30.110498,51.575,55.4,61.1366,69.0116
2017-11-26 03:04:37.314037,51.35,55.175,61.025,68.9
2017-11-26 03:35:32.515390,50.5616,55.0616,61.025,68.5616
2017-11-26 03:45:44.112926,50.5616,54.8366,61.025,68.5616
2017-11-26 03:55:56.991084,50.5616,54.725,60.9116,68.45
2017-11-26 04:06:04.511879,50.3366,54.725,60.9116,68.3366
2017-11-26 04:26:16.990510,50.1116,54.6116,60.9116,68.1116
2017-11-26 04:36:32.195216,50.0,54.5,60.8,68.0
2017-11-26 04:46:39.790571,49.8866,54.3866,60.8,68.0
2017-11-26 04:56:46.674468,49.775,54.3866,60.8,67.8866
2017-11-26 05:06:59.075193,49.6616,54.275,60.6866,67.775
2017-11-26 05:17:22.434063,49.55,54.1616,60.6866,67.6616
2017-11-26 05:27:29.471535,49.4366,54.1616,60.6866,67.55
2017-11-26 05:58:01.713206,49.1,53.825,60.575,67.325
2017-11-26 06:08:12.311362,48.9866,53.7116,60.4616,67.2116
2017-11-26 06:18:18.994958,48.875,53.7116,60.4616,67.1
2017-11-26 06:28:27.391038,48.7616,53.4866,60.4616,66.9866
2017-11-26 06:38:34.194008,48.65,53.4866,60.35,67.325
2017-11-26 06:48:40.914750,48.65,53.4866,60.35,67.4366
2017-11-26 06:58:48.754488,48.425,53.375,60.35,67.55
