"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y"
e2bab4,504939,3981e8
2017-12-25 20:02:56,51.962,9
2017-12-25 20:03:26,51.98,9
2017-12-25 20:03:56,51.98,9
2017-12-25 20:04:26,51.998,9
2017-12-25 20:04:36,51.998,9
2017-12-25 20:05:06,51.998,9
2017-12-25 20:05:56,51.998,9
2017-12-25 20:06:06,51.998,9
2017-12-25 20:06:26,52.016,9
2017-12-25 20:06:56,52.016,9
2017-12-25 20:07:57,52.034,9
2017-12-25 20:08:47,52.07,9
2017-12-25 20:09:07,52.07,9
2017-12-25 20:10:27,52.142,9
2017-12-25 20:10:57,52.142,9
2017-12-25 20:11:07,52.142,9
2017-12-25 20:11:17,52.142,9
2017-12-25 20:11:47,52.142,9
2017-12-25 20:11:57,52.142,9
2017-12-25 20:12:17,52.142,9
2017-12-25 20:12:37,52.106,9
2017-12-25 20:13:07,52.106,9
2017-12-25 20:13:37,52.088,9
2017-12-25 20:14:27,52.088,9
2017-12-25 20:14:47,52.088,9
2017-12-25 20:14:57,52.088,9
2017-12-25 20:15:07,52.088,9
2017-12-25 20:15:27,52.106,9
2017-12-25 20:17:47,52.016,9
2017-12-25 20:19:27,51.962,9
2017-12-25 20:19:47,51.962,9
2017-12-25 20:19:57,51.962,9
2017-12-25 20:20:07,51.962,9
2017-12-25 20:20:17,51.962,9
2017-12-25 20:20:27,51.962,9
2017-12-25 20:20:57,51.926,9
2017-12-25 20:21:17,51.926,9
2017-12-25 20:21:57,51.944,9
2017-12-25 20:22:17,51.944,9
2017-12-25 20:22:27,51.944,9
2017-12-25 20:23:17,51.908,9
2017-12-25 20:23:27,51.908,9
2017-12-25 20:23:47,51.908,9
2017-12-25 20:23:57,51.908,9
2017-12-25 20:26:07,51.908,9
2017-12-25 20:28:37,51.89,9
2017-12-25 20:29:27,51.89,9
2017-12-25 20:31:17,51.71,9
2017-12-25 20:31:47,51.692,9
2017-12-25 20:32:37,51.692,9
2017-12-25 20:32:57,51.656,9
2017-12-25 20:33:27,51.656,9
2017-12-25 20:33:37,51.656,9
2017-12-25 20:33:47,51.638,9
2017-12-25 20:34:07,51.638,9
2017-12-25 20:34:17,51.638,9
2017-12-25 20:34:27,51.638,9
2017-12-25 20:34:47,51.656,9
2017-12-25 20:34:57,51.656,9
2017-12-25 20:35:07,51.656,9
2017-12-25 20:35:17,51.656,9
2017-12-25 20:35:27,51.656,9
2017-12-25 20:35:47,51.656,9
2017-12-25 20:36:17,51.656,9
2017-12-25 20:37:07,51.656,9
2017-12-25 20:37:37,51.656,9
2017-12-25 20:37:47,51.656,9
2017-12-25 20:37:57,51.656,9
2017-12-25 20:38:37,51.656,9
2017-12-25 20:38:47,51.656,9
2017-12-25 20:39:07,51.638,9
2017-12-25 20:39:17,51.638,9
2017-12-25 20:39:27,51.638,9
2017-12-25 20:40:07,51.602,9
2017-12-25 20:40:17,51.602,9
2017-12-25 20:40:27,51.602,9
2017-12-25 20:41:08,51.584,9
2017-12-25 20:41:27,51.584,9
2017-12-25 20:41:48,51.584,9
2017-12-25 20:42:08,51.566,9
2017-12-25 20:42:18,51.566,9
2017-12-25 20:42:58,51.53,9
2017-12-25 20:43:18,51.53,9
2017-12-25 20:43:48,51.53,9
2017-12-25 20:44:08,51.44,9
2017-12-25 20:44:18,51.44,9
2017-12-25 20:44:28,51.44,9
2017-12-25 20:44:38,51.44,9
2017-12-25 20:45:58,51.368,9
2017-12-25 20:49:48,51.296,9
2017-12-25 20:49:58,51.296,9
2017-12-25 20:50:58,51.278,9
2017-12-25 20:51:08,51.242,9
2017-12-25 20:52:08,51.224,9
2017-12-25 20:52:28,51.224,9
2017-12-25 20:52:58,51.224,9
2017-12-25 20:54:18,51.188,9
2017-12-25 20:55:48,51.152,9
2017-12-25 20:56:48,51.134,9
2017-12-25 20:57:08,51.134,9
2017-12-25 20:57:18,51.098,9
2017-12-25 20:57:38,51.098,9
2017-12-25 20:58:18,51.062,9
2017-12-25 20:58:28,51.062,9
2017-12-25 20:58:48,51.062,9
2017-12-25 20:59:18,51.044,9
2017-12-25 20:59:38,51.044,9
2017-12-25 21:00:08,51.044,9
2017-12-25 21:01:08,50.99,9
2017-12-25 21:01:18,50.936,9
2017-12-25 21:02:08,50.936,9
2017-12-25 21:05:28,50.666,9
2017-12-25 21:05:38,50.666,9
2017-12-25 21:06:38,50.63,9
2017-12-25 21:09:09,50.558,9
2017-12-25 21:10:18,50.558,9
2017-12-25 21:10:29,50.522,9
2017-12-25 21:10:58,50.522,9
2017-12-25 21:14:39,50.36,9
2017-12-25 21:27:29,49.856,9
2017-12-25 21:28:29,49.838,9
2017-12-25 21:32:59,49.784,8
2017-12-25 21:35:09,49.748,8
2017-12-25 21:36:10,49.73,8
2017-12-25 21:36:39,49.73,8
2017-12-25 21:36:49,49.73,8
2017-12-25 21:36:59,49.73,8
2017-12-25 21:38:19,49.658,8
2017-12-25 21:38:49,49.658,8
2017-12-25 21:40:19,49.64,8
2017-12-25 21:40:39,49.64,8
2017-12-25 21:41:49,49.64,8
2017-12-25 21:42:19,49.64,9
2017-12-25 21:45:10,49.622,8
2017-12-25 21:45:50,49.64,8
2017-12-25 21:47:00,49.586,8
2017-12-25 21:47:30,49.586,8
2017-12-25 21:47:50,49.586,8
2017-12-25 21:48:00,49.586,8
2017-12-25 21:48:10,49.586,8
2017-12-25 21:49:10,49.586,9
2017-12-25 21:49:30,49.568,9
2017-12-25 21:50:00,49.568,9
2017-12-25 21:51:30,49.532,8
2017-12-25 21:53:30,49.514,8
2017-12-25 21:56:40,49.424,8
2017-12-25 21:56:50,49.424,8
2017-12-25 21:57:10,49.424,8
2017-12-25 21:57:20,49.424,8
2017-12-25 21:59:50,49.424,8
2017-12-25 22:00:10,49.424,8
2017-12-25 22:00:20,49.424,8
2017-12-25 22:00:50,49.37,8
2017-12-25 22:03:31,49.37,8
2017-12-25 22:04:20,49.352,8
2017-12-25 22:06:10,49.334,8
2017-12-25 22:06:50,49.298,8
2017-12-25 22:11:40,49.262,8
2017-12-25 22:11:50,49.244,8
2017-12-25 22:16:30,49.244,8
2017-12-25 22:17:50,49.19,8
2017-12-25 22:18:10,49.19,8
2017-12-25 22:18:41,49.19,8
2017-12-25 22:18:51,49.19,8
2017-12-25 22:19:51,49.118,8
2017-12-25 22:20:01,49.1,8
2017-12-25 22:20:31,49.1,8
2017-12-25 22:21:11,49.046,8
2017-12-25 22:21:21,49.046,8
2017-12-25 22:21:31,49.046,8
2017-12-25 22:22:01,49.046,8
2017-12-25 22:22:31,49.046,8
2017-12-25 22:22:51,49.046,8
2017-12-25 22:23:01,49.064,8
2017-12-25 22:23:11,49.064,8
2017-12-25 22:23:51,49.064,8
2017-12-25 22:25:31,48.974,8
2017-12-25 22:25:51,48.974,8
2017-12-25 22:26:01,48.938,8
