"Train, x; Test, x; Train (1), x; Test (1), x; Max. Prob., x; Min. Prob., x","Train, y","Train, text","Test, y","Test, text","Train (1), y","Train (1), text","Test (1), y","Test (1), text","Max. Prob., y","Max. Prob., text","Min. Prob., y","Min. Prob., text"
2f1c3b,f9441a,2eacd3,e9b762,b30be5,a7187f,4e46e8,5af2af,794531,a60641,4c7ba9,4f21a2,e32dcb
ATC-DA-5-nonCV,1.0,ATC-DA-5-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-5-nonCV - Test Data<br>Area Under Curve : 0.0,0.3,ATC-DA-5-nonCV - Train Data<br>Ave Error : 0.3%,0.23,ATC-DA-5-nonCV - Test Data<br>Ave Error : 0.23%,76.62,ATC-DA-5-nonCV<br>Max Prediction: 76.62%,0.01,ATC-DA-5-nonCV<br>Min Prediction: 0.01%
ATC-DA-6-nonCV,1.0,ATC-DA-6-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-6-nonCV - Test Data<br>Area Under Curve : 0.0,0.28,ATC-DA-6-nonCV - Train Data<br>Ave Error : 0.28%,0.24,ATC-DA-6-nonCV - Test Data<br>Ave Error : 0.24%,77.69,ATC-DA-6-nonCV<br>Max Prediction: 77.69%,0.0,ATC-DA-6-nonCV<br>Min Prediction: 0.0%
ATC-DA-7-nonCV,1.0,ATC-DA-7-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-7-nonCV - Test Data<br>Area Under Curve : 0.0,0.25,ATC-DA-7-nonCV - Train Data<br>Ave Error : 0.25%,0.22,ATC-DA-7-nonCV - Test Data<br>Ave Error : 0.22%,83.11,ATC-DA-7-nonCV<br>Max Prediction: 83.11%,0.01,ATC-DA-7-nonCV<br>Min Prediction: 0.01%
ATC-DA-8-nonCV,1.0,ATC-DA-8-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-8-nonCV - Test Data<br>Area Under Curve : 0.0,0.23,ATC-DA-8-nonCV - Train Data<br>Ave Error : 0.23%,0.22,ATC-DA-8-nonCV - Test Data<br>Ave Error : 0.22%,83.55,ATC-DA-8-nonCV<br>Max Prediction: 83.55%,0.01,ATC-DA-8-nonCV<br>Min Prediction: 0.01%
ATC-DA-9-nonCV,1.0,ATC-DA-9-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-9-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-9-nonCV - Train Data<br>Ave Error : 0.22%,0.21,ATC-DA-9-nonCV - Test Data<br>Ave Error : 0.21%,84.37,ATC-DA-9-nonCV<br>Max Prediction: 84.37%,0.0,ATC-DA-9-nonCV<br>Min Prediction: 0.0%
ATC-DA-10-nonCV,1.0,ATC-DA-10-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-10-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-10-nonCV - Train Data<br>Ave Error : 0.22%,0.25,ATC-DA-10-nonCV - Test Data<br>Ave Error : 0.25%,88.93,ATC-DA-10-nonCV<br>Max Prediction: 88.93%,0.0,ATC-DA-10-nonCV<br>Min Prediction: 0.0%
ATC-DA-11-nonCV,1.0,ATC-DA-11-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-11-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-11-nonCV - Train Data<br>Ave Error : 0.22%,0.26,ATC-DA-11-nonCV - Test Data<br>Ave Error : 0.26%,89.32,ATC-DA-11-nonCV<br>Max Prediction: 89.32%,0.0,ATC-DA-11-nonCV<br>Min Prediction: 0.0%
ATC-DA-12-nonCV,1.0,ATC-DA-12-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-12-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-12-nonCV - Train Data<br>Ave Error : 0.22%,0.24,ATC-DA-12-nonCV - Test Data<br>Ave Error : 0.24%,87.97,ATC-DA-12-nonCV<br>Max Prediction: 87.97%,0.0,ATC-DA-12-nonCV<br>Min Prediction: 0.0%
ATC-DA-13-nonCV,1.0,ATC-DA-13-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-13-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-13-nonCV - Train Data<br>Ave Error : 0.22%,0.27,ATC-DA-13-nonCV - Test Data<br>Ave Error : 0.27%,89.65,ATC-DA-13-nonCV<br>Max Prediction: 89.65%,0.0,ATC-DA-13-nonCV<br>Min Prediction: 0.0%
ATC-DA-14-nonCV,1.0,ATC-DA-14-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-14-nonCV - Test Data<br>Area Under Curve : 0.0,0.21,ATC-DA-14-nonCV - Train Data<br>Ave Error : 0.21%,0.24,ATC-DA-14-nonCV - Test Data<br>Ave Error : 0.24%,92.95,ATC-DA-14-nonCV<br>Max Prediction: 92.95%,0.0,ATC-DA-14-nonCV<br>Min Prediction: 0.0%
ATC-DA-15-nonCV,1.0,ATC-DA-15-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-15-nonCV - Test Data<br>Area Under Curve : 0.0,0.21,ATC-DA-15-nonCV - Train Data<br>Ave Error : 0.21%,0.25,ATC-DA-15-nonCV - Test Data<br>Ave Error : 0.25%,92.1,ATC-DA-15-nonCV<br>Max Prediction: 92.1%,0.0,ATC-DA-15-nonCV<br>Min Prediction: 0.0%
ATC-DA-16-nonCV,1.0,ATC-DA-16-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-16-nonCV - Test Data<br>Area Under Curve : 0.0,0.21,ATC-DA-16-nonCV - Train Data<br>Ave Error : 0.21%,0.25,ATC-DA-16-nonCV - Test Data<br>Ave Error : 0.25%,92.54,ATC-DA-16-nonCV<br>Max Prediction: 92.54%,0.0,ATC-DA-16-nonCV<br>Min Prediction: 0.0%
ATC-DA-17-nonCV,1.0,ATC-DA-17-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-17-nonCV - Test Data<br>Area Under Curve : 0.0,0.21,ATC-DA-17-nonCV - Train Data<br>Ave Error : 0.21%,0.23,ATC-DA-17-nonCV - Test Data<br>Ave Error : 0.23%,94.09,ATC-DA-17-nonCV<br>Max Prediction: 94.09%,0.0,ATC-DA-17-nonCV<br>Min Prediction: 0.0%
ATC-DA-18-nonCV,1.0,ATC-DA-18-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-18-nonCV - Test Data<br>Area Under Curve : 0.0,0.2,ATC-DA-18-nonCV - Train Data<br>Ave Error : 0.2%,0.23,ATC-DA-18-nonCV - Test Data<br>Ave Error : 0.23%,92.62,ATC-DA-18-nonCV<br>Max Prediction: 92.62%,0.0,ATC-DA-18-nonCV<br>Min Prediction: 0.0%
ATC-DA-19-nonCV,1.0,ATC-DA-19-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-19-nonCV - Test Data<br>Area Under Curve : 0.0,0.2,ATC-DA-19-nonCV - Train Data<br>Ave Error : 0.2%,0.24,ATC-DA-19-nonCV - Test Data<br>Ave Error : 0.24%,94.07,ATC-DA-19-nonCV<br>Max Prediction: 94.07%,0.0,ATC-DA-19-nonCV<br>Min Prediction: 0.0%
ATC-DA-20-nonCV,1.0,ATC-DA-20-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-20-nonCV - Test Data<br>Area Under Curve : 0.0,0.2,ATC-DA-20-nonCV - Train Data<br>Ave Error : 0.2%,0.24,ATC-DA-20-nonCV - Test Data<br>Ave Error : 0.24%,94.05,ATC-DA-20-nonCV<br>Max Prediction: 94.05%,0.0,ATC-DA-20-nonCV<br>Min Prediction: 0.0%
