"Sensor Output, x; Rounded to 0.5mm increment, x","Sensor Output, y","Rounded to 0.5mm increment, y"
2f51a7,ed1382,18125b
1511507114000,0.2664615078,0
1511507294000,0.1878879788,0
1511507474000,0.1991831427,0
1511507654000.01,0.2121802795,0
1511507834000.01,0.2146773815,0
1511508014000.01,0.2610299433,0
1511508194000.01,0.3006764067,0
1511508374000.01,0.2236332895,0
1511508554000.01,0.2011680804,0
1511508734000.01,0.1907223867,0
1511508914000.01,0.2371243234,0
1511509094000.01,0.1834826434,0
1511509274000.01,0.1164890972,0
1511509454000,0.1261158581,0
1511509634000,0.1757112443,0
1511509814000,0.2710621978,0
1511509994000,0.2771329719,0
1511510174000,0.3155909374,0
1511510354000.01,0.2782428008,0
1511510534000.01,0.3259266417,0
1511510714000.01,0.2375134001,0
1511510894000.01,0.189016127,0
1511511074000.01,0.2083788051,0
1511511254000.01,0.1648144358,0
1511511434000.01,0.1422038441,0
1511511614000.01,0.12530535,0
1511511794000.01,0.1117885305,0
1511511974000.01,0.0688213919,0
1511512154000,0.0780796905,0
1511512334000,0.0892077934,0
1511512514000,0.0703959275,0
1511512694000,0.0687810562,0
1511512874000,0.0453526742,0
1511513054000.01,0.0138358712,0
1511513234000.01,0.038109787,0
1511513414000.01,0.0318706671,0
1511513594000.01,0.0523629336,0
1511513774000.01,0.0604888552,0
1511513954000.01,0.0195753844,0
1511514134000.01,0.0712577907,0
1511514314000.01,0.0891930437,0
1511514494000.01,0.1043657732,0
1511514674000.01,0.0872943119,0
1511514854000,0.0611712913,0
1511515034000,0.0435094553,0
1511515214000,0.0778597602,0
1511515394000,0.0712351738,0
1511515574000,0.0224239215,0
1511515754000.01,0.0404173166,0
1511515934000.01,0.0393604956,0
1511516114000.01,0.0478175501,0
1511516294000.01,0.0342001592,0
1511516474000.01,0.0211515834,0
1511516654000.01,0.0090784364,0
1511516834000.01,0.028248989,0
1511517014000.01,0.0067564937,0
1511517194000.01,0.0433576864,0
1511517374000.01,0.0850399958,0
1511517554000,0.0252472578,0
1511517734000,0.0202996141,0
1511517914000,0.0166715588,0
1511518094000,0.0129977239,0
1511518274000,0.0092580195,0
1511518454000.01,0.0134998767,0
1511518634000.01,0.0164038683,0
1511518814000.01,0.0184161952,0
1511518994000.01,0.0187267205,0
1511519174000.01,0.0149025509,0
1511519354000.01,0.0075742127,0
1511519534000.01,0.0440748795,0
1511519714000.01,0.0325983437,0
1511519894000.01,-0.0032828006,0
1511520074000.01,0.0095887893,0
1511520254000,0.0040636753,0
1511520434000,0.0069833147,0
1511520614000,0.0077947289,0
1511520794000,0.0121451626,0
1511520974000,0.0128813782,0
1511521154000.01,0.0136107184,0
1511521334000.01,0.004292702,0
1511521514000.01,0.019033136,0
1511521694000.01,0.0404740304,0
1511521874000.01,0.0849656583,0
1511522054000.01,0.0843716115,0
1511522234000.01,0.0599873107,0
1511522414000.01,0.0496379729,0
1511522594000.01,0.0733049153,0
1511522774000.01,0.0290581498,0
1511522954000,0.0139196576,0
1511523134000,0.0091494925,0
1511523314000,0.0060621813,0
1511523494000,0.0174681934,0
1511523674000,0.0102350892,0
1511523854000.01,0.0083098247,0
