"Weekly Expenses, x; C, x","Weekly Expenses, y","C, y"
082a57,8831c4,1811dd
Oct 08 2017,86.97222222222222222222222224,100
Oct 15 2017,152.6622222222222222222222223,100
Oct 22 2017,88.93555555555555555555555558,100
Oct 29 2017,95.12000000000000000000000005,100
Nov 05 2017,86.20666666666666666666666666,100
Nov 12 2017,118.0888888888888888888888889,100
Nov 19 2017,81.95888888888888888888888890,100
Nov 26 2017,107.7511111111111111111111112,100
Dec 03 2017,96.99000000000000000000000002,100
Dec 10 2017,83.20666666666666666666666666,100
Dec 17 2017,86.40222222222222222222222222,100
Dec 24 2017,120.0577777777777777777777778,100
Dec 31 2017,105.4577777777777777777777776,100
Jan 07 2018,83.08333333333333333333333334,100
