"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
2cc1de,2701e5,dd7aa9,66788e,1cdf9b
1,0.6,0.7,Cluster : 1 (Size : 271)<br>eg Vector : 0.0|0.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 0.6%,27.1
2,0.6,0.1,Cluster : 2 (Size : 688)<br>eg Vector : 0.5|0.0|1.0|0.0|0|0|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.6%,68.8
3,0.7,0.3,Cluster : 3 (Size : 293)<br>eg Vector : 0.0|0.0|0.875|0.0|0|0|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.7%,29.3
4,0.7,0.0,Cluster : 4 (Size : 344)<br>eg Vector : 0.0|0.19999999999999998|1.0|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.7%,34.4
5,0.7,0.4,Cluster : 5 (Size : 689)<br>eg Vector : 0.5|0.0|0.875|0.0|0|0|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.7%,68.9
6,0.7,0.2,Cluster : 6 (Size : 870)<br>eg Vector : 0.5|0.19999999999999998|1.0|0.0|0|0|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.7%,87.0
7,0.8,0.5,Cluster : 7 (Size : 209)<br>eg Vector : 0.0|0.0|0.875|0.1111111111111111|0|0|0|0<br>Obs Prob : 0.5%<br>Pred Prob : 0.8%,20.9
8,0.8,0.7,Cluster : 8 (Size : 272)<br>eg Vector : 0.0|0.0|0.75|0.0|0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 0.8%,27.2
9,0.8,0.8,Cluster : 9 (Size : 258)<br>eg Vector : 0.0|0.39999999999999997|1.0|0.0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 0.8%,25.8
10,0.8,0.3,Cluster : 10 (Size : 376)<br>eg Vector : 0.0|0.19999999999999998|0.875|0.0|0...<br>Obs Prob : 0.3%<br>Pred Prob : 0.8%,37.6
11,0.8,0.8,Cluster : 11 (Size : 526)<br>eg Vector : 0.5|0.0|0.875|0.1111111111111111|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 0.8%,52.6
12,0.8,0.0,Cluster : 12 (Size : 591)<br>eg Vector : 0.5|0.39999999999999997|1.0|0.0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.8%,59.1
13,0.8,1.4,Cluster : 13 (Size : 640)<br>eg Vector : 0.5|0.0|0.75|0.0|0|0|0|0<br>Obs Prob : 1.4%<br>Pred Prob : 0.8%,64.0
