"Train, x; Test, x; Train (1), x; Test (1), x; Max. Prob., x; Min. Prob., x","Train, y","Train, text","Test, y","Test, text","Train (1), y","Train (1), text","Test (1), y","Test (1), text","Max. Prob., y","Max. Prob., text","Min. Prob., y","Min. Prob., text"
7a3539,942ca5,e680bb,c75e74,b85dff,b420c1,55d505,c71434,11a42c,ae5412,161bb8,6cc656,891b53
ATC-DA-1-nonCV,1.0,ATC-DA-1-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-1-nonCV - Test Data<br>Area Under Curve : 0.0,0.55,ATC-DA-1-nonCV - Train Data<br>Ave Error : 0.55%,0.31,ATC-DA-1-nonCV - Test Data<br>Ave Error : 0.31%,25.59,ATC-DA-1-nonCV<br>Max Prediction: 25.59%,0.14,ATC-DA-1-nonCV<br>Min Prediction: 0.14%
ATC-DA-2-nonCV,1.0,ATC-DA-2-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-2-nonCV - Test Data<br>Area Under Curve : 0.0,0.37,ATC-DA-2-nonCV - Train Data<br>Ave Error : 0.37%,0.14,ATC-DA-2-nonCV - Test Data<br>Ave Error : 0.14%,54.7,ATC-DA-2-nonCV<br>Max Prediction: 54.7%,0.09,ATC-DA-2-nonCV<br>Min Prediction: 0.09%
ATC-DA-3-nonCV,1.0,ATC-DA-3-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-3-nonCV - Test Data<br>Area Under Curve : 0.0,0.27,ATC-DA-3-nonCV - Train Data<br>Ave Error : 0.27%,0.14,ATC-DA-3-nonCV - Test Data<br>Ave Error : 0.14%,68.08,ATC-DA-3-nonCV<br>Max Prediction: 68.08%,0.01,ATC-DA-3-nonCV<br>Min Prediction: 0.01%
ATC-DA-4-nonCV,1.0,ATC-DA-4-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-4-nonCV - Test Data<br>Area Under Curve : 0.0,0.26,ATC-DA-4-nonCV - Train Data<br>Ave Error : 0.26%,0.11,ATC-DA-4-nonCV - Test Data<br>Ave Error : 0.11%,71.27,ATC-DA-4-nonCV<br>Max Prediction: 71.27%,0.01,ATC-DA-4-nonCV<br>Min Prediction: 0.01%
ATC-DA-5-nonCV,1.0,ATC-DA-5-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-5-nonCV - Test Data<br>Area Under Curve : 0.0,0.23,ATC-DA-5-nonCV - Train Data<br>Ave Error : 0.23%,0.11,ATC-DA-5-nonCV - Test Data<br>Ave Error : 0.11%,75.28,ATC-DA-5-nonCV<br>Max Prediction: 75.28%,0.0,ATC-DA-5-nonCV<br>Min Prediction: 0.0%
ATC-DA-6-nonCV,1.0,ATC-DA-6-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-6-nonCV - Test Data<br>Area Under Curve : 0.0,0.23,ATC-DA-6-nonCV - Train Data<br>Ave Error : 0.23%,0.11,ATC-DA-6-nonCV - Test Data<br>Ave Error : 0.11%,78.57,ATC-DA-6-nonCV<br>Max Prediction: 78.57%,0.0,ATC-DA-6-nonCV<br>Min Prediction: 0.0%
ATC-DA-7-nonCV,1.0,ATC-DA-7-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-7-nonCV - Test Data<br>Area Under Curve : 0.0,0.22,ATC-DA-7-nonCV - Train Data<br>Ave Error : 0.22%,0.11,ATC-DA-7-nonCV - Test Data<br>Ave Error : 0.11%,80.28,ATC-DA-7-nonCV<br>Max Prediction: 80.28%,0.0,ATC-DA-7-nonCV<br>Min Prediction: 0.0%
ATC-DA-8-nonCV,1.0,ATC-DA-8-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-8-nonCV - Test Data<br>Area Under Curve : 0.0,0.21,ATC-DA-8-nonCV - Train Data<br>Ave Error : 0.21%,0.11,ATC-DA-8-nonCV - Test Data<br>Ave Error : 0.11%,80.52,ATC-DA-8-nonCV<br>Max Prediction: 80.52%,0.0,ATC-DA-8-nonCV<br>Min Prediction: 0.0%
ATC-DA-9-nonCV,1.0,ATC-DA-9-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-9-nonCV - Test Data<br>Area Under Curve : 0.0,0.2,ATC-DA-9-nonCV - Train Data<br>Ave Error : 0.2%,0.13,ATC-DA-9-nonCV - Test Data<br>Ave Error : 0.13%,83.48,ATC-DA-9-nonCV<br>Max Prediction: 83.48%,0.01,ATC-DA-9-nonCV<br>Min Prediction: 0.01%
ATC-DA-10-nonCV,1.0,ATC-DA-10-nonCV - Train Data<br>Area Under Curve : 1.0,0.0,ATC-DA-10-nonCV - Test Data<br>Area Under Curve : 0.0,0.2,ATC-DA-10-nonCV - Train Data<br>Ave Error : 0.2%,0.14,ATC-DA-10-nonCV - Test Data<br>Ave Error : 0.14%,82.17,ATC-DA-10-nonCV<br>Max Prediction: 82.17%,0.01,ATC-DA-10-nonCV<br>Min Prediction: 0.01%
