"close, x; MA180, x; MA90, x; MA30, x; MA15, x; MA7, x; MA1, x; log_MA1/7, x; log_MA7/15, x; log_MA15/30, x","close, y","MA180, y","MA90, y","MA30, y","MA15, y","MA7, y","MA1, y","log_MA1/7, y","log_MA7/15, y","log_MA15/30, y","close (1), x; MA30 (1), x; MA15 (1), x; MA7 (1), x; MA1 (1), x","close (1), y","MA30 (1), y","MA15 (1), y","MA7 (1), y","MA1 (1), y"
c036b3,ff9837,f1d9a1,6ef91d,82a061,95f6ba,94c735,375e59,9e742e,7b2751,7a3ca2,33c67c,29bf71,6c6298,5b00e8,14a462,da5db8
2017-10-01 00:00:00,364.6,,,427.6111516204,379.3111921297,376.3223958333,373.078125,-0.00376028,-0.0034355924,-0.0520533651,2017-10-29 15:45:00,,,,,
2017-10-01 00:15:00,364.6,,,427.5711921296,379.3034953704,376.3257440476,372.9895833333,-0.003867227,-0.0034229159,-0.0520215916,2017-10-29 16:00:00,150540669833.0,,,,
2017-10-01 00:30:00,364.6,,,427.5232407408,379.2942592593,376.3297619048,372.8833333333,-0.0039955948,-0.0034077039,-0.0519834588,2017-10-29 16:15:00,150540669833.0,,,,
2017-10-01 00:45:00,364.6,,,427.4752893519,379.2850231482,376.3337797619,372.7770833333,-0.0041239977,-0.0033924916,-0.0519453207,2017-10-29 16:30:00,150540669833.0,,,,
2017-10-01 01:00:00,364.6,,,427.427337963,379.2757870371,376.3377976191,372.6708333333,-0.0042524358,-0.0033772792,-0.0519071775,2017-10-29 16:45:00,150540669833.0,,,,
2017-10-01 01:15:00,364.6,,,427.3793865741,379.266550926,376.3418154762,372.5645833333,-0.0043809092,-0.0033620666,-0.051869029,2017-10-29 17:00:00,150540669833.0,,,,
2017-10-01 01:30:00,364.6,,,427.3314351852,379.2573148148,376.3458333333,372.4583333333,-0.0045094179,-0.0033468537,-0.0518308753,2017-10-29 17:15:00,150540669833.0,,,,
2017-10-01 01:45:00,364.6,,,427.2834837963,379.2480787037,376.3498511905,372.3520833333,-0.0046379619,-0.0033316406,-0.0517927164,2017-10-29 17:30:00,150540669833.0,,,,
2017-10-01 02:00:00,364.6,,,427.2355324074,379.2388425926,376.3538690476,372.2458333333,-0.0047665411,-0.0033164274,-0.0517545523,2017-10-29 17:45:00,150540669833.0,,,,
2017-10-01 02:15:00,364.6,,,427.1875810185,379.2296064815,376.3578869048,372.1395833333,-0.0048951558,-0.0033012139,-0.051716383,2017-10-29 18:00:00,150540669833.0,,,,
2017-10-01 02:30:00,364.6,,,427.1396296296,379.2203703704,376.3619047619,372.0333333333,-0.0050238057,-0.0032860002,-0.0516782085,2017-10-29 18:15:00,150540669833.0,,,,
2017-10-01 02:45:00,364.6,,,427.0916782408,379.2111342593,376.3659226191,371.9270833333,-0.0051524911,-0.0032707863,-0.0516400288,2017-10-29 18:30:00,150540669833.0,,,,
2017-10-01 03:00:00,364.6,,,427.0437268519,379.2018981482,376.3699404762,371.8208333333,-0.0052812118,-0.0032555722,-0.0516018438,2017-10-29 18:45:00,150540669833.0,,,,
2017-10-01 03:15:00,364.6,,,426.995775463,379.1926620371,376.3739583333,371.7145833333,-0.0054099679,-0.0032403579,-0.0515636536,2017-10-29 19:00:00,150540669833.0,,,,
2017-10-01 03:30:00,364.6,,,426.9478240741,379.183425926,376.3779761905,371.6083333333,-0.0055387595,-0.0032251434,-0.0515254582,2017-10-29 19:15:00,150540669833.0,,,,
2017-10-01 03:45:00,364.6,,,426.8998726852,379.1741898148,376.3819940476,371.5020833333,-0.0056675865,-0.0032099287,-0.0514872576,2017-10-29 19:30:00,150540669833.0,,,,
2017-10-01 04:00:00,363.0,,,426.85125,379.1579166667,376.3942460318,371.3819444444,-0.0058221918,-0.0031771526,-0.0514564291,2017-10-29 19:45:00,150540669833.0,,,,
2017-10-01 04:15:00,363.0,,,426.8022916667,379.138125,376.4106150794,371.2548611111,-0.0059897153,-0.0031355956,-0.0514292845,2017-10-29 20:00:00,150540669833.0,,,,
2017-10-01 04:30:00,363.0,,,426.7533333333,379.1183333334,376.426984127,371.1277777778,-0.0061572889,-0.0030940382,-0.0514021354,2017-10-29 20:15:00,150540669833.0,,,,
2017-10-01 04:45:00,363.0,,,426.704375,379.0985416667,376.4433531746,371.0006944444,-0.0063249126,-0.0030524805,-0.0513749818,2017-10-29 20:30:00,150540669833.0,,,,
2017-10-01 05:00:00,363.0,,,426.6554166667,379.07875,376.4597222222,370.8736111111,-0.0064925864,-0.0030109224,-0.0513478236,2017-10-29 20:45:00,150540669833.0,,,,
2017-10-01 05:15:00,363.0,,,426.6064583333,379.0589583334,376.4760912699,370.7465277778,-0.0066603104,-0.002969364,-0.0513206609,2017-10-29 21:00:00,150540669833.0,,,,
2017-10-01 05:30:00,363.0,,,426.5575,379.0391666667,376.4924603175,370.6194444444,-0.0068280845,-0.0029278052,-0.0512934937,2017-10-29 21:15:00,150540669833.0,,,,
2017-10-01 05:45:00,363.0,,,426.5085416667,379.019375,376.5088293651,370.4923611111,-0.006995909,-0.002886246,-0.0512663219,2017-10-29 21:30:00,150540669833.0,,,,
2017-10-01 06:00:00,363.0,,,426.4595833333,378.9995833334,376.5251984127,370.3652777778,-0.0071637837,-0.0028446864,-0.0512391456,2017-10-29 21:45:00,150540669833.0,,,,
2017-10-01 06:15:00,363.0,,,426.410625,378.9797916667,376.5415674603,370.2381944444,-0.0073317087,-0.0028031265,-0.0512119647,2017-10-29 22:00:00,150540669833.0,,,,
2017-10-01 06:30:00,363.0,,,426.3616666667,378.96,376.557936508,370.1111111111,-0.007499684,-0.0027615663,-0.0511847793,2017-10-29 22:15:00,150540669833.0,,,,
2017-10-01 06:45:00,363.0,,,426.3127083333,378.9402083334,376.5743055556,369.9840277778,-0.0076677098,-0.0027200057,-0.0511575894,2017-10-29 22:30:00,150540669833.0,,,,
2017-10-01 07:00:00,363.0,,,426.26375,378.9204166667,376.5906746032,369.8569444444,-0.0078357859,-0.0026784447,-0.0511303949,2017-10-29 22:45:00,150540669833.0,,,,
2017-10-01 07:15:00,363.0,,,426.2147916667,378.900625,376.6070436508,369.7298611111,-0.0080039126,-0.0026368833,-0.0511031959,2017-10-29 23:00:00,150540669833.0,,,,
2017-10-01 07:30:00,363.0,,,426.1658333333,378.8808333334,376.6234126984,369.6027777778,-0.0081720897,-0.0025953216,-0.0510759923,2017-10-29 23:15:00,150540669833.0,,,,
2017-10-01 07:45:00,363.0,,,426.116875,378.8610416667,376.639781746,369.4756944444,-0.0083403173,-0.0025537595,-0.0510487842,2017-10-29 23:30:00,150540669833.0,,,,
2017-10-01 08:00:00,358.0,,,426.065462963,378.8478240741,376.6488095238,369.31875,-0.0085352456,-0.0025281981,-0.0510115341,2017-10-29 23:45:00,150540669833.0,,,,
2017-10-01 08:15:00,358.0,,,426.0128240741,378.8378935186,376.6541666667,369.146875,-0.0087435833,-0.002510637,-0.0509692593,2017-10-30 00:00:00,150540669833.0,,,,
2017-10-01 08:30:00,358.0,,,425.9601851852,378.827962963,376.6595238095,368.975,-0.0089520151,-0.0024930757,-0.0509269782,2017-10-30 00:15:00,150540669833.0,,,,
2017-10-01 08:45:00,358.0,,,425.9075462963,378.8180324074,376.6648809524,368.803125,-0.009160541,-0.0024755142,-0.0508846908,2017-10-30 00:30:00,150540669833.0,,,,
2017-10-01 09:00:00,358.0,,,425.8549074074,378.8081018519,376.6702380953,368.63125,-0.0093691612,-0.0024579524,-0.050842397,2017-10-30 00:45:00,150540669833.0,,,,
2017-10-01 09:15:00,358.0,,,425.8022685185,378.7981712963,376.6755952381,368.459375,-0.0095778756,-0.0024403905,-0.0508000969,2017-10-30 01:00:00,150540669833.0,,,,
2017-10-01 09:30:00,358.0,,,425.7496296296,378.7882407408,376.680952381,368.2875,-0.0097866845,-0.0024228283,-0.0507577905,2017-10-30 01:15:00,150540669833.0,,,,
2017-10-01 09:45:00,358.0,,,425.6969907408,378.7783101852,376.6863095238,368.115625,-0.0099955879,-0.0024052659,-0.0507154777,2017-10-30 01:30:00,150540669833.0,,,,
2017-10-01 10:00:00,358.0,,,425.6443518519,378.7683796297,376.6916666667,367.94375,-0.0102045859,-0.0023877034,-0.0506731586,2017-10-30 01:45:00,150540669833.0,,,,
2017-10-01 10:15:00,358.0,,,425.591712963,378.7584490741,376.6970238095,367.771875,-0.0104136786,-0.0023701406,-0.0506308331,2017-10-30 02:00:00,150540669833.0,,,,
