"Sensor Output, x; Rounded to 0.5mm increment, x","Sensor Output, y","Rounded to 0.5mm increment, y"
6e41e3,bc2748,220f4c
1511507114000,0.0423626797,0
1511507294000,-0.0032525874,0
1511507474000,0.0092370081,0
1511507654000.01,0.0056537395,0
1511507834000.01,0.0044945716,0
1511508014000.01,0.0236434537,0
1511508194000.01,0.0292354108,0
1511508374000.01,0.0048571812,0
1511508554000.01,0.0084598624,0
1511508734000.01,0.0017859242,0
1511508914000.01,0.0328780385,0
1511509094000.01,0.0248707869,0
1511509274000.01,0.021398721,0
1511509454000,0.0075041146,0
1511509634000,0.0448038012,0
1511509814000,0.0494512673,0
1511509994000,0.0212284482,0
1511510174000,0.0537866654,0
1511510354000.01,0.0331680732,0
1511510534000.01,0.0866763525,0
1511510714000.01,0.0514656971,0
1511510894000.01,0.0373873689,0
1511511074000.01,0.0573734737,0
1511511254000.01,0.057989716,0
1511511434000.01,0.062943892,0
1511511614000.01,0.0594469276,0
1511511794000.01,0.0543446275,0
1511511974000.01,0.0443292069,0
1511512154000,0.0492061545,0
1511512334000,0.0527758028,0
1511512514000,0.040814336,0
1511512694000,0.0509859637,0
1511512874000,0.0518508729,0
1511513054000.01,0.0181989278,0
1511513234000.01,0.039756116,0
1511513414000.01,0.0483084914,0
1511513594000.01,0.0741477294,0
1511513774000.01,0.07986149,0
1511513954000.01,0.0106315122,0
1511514134000.01,0.0508207189,0
1511514314000.01,0.0645192129,0
1511514494000.01,0.0791667917,0
1511514674000.01,0.0781833932,0
1511514854000,0.0667488963,0
1511515034000,0.0483314631,0
1511515214000,0.0822689838,0
1511515394000,0.0909005688,0
1511515574000,0.0407703598,0
1511515754000.01,0.0689966259,0
1511515934000.01,0.0696087536,0
1511516114000.01,0.0705820135,0
1511516294000.01,0.0709078612,0
1511516474000.01,0.0455366512,0
1511516654000.01,0.0216145541,0
1511516834000.01,0.067467502,0
1511517014000.01,0.0321364713,0
1511517194000.01,0.0733672123,0
1511517374000.01,0.1271544456,0
1511517554000,0.0593853967,0
1511517734000,0.0488751714,0
1511517914000,0.0471292857,0
1511518094000,0.0664382902,0
1511518274000,0.0438262668,0
1511518454000.01,0.0534189804,0
1511518634000.01,0.0721222098,0
1511518814000.01,0.0624714226,0
1511518994000.01,0.0616192668,0
1511519174000.01,0.0514758387,0
1511519354000.01,0.0440525882,0
1511519534000.01,0.0858364263,0
1511519714000.01,0.075610933,0
1511519894000.01,0.0478206455,0
1511520074000.01,0.058826182,0
1511520254000,0.0547546323,0
1511520434000,0.040121849,0
1511520614000,0.0591480848,0
1511520794000,0.0849024613,0
1511520974000,0.0848759628,0
1511521154000.01,0.0622532531,0
1511521334000.01,0.065076997,0
1511521514000.01,0.0709207245,0
1511521694000.01,0.0412699798,0
1511521874000.01,0.0875570288,0
1511522054000.01,0.0923586895,0
1511522234000.01,0.0720963012,0
1511522414000.01,0.0967167084,0
1511522594000.01,0.1452019296,0
1511522774000.01,0.0626732937,0
1511522954000,0.0370537767,0
1511523134000,0.0327469822,0
1511523314000,0.0569010879,0
1511523494000,0.0914697438,0
1511523674000,0.066066352,0
1511523854000.01,0.0780065252,0
1511524034000.01,0.1105924774,0
1511524214000.01,0.1206758355,0
1511524394000.01,0.0390993719,0
1511524574000.01,0.0234126807,0
1511524754000.01,0.0660793523,0
1511524934000.01,0.0410357272,0
1511525114000.01,0.0525933842,0
1511525294000.01,0.0493810464,0
1511525474000.01,0.1332007395,0
1511525654000,0.1131762692,0
1511525834000,0.0476702238,0
1511526014000,0.0435277754,0
1511526194000,0.006933626,0
1511526374000,0.0524341855,0
1511526554000.01,0.0613138673,0
1511526734000.01,0.0566445888,0
1511526914000.01,0.057397195,0
1511527094000.01,0.0330732836,0
1511527274000.01,0.0585578021,0
1511527454000.01,0.047750135,0
1511527634000.01,0.0294275754,0
1511527814000.01,0.0952736123,0
1511527994000.01,0.1188509709,0
1511528174000.01,0.0806175214,0
1511528354000,0.0667381289,0
1511528534000,0.0537568347,0
1511528714000,0.0326659929,0
1511528894000,0.0701606046,0
1511529074000,0.1085751653,0
1511529254000.01,0.0332785408,0
1511529434000.01,0.0349214834,0
1511529614000.01,0.0233743472,0
1511529794000.01,0.0083971803,0
1511529974000.01,0.0139744015,0
1511530154000.01,0.0100800056,0
1511530334000.01,0.006179993,0
1511530514000.01,0.0166447054,0
1511530694000.01,0.0491797445,0
1511530874000.01,0.0463436508,0
1511531054000,0.0333554729,0
1511531234000,0.0334565587,0
1511531414000,0.0346183747,0
1511531594000,0.0073190941,0
1511531774000,0.0241684431,0
1511531954000.01,0.0453271988,0
1511532134000.01,0.0322027274,0
1511532314000.01,0.0402368517,0
1511532494000.01,0.033571078,0
1511532674000.01,0.0366099076,0
1511532854000.01,0.0547168485,0
1511533034000.01,0.0380707679,0
1511533214000.01,0.0441940525,0
1511533394000.01,0.0658886102,0
1511533574000.01,0.0496944232,0
1511533754000,0.0517734743,0
1511533934000,0.013567652,0
1511534114000,0.0173085491,0
1511534294000,0.0595645058,0
1511534474000,0.0339214389,0
1511534654000.01,0.0478153909,0
1511534834000.01,0.0402257179,0
1511535014000.01,0.0330118773,0
1511535194000.01,0.0171771818,0
1511535374000.01,0.0589849994,0
1511535554000.01,0.0690760791,0
1511535734000.01,0.0377917774,0
1511535914000.01,0.0509258308,0
1511536094000.01,0.062554057,0
1511536274000.01,0.0383440363,0
1511536454000,0.0377693593,0
1511536634000,0.0882015266,0
1511536814000,0.0897979962,0
1511536994000,0.087056554,0
1511537174000,0.1289245478,0
1511537354000.01,0.0631871523,0
1511537534000.01,0.0483771089,0
1511537714000.01,0.0720195316,0
1511537894000.01,0.0706861759,0
1511538074000.01,0.0780864586,0
1511538254000.01,0.0531840757,0
1511538434000.01,0.0329952996,0
1511538614000.01,-0.0006969706,0
1511538794000.01,0.0432771389,0
1511538974000.01,0.0686526556,0
1511539154000,0.0604314733,0
1511539334000,0.0744933708,0
1511539514000,0.0200359265,0
1511539694000,0.082053131,0
1511539874000,0.1173968877,0
1511540054000.01,0.0313884711,0
1511540234000.01,0.096296912,0
1511540414000.01,0.0642885826,0
1511540594000.01,0.0637026735,0
1511540774000.01,0.0954980519,0
1511540954000.01,0.0597585342,0
1511541134000.01,0.0308708858,0
1511541314000.01,0.0548956734,0
1511541494000.01,0.0452544043,0
1511541674000.01,0.0148985385,0
1511541854000,0.05851313,0
1511542034000,0.0456392484,0
1511542214000,0.0397217742,0
1511542394000,0.0237447557,0
1511542574000,0.055410674,0
1511542754000.01,0.0659882434,0
1511542934000.01,0.0355767099,0
1511543114000.01,0.0435495454,0
1511543294000.01,0.0376063305,0
1511543474000.01,0.0448244269,0
1511543654000.01,0.0525477001,0
1511543834000.01,0.0575797894,0
1511544014000.01,0.0723902353,0
1511544194000.01,0.0791969838,0
1511544374000.01,0.0820402123,0
1511544554000,0.1035199839,0
1511544734000,0.1408865603,0
1511544914000,0.0961924773,0
1511545094000,0.0635547278,0
1511545274000,0.0775648942,0
1511545454000.01,0.1254534268,0
1511545634000.01,0.1294206197,0
1511545814000.01,0.0914863984,0
1511545994000.01,0.0746586537,0
1511546174000.01,0.0639973402,0
1511546354000.01,0.0703485549,0
1511546534000.01,0.0857978084,0
1511546714000.01,0.0706908811,0
1511546894000.01,0.080852282,0
1511547074000.01,0.0804345427,0
1511547254000,0.0675906783,0
1511547434000,0.0795725609,0
1511547614000,0.0623107634,0
1511547794000,0.0402074321,0
1511547974000,0.0805475113,0
1511548154000.01,0.0908500579,0
1511548334000.01,0.1027344393,0
1511548514000.01,0.0917710725,0
1511548694000.01,0.0875828939,0
1511548874000.01,0.1215327741,0
1511549054000.01,0.144622249,0
1511549234000.01,0.1401321755,0
1511549414000.01,0.1052423516,0
1511549594000.01,0.0934523677,0
1511549774000.01,0.0943342948,0
1511549954000,0.0850029998,0
1511550134000,0.0581016123,0
1511550314000,0.0756831516,0
1511550494000,0.1095929018,0
1511550674000,0.1186960044,0
1511550854000.01,0.1043396466,0
1511551034000.01,0.0734099689,0
1511551214000.01,0.08131093,0
1511551394000.01,0.0651859812,0
1511551574000.01,0.0923759699,0
1511551754000.01,0.0858962738,0
1511551934000.01,0.0768295151,0
1511552114000.01,0.1026324328,0
1511552294000.01,0.0938966839,0
1511552474000.01,0.0956726252,0
1511552654000,0.1046225377,0
1511552834000,0.093273528,0
1511553014000,0.1072225488,0
1511553194000,0.108317156,0
1511553374000,0.078899249,0
1511553554000.01,0.0744275163,0
1511553734000.01,0.0942391466,0
1511553914000.01,0.0999589852,0
1511554094000.01,0.0980446509,0
1511554274000.01,0.1367859738,0
1511554454000.01,0.1191221024,0
1511554634000.01,0.0863173945,0
1511554814000.01,0.0628668097,0
1511554994000.01,0.0864580513,0
1511555174000.01,0.0724298361,0
1511555354000,0.079802133,0
1511555534000,0.1296178014,0
1511555714000,0.0719080402,0
1511555894000,0.1169043776,0
1511556074000,0.0782008094,0
1511556254000.01,0.0597705699,0
1511556434000.01,0.0639603552,0
1511556614000.01,0.0687436903,0
1511556794000.01,0.0713642767,0
1511556974000.01,0.0476194609,0
1511557154000.01,0.0572487842,0
1511557334000.01,0.0665683171,0
1511557514000.01,0.0564997309,0
1511557694000.01,0.0489126463,0
1511557874000.01,0.0622134219,0
1511558054000,0.0907503362,0
1511558234000,0.0896700612,0
1511558414000,0.078709329,0
1511558594000,0.0942994008,0
1511558774000,0.0740190064,0
1511558954000.01,0.0744728665,0
1511559134000.01,0.0665532153,0
1511559314000.01,0.0568505307,0
1511559494000.01,0.0788303282,0
1511559674000.01,0.0872836751,0
1511559854000.01,0.0943570206,0
1511560034000.01,0.0777596532,0
1511560214000.01,0.0744927628,0
1511560394000.01,0.0720382801,0
1511560574000.01,0.1042941416,0
1511560754000,0.104639301,0
1511560934000,0.1013300526,0
1511561114000,0.0589730368,0
1511561294000,0.0830349457,0
1511561474000,0.1363798143,0
1511561654000.01,0.0892931402,0
1511561834000.01,0.0273611977,0
1511562014000.01,-0.0018756705,0
1511562194000.01,0.007059531,0
1511562374000.01,0.0060760248,0
1511562554000.01,0.0420749922,0
1511562734000.01,0.0823464999,0
1511562914000.01,0.0507105869,0
1511563094000.01,0.0607683554,0
