"Train, x; Test, x; Train (1), x; Test (1), x; Max. Prob., x; Min. Prob., x","Train, y","Train, text","Test, y","Test, text","Train (1), y","Train (1), text","Test (1), y","Test (1), text","Max. Prob., y","Max. Prob., text","Min. Prob., y","Min. Prob., text"
529f5d,4c683b,c59cb3,bd8d82,a16786,f43854,1e94e0,e15bb2,0d4f03,90f401,87955e,2e73ac,ee1192
UCol-data-analysis-1-nonCV,0.9989,UCol-data-analysis-1-nonCV - Train Data<br>Area Under Curve : 0.9989,0.0,UCol-data-analysis-1-nonCV - Test Data<br>Area Under Curve : 0.0,31.98,UCol-data-analysis-1-nonCV - Train Data<br>Ave Error : 31.98%,31.92,UCol-data-analysis-1-nonCV - Test Data<br>Ave Error : 31.92%,15.59,UCol-data-analysis-1-nonCV<br>Max Prediction: 15.59%,0.19,UCol-data-analysis-1-nonCV<br>Min Prediction: 0.19%
UCol-data-analysis-2-nonCV,0.9969,UCol-data-analysis-2-nonCV - Train Data<br>Area Under Curve : 0.9969,0.0,UCol-data-analysis-2-nonCV - Test Data<br>Area Under Curve : 0.0,31.14,UCol-data-analysis-2-nonCV - Train Data<br>Ave Error : 31.14%,31.04,UCol-data-analysis-2-nonCV - Test Data<br>Ave Error : 31.04%,19.8,UCol-data-analysis-2-nonCV<br>Max Prediction: 19.8%,0.0,UCol-data-analysis-2-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-3-nonCV,0.9921,UCol-data-analysis-3-nonCV - Train Data<br>Area Under Curve : 0.9921,0.0,UCol-data-analysis-3-nonCV - Test Data<br>Area Under Curve : 0.0,24.86,UCol-data-analysis-3-nonCV - Train Data<br>Ave Error : 24.86%,24.52,UCol-data-analysis-3-nonCV - Test Data<br>Ave Error : 24.52%,47.15,UCol-data-analysis-3-nonCV<br>Max Prediction: 47.15%,0.0,UCol-data-analysis-3-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-4-nonCV,0.9918,UCol-data-analysis-4-nonCV - Train Data<br>Area Under Curve : 0.9918,0.0,UCol-data-analysis-4-nonCV - Test Data<br>Area Under Curve : 0.0,24.76,UCol-data-analysis-4-nonCV - Train Data<br>Ave Error : 24.76%,24.49,UCol-data-analysis-4-nonCV - Test Data<br>Ave Error : 24.49%,47.74,UCol-data-analysis-4-nonCV<br>Max Prediction: 47.74%,0.0,UCol-data-analysis-4-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-5-nonCV,0.9911,UCol-data-analysis-5-nonCV - Train Data<br>Area Under Curve : 0.9911,0.0,UCol-data-analysis-5-nonCV - Test Data<br>Area Under Curve : 0.0,0.55,UCol-data-analysis-5-nonCV - Train Data<br>Ave Error : 0.55%,0.67,UCol-data-analysis-5-nonCV - Test Data<br>Ave Error : 0.67%,99.24,UCol-data-analysis-5-nonCV<br>Max Prediction: 99.24%,0.0,UCol-data-analysis-5-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-6-nonCV,0.9858,UCol-data-analysis-6-nonCV - Train Data<br>Area Under Curve : 0.9858,0.0,UCol-data-analysis-6-nonCV - Test Data<br>Area Under Curve : 0.0,0.61,UCol-data-analysis-6-nonCV - Train Data<br>Ave Error : 0.61%,0.76,UCol-data-analysis-6-nonCV - Test Data<br>Ave Error : 0.76%,99.43,UCol-data-analysis-6-nonCV<br>Max Prediction: 99.43%,0.0,UCol-data-analysis-6-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-7-nonCV,0.9893,UCol-data-analysis-7-nonCV - Train Data<br>Area Under Curve : 0.9893,0.0,UCol-data-analysis-7-nonCV - Test Data<br>Area Under Curve : 0.0,0.56,UCol-data-analysis-7-nonCV - Train Data<br>Ave Error : 0.56%,0.72,UCol-data-analysis-7-nonCV - Test Data<br>Ave Error : 0.72%,99.52,UCol-data-analysis-7-nonCV<br>Max Prediction: 99.52%,0.0,UCol-data-analysis-7-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-8-nonCV,0.9893,UCol-data-analysis-8-nonCV - Train Data<br>Area Under Curve : 0.9893,0.0,UCol-data-analysis-8-nonCV - Test Data<br>Area Under Curve : 0.0,0.56,UCol-data-analysis-8-nonCV - Train Data<br>Ave Error : 0.56%,0.72,UCol-data-analysis-8-nonCV - Test Data<br>Ave Error : 0.72%,99.52,UCol-data-analysis-8-nonCV<br>Max Prediction: 99.52%,0.0,UCol-data-analysis-8-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-8-deg2-nonCV,0.9893,UCol-data-analysis-8-deg2-nonCV - Train Data<br>Area Under Curve : 0.9893,0.0,UCol-data-analysis-8-deg2-nonCV - Test Data<br>Area Under Curve : 0.0,0.55,UCol-data-analysis-8-deg2-nonCV - Train Data<br>Ave Error : 0.55%,0.72,UCol-data-analysis-8-deg2-nonCV - Test Data<br>Ave Error : 0.72%,99.47,UCol-data-analysis-8-deg2-nonCV<br>Max Prediction: 99.47%,0.0,UCol-data-analysis-8-deg2-nonCV<br>Min Prediction: 0.0%
UCol-data-analysis-8-deg3-nonCV,0.9893,UCol-data-analysis-8-deg3-nonCV - Train Data<br>Area Under Curve : 0.9893,0.0,UCol-data-analysis-8-deg3-nonCV - Test Data<br>Area Under Curve : 0.0,0.55,UCol-data-analysis-8-deg3-nonCV - Train Data<br>Ave Error : 0.55%,0.72,UCol-data-analysis-8-deg3-nonCV - Test Data<br>Ave Error : 0.72%,99.45,UCol-data-analysis-8-deg3-nonCV<br>Max Prediction: 99.45%,0.0,UCol-data-analysis-8-deg3-nonCV<br>Min Prediction: 0.0%
