11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
f59fd6,546b99,79ef15,5c6dfe,6bbe8d,b4d9d8,0a8883,3b3de0,bb658c,7194c6,e069d6,a16a9d,3190a7
5.390625,10.528125,4.734375,4.65,0.20625,0.571875,1.78125,0.703125,6.45,7.125,3.075,11/01/18,1.621875
4.65,5.7,7.696875,0.496875,0.178125,1.096875,1.65,4.359375,6.196875,8.56875,,12/01/18,2.728125
5.784375,8.34375,4.7625,0.65625,0.16875,1.6125,1.8,6.24375,7.4625,4.33125,,13/01/18,10.425
7.603125,7.096875,3.271875,0.140625,0.140625,0.50625,1.93125,3.88125,8.259375,5.259375,,14/01/18,3.6375
6.15,4.265625,3.95625,1.06875,0.271875,1.93125,1.959375,4.125,6.103125,5.15625,,15/01/18,1.18125
6.01875,5.109375,2.428125,1.66875,0.309375,1.940625,4.33125,4.246875,8.325,,,16/01/18,2.184375
5.3625,5.30625,5.55,0.815625,0.15,0.91875,3.69375,5.325,8.0625,,,17/01/18,3.6
5.34375,6.403125,2.4375,1.74375,0.35625,1.85625,1.490625,5.175,8.353125,,,18/01/18,7.55625
4.0125,3.590625,5.015625,1.734375,2.634375,1.753125,2.953125,6.140625,7.275,,,19/01/18,7.275
3.80625,3.871875,4.66875,1.115625,1.378125,1.490625,2.6625,5.596875,,,,20/01/18,5.15625
4.2375,6.61875,4.8375,1.3875,0.778125,1.36875,3.43125,4.5,,,,21/01/18,3.075
2.465625,5.0625,6.440625,3.965625,0.99375,2.45625,4.696875,7.640625,,,,,
1.546875,6.384375,5.3625,6.365625,0.515625,0.84375,4.228125,7.55625,,,,,
2.071875,4.8375,5.953125,2.2875,0.328125,1.9125,3.73125,,,,,,
3.571875,5.475,4.565625,1.171875,0.440625,2.0625,3.24375,,,,,,
3.403125,6.225,7.078125,1.959375,1.74375,2.765625,3.459375,,,,,,
2.85,7.096875,7.5375,1.884375,0.328125,1.85625,3.6,,,,,,
4.265625,7.096875,6.496875,1.65,0.778125,2.653125,,,,,,,
6.440625,6.740625,8.840625,1.875,1.321875,1.6875,,,,,,,
5.634375,2.840625,6.09375,3.73125,1.771875,2.484375,,,,,,,
6.50625,2.41875,8.98125,2.746875,1.115625,2.184375,,,,,,,
7.321875,2.6625,11.56875,3.103125,1.8,,,,,,,,
6.046875,4.209375,5.990625,2.896875,0.7125,,,,,,,,
5.915625,3.69375,8.7375,3.515625,1.359375,,,,,,,,
5.25,2.128125,7.70625,3.95625,1.18125,,,,,,,,
5.184375,3.065625,7.509375,3.69375,,,,,,,,,
4.359375,2.8875,6.796875,3.4875,,,,,,,,,
4.528125,4.275,7.03125,2.953125,,,,,,,,,
4.51875,4.284375,7.096875,3.6375,,,,,,,,,
3.628125,4.18125,10.021875,,,,,,,,,,
4.209375,4.05,12.99375,,,,,,,,,,
2.709375,2.615625,12,,,,,,,,,,
2.953125,3.6375,10.425,,,,,,,,,,
2.559375,3.975,,,,,,,,,,,
2.990625,5.334375,,,,,,,,,,,
2.7,4.021875,,,,,,,,,,,
1.621875,2.728125,,,,,,,,,,,
