"CPU Usage, x; Memory Usage, x","CPU Usage, y","Memory Usage, y"
083c96,df21e6,fb7a37
2017-12-13 13:59:00,0,4
2017-12-13 14:59:00,0,4
2017-12-13 15:59:00,0,4
2017-12-13 16:59:00,0,4
2017-12-13 17:59:00,0,4
2017-12-13 18:59:00,0,4
2017-12-13 19:59:00,0,4
2017-12-13 20:59:00,0,4
2017-12-13 21:59:00,0,4
2017-12-13 22:59:00,0,4
2017-12-13 23:59:00,0,4
2017-12-14 00:59:00,0,4
2017-12-14 01:59:00,0,4
2017-12-14 02:59:00,0,4
2017-12-14 03:59:00,0,4
2017-12-14 04:59:00,0,4
2017-12-14 05:59:00,0,4
2017-12-14 06:59:00,0,4
2017-12-14 07:59:00,0,4
2017-12-14 08:59:00,0,4
2017-12-14 09:59:00,0,4
2017-12-14 10:59:00,0,4
2017-12-14 11:59:00,0,4
2017-12-14 12:59:00,0,4
2017-12-14 13:59:00,0,4
2017-12-14 14:59:00,0,4
2017-12-14 15:59:00,0,4
2017-12-14 16:59:00,0,4
2017-12-14 17:59:00,0,4
2017-12-14 18:59:00,0,4
2017-12-14 19:59:00,0,4
2017-12-14 20:59:00,0,4
2017-12-14 21:59:00,0,4
2017-12-14 22:59:00,0,4
2017-12-14 23:59:00,0,4
2017-12-15 00:59:00,0,4
2017-12-15 01:59:00,0,4
2017-12-15 02:59:00,0,4
2017-12-15 03:59:00,0,4
2017-12-15 04:59:00,0,4
2017-12-15 05:59:00,0,4
2017-12-15 06:59:00,0,4
2017-12-15 07:59:00,0,4
2017-12-15 08:59:00,0,4
2017-12-15 09:59:00,0,4
2017-12-15 10:59:00,0,4
2017-12-15 11:59:00,0,4
2017-12-15 12:59:00,0,4
2017-12-15 13:59:00,0,4
2017-12-15 14:59:00,0,4
2017-12-15 15:59:00,0,4
2017-12-15 16:59:00,0,4
2017-12-15 17:59:00,0,4
2017-12-15 18:59:00,0,4
2017-12-15 19:59:00,0,4
2017-12-15 20:59:00,0,4
2017-12-15 21:59:00,0,4
2017-12-15 22:59:00,0,4
2017-12-15 23:59:00,0,4
2017-12-16 00:59:00,0,4
2017-12-16 01:59:00,0,4
2017-12-16 02:59:00,0,4
2017-12-16 03:59:00,0,4
2017-12-16 04:59:00,0,4
2017-12-16 05:59:00,0,4
2017-12-16 06:59:00,0,4
2017-12-16 07:59:00,0,4
