"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y"
b1c35a,1e7a2e,d596f4
Aberdeen City,163.996,166.8
Aberdeenshire,150.9546666667,145.1
Angus,148.074,147.5
Argyll and Bute,147.8353333333,156.4
Clackmannanshire,179.7413333333,181.7
Dumfries and Galloway,154.0606666667,153.1
Dundee City,190.492,192.8
East Ayrshire,175.176,175.5
East Dunbartonshire,150.8533333333,150.6
East Renfrewshire,151.1473333333,150.2
Edinburgh City,166.87,158.1
Falkirk,169.088,167.6
Fife,166.068,163.1
Glasgow City,223.6213333333,237.2
Highland,149.6733333333,151.6
Inverclyde,195.916,194.5
Lanarkshire,193.9293333333,187.0
Mid and East Lothian,168.2926666667,173.4
Moray,148.738,150.1
North Ayrshire,185.846,175.6
Orkney Islands,146.8573333333,112.3
Outer Hebrides,157.4586666667,150.2
Perth and Kinross,141.6086666667,135.3
Renfrewshire,172.402,171.7
Scottish Borders,143.886,135.8
Shetland Islands,160.6846666667,169.4
South Ayrshire,159.944,146.7
Stirling,159.134,159.8
West Dunbartonshire,203.3213333333,210.2
West Lothian,170.9826666667,173.4
