"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y"
c49dda,475bf8,a76af5
Aberdeen City,175.466,166.8
Aberdeenshire,147.9386666667,145.1
Angus,149.1253333333,147.5
Argyll and Bute,155.7006666667,156.4
Clackmannanshire,178.412,181.7
Dumfries and Galloway,153.1193333333,153.1
Dundee City,193.7313333333,192.8
East Ayrshire,178.078,175.5
East Dunbartonshire,149.1826666667,150.6
East Renfrewshire,148.8013333333,150.2
Edinburgh City,160.9126666667,158.1
Falkirk,168.96,167.6
Fife,163.7846666667,163.1
Glasgow City,225.4093333333,237.2
Highland,154.1106666667,151.6
Inverclyde,188.614,194.5
Lanarkshire,187.274,187.0
Mid and East Lothian,166.892,173.4
Moray,150.5226666667,150.1
North Ayrshire,182.456,175.6
Orkney Islands,152.212,112.3
Outer Hebrides,156.9546666667,150.2
Perth and Kinross,142.9293333333,135.3
Renfrewshire,177.0506666667,171.7
Scottish Borders,145.4473333333,135.8
Shetland Islands,160.2173333333,169.4
South Ayrshire,161.3866666667,146.7
Stirling,162.7046666667,159.8
West Dunbartonshire,205.1093333333,210.2
West Lothian,171.1146666667,173.4
