11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
934397,00ab27,43b6b1,0fb779,d67211,383103,da63bd,201ba5,edbc5f,d4246e,dea688,4fd652,e6ae50
7.25625,13.321875,12.61875,3.665625,0.103125,0.76875,3.4125,0.684375,6.75,6.8625,5.625,11/01/18,3.76875
6.1125,9.515625,9.9375,0.290625,0.05625,0.28125,2.55,8.925,5.56875,6.58125,,12/01/18,3.80625
7.2375,11.60625,3.009375,0.759375,0.065625,0.825,2.0625,8.334375,7.06875,5.353125,,13/01/18,14.79375
11.83125,8.015625,7.59375,0.0375,0.0375,0.20625,5.859375,2.15625,10.425,10.059375,,14/01/18,0.9375
7.36875,10.4625,5.53125,0.121875,0.271875,4.65,2.034375,4.63125,6.16875,9.309375,,15/01/18,1.603125
9.328125,10.78125,3.375,1.65,0.065625,4.66875,3.515625,5.625,3.2625,,,16/01/18,3.09375
6.7875,6.365625,10.246875,0.496875,0.0375,0.928125,3.73125,8.8125,4.940625,,,17/01/18,3.61875
13.378125,9.45,4.490625,0.28125,0.234375,2.90625,1.584375,7.66875,7.7625,,,18/01/18,6.478125
7.865625,5.49375,8.446875,0.384375,2.5875,3.459375,3.39375,6.9375,5.334375,,,19/01/18,5.334375
7.340625,4.2,11.08125,0.95625,1.715625,2.19375,3.91875,4.640625,,,,20/01/18,9.309375
7.36875,8.1,5.98125,0.871875,0.7875,0.740625,2.55,3.375,,,,21/01/18,5.625
1.66875,9.515625,6.01875,3.43125,0.834375,2.6625,5.615625,6.1125,,,,,
0.571875,11.3625,3.253125,5.053125,0.75,0.778125,4.246875,6.478125,,,,,
3.309375,7.81875,5.68125,1.134375,0.346875,2.596875,3.196875,,,,,,
3.740625,10.275,4.096875,1.48125,0.290625,1.659375,2.278125,,,,,,
6.73125,7.85625,12.7125,1.021875,1.0125,3.440625,4.528125,,,,,,
5.79375,7.471875,7.70625,0.61875,0.271875,1.44375,3.61875,,,,,,
9.1875,10.809375,7.1625,0.73125,1.18125,3.159375,,,,,,,
9.103125,12.1875,20.2875,0.675,1.171875,1.284375,,,,,,,
15.178125,9.496875,13.78125,2.34375,0.740625,2.390625,,,,,,,
11.090625,8.878125,15.54375,1.659375,0.65625,3.09375,,,,,,,
10.8,4.2,15.65625,1.3875,1.959375,,,,,,,,
8.765625,6.365625,14.53125,1.415625,0.6375,,,,,,,,
10.70625,7.63125,17.15625,4.93125,1.425,,,,,,,,
10.25625,6.703125,16.93125,2.015625,1.603125,,,,,,,,
8.540625,7.509375,15.346875,1.70625,,,,,,,,,
6.346875,8.71875,11.4,1.9125,,,,,,,,,
7.725,10.190625,15.646875,1.096875,,,,,,,,,
8.146875,10.903125,14.446875,0.9375,,,,,,,,,
8.859375,12.46875,15.365625,,,,,,,,,,
10.134375,12.646875,14.19375,,,,,,,,,,
7.490625,11.41875,14.953125,,,,,,,,,,
8.9625,13.940625,14.79375,,,,,,,,,,
8.503125,12.028125,,,,,,,,,,,
8.64375,12.628125,,,,,,,,,,,
7.696875,6.703125,,,,,,,,,,,
3.76875,3.80625,,,,,,,,,,,
