"pH, x; Upper Limit, x; Lower Limit, x; FC, x; Upper Limit (1), x; Lower Limit (1), x (1)","pH, y (1)","Upper Limit, y (1)","Lower Limit, y (1)","FC, y (1)","Upper Limit (1), y (1)","Lower Limit (1), y (1)"
20069f,d46150,160cb5,cc0630,68206e,dac887,1837b5
2018-01-11 02:25:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:25:17,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:25:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:25:38,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:25:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:25:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:30:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:30:19,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:30:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:30:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:30:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:31:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:35:10,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:35:20,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:35:31,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:35:41,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:35:52,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:01,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:12,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:22,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:32,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:43,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:40:53,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:03,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:13,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:23,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:34,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:44,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:45:55,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:04,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:15,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:25,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:35,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:46,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:50:56,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:16,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:37,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 02:55:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:00:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:00:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:00:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:00:39,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:00:49,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:01:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:25:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:25:17,7.2,7.6,7.2,0.04,3,1
2018-01-11 03:25:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:25:37,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:25:48,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:25:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:30:08,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:30:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:30:29,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:30:39,7.2,7.6,7.2,0.04,3,1
2018-01-11 03:30:50,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:31:00,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:35:10,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:35:20,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:35:30,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:35:41,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:35:51,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:40:11,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:40:21,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:40:32,7.2,7.6,7.2,0.04,3,1
2018-01-11 03:40:42,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:40:53,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:45:02,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:45:13,7.2,7.6,7.2,0.04,3,1
2018-01-11 03:45:23,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:45:33,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:45:44,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:45:54,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:04,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:15,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:25,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:35,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:46,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:50:56,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:06,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:16,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:27,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:37,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:47,7.3,7.6,7.2,0.05,3,1
2018-01-11 03:55:58,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:00:07,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:00:18,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:00:28,7.3,7.6,7.2,0.05,3,1
2018-01-11 04:00:38,7.3,7.6,7.2,0.05,3,1
