type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12426:0bf240,IQvia1:12426:45fa0a,GENDER
bar,y3,x3,IQvia1:12426:1ca770,IQvia1:12426:dc9eb4,AGEGROUP
bar,y5,x5,IQvia1:12426:08e0ee,IQvia1:12426:ffd282,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y7,x7,IQvia1:12426:fe6e25,IQvia1:12426:d7d516,INTESTINAL OBSTRUCTION
bar,y9,x9,IQvia1:12426:5bef53,IQvia1:12426:ffd282,HEPATITIS BC
bar,y11,x11,IQvia1:12426:c547cb,IQvia1:12426:ffd282,TUBERCULOSIS
bar,y13,x13,IQvia1:12426:bff77e,IQvia1:12426:ffd282,TACROLIMUS
bar,y15,x15,IQvia1:12426:7ae4b1,IQvia1:12426:ffd282,AZATHIOPRINE
bar,y17,x17,IQvia1:12426:c5c2eb,IQvia1:12426:ffd282,COLOSTOMY / ILEOSTOMY
bar,y2,x2,IQvia1:12426:0bf240,IQvia1:12426:45fa0a,GENDER
bar,y4,x4,IQvia1:12426:1ca770,IQvia1:12426:dc9eb4,AGEGROUP
bar,y6,x6,IQvia1:12426:08e0ee,IQvia1:12426:ffd282,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y8,x8,IQvia1:12426:fe6e25,IQvia1:12426:d7d516,INTESTINAL OBSTRUCTION
bar,y10,x10,IQvia1:12426:5bef53,IQvia1:12426:ffd282,HEPATITIS BC
bar,y12,x12,IQvia1:12426:c547cb,IQvia1:12426:ffd282,TUBERCULOSIS
bar,y14,x14,IQvia1:12426:bff77e,IQvia1:12426:ffd282,TACROLIMUS
bar,y16,x16,IQvia1:12426:7ae4b1,IQvia1:12426:ffd282,AZATHIOPRINE
bar,y18,x18,IQvia1:12426:c5c2eb,IQvia1:12426:ffd282,COLOSTOMY / ILEOSTOMY
