type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12416:901e83,IQvia1:12416:39fee6,Gender
bar,y3,x3,IQvia1:12416:55edb1,IQvia1:12416:d7f5d1,Age
bar,y5,x5,IQvia1:12416:1cdeed,IQvia1:12416:b574d1,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12416:17588d,IQvia1:12416:b574d1,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12416:e40d0e,IQvia1:12416:b574d1,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12416:668804,IQvia1:12416:b574d1,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12416:25ef04,IQvia1:12416:b574d1,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12416:9f44c9,IQvia1:12416:b574d1,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12416:347ffa,IQvia1:12416:b574d1,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12416:af0d63,IQvia1:12416:b574d1,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12416:901e83,IQvia1:12416:b574d1,Gender
bar,y4,x4,IQvia1:12416:55edb1,IQvia1:12416:d7f5d1,Age
bar,y6,x6,IQvia1:12416:1cdeed,IQvia1:12416:b574d1,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12416:17588d,IQvia1:12416:b574d1,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12416:e40d0e,IQvia1:12416:b574d1,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12416:668804,IQvia1:12416:b574d1,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12416:25ef04,IQvia1:12416:b574d1,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12416:9f44c9,IQvia1:12416:b574d1,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12416:347ffa,IQvia1:12416:b574d1,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12416:af0d63,IQvia1:12416:b574d1,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
