type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:11982:a0cad8,IQvia1:11982:763825,Gender
bar,y3,x3,IQvia1:11982:efd0a9,IQvia1:11982:499df9,Age
bar,y5,x5,IQvia1:11982:27da19,IQvia1:11982:1012da,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:11982:8570eb,IQvia1:11982:1012da,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:11982:6657cf,IQvia1:11982:1012da,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:11982:c93549,IQvia1:11982:1012da,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:11982:81b650,IQvia1:11982:1012da,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:11982:c53799,IQvia1:11982:1012da,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:11982:1557fb,IQvia1:11982:1012da,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:11982:19bb4d,IQvia1:11982:1012da,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:11982:a0cad8,IQvia1:11982:1012da,Gender
bar,y4,x4,IQvia1:11982:efd0a9,IQvia1:11982:c43bc4,Age
bar,y6,x6,IQvia1:11982:27da19,IQvia1:11982:1012da,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:11982:8570eb,IQvia1:11982:1012da,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:11982:6657cf,IQvia1:11982:1012da,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:11982:c93549,IQvia1:11982:1012da,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:11982:81b650,IQvia1:11982:1012da,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:11982:c53799,IQvia1:11982:1012da,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:11982:1557fb,IQvia1:11982:1012da,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:11982:19bb4d,IQvia1:11982:1012da,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
