type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12004:04ed96,IQvia1:12004:8f91fd,Gender
bar,y3,x3,IQvia1:12004:012940,IQvia1:12004:7f0fd6,Age
bar,y5,x5,IQvia1:12004:ffebbe,IQvia1:12004:6ecc10,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12004:603097,IQvia1:12004:6ecc10,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12004:b91a7a,IQvia1:12004:6ecc10,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12004:305a97,IQvia1:12004:6ecc10,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12004:b4c86f,IQvia1:12004:6ecc10,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12004:b25f9b,IQvia1:12004:6ecc10,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12004:8e8f46,IQvia1:12004:6ecc10,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12004:40d6b5,IQvia1:12004:6ecc10,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12004:04ed96,IQvia1:12004:6ecc10,Gender
bar,y4,x4,IQvia1:12004:012940,IQvia1:12004:7f0fd6,Age
bar,y6,x6,IQvia1:12004:ffebbe,IQvia1:12004:6ecc10,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12004:603097,IQvia1:12004:6ecc10,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12004:b91a7a,IQvia1:12004:6ecc10,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12004:305a97,IQvia1:12004:6ecc10,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12004:b4c86f,IQvia1:12004:6ecc10,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12004:b25f9b,IQvia1:12004:6ecc10,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12004:8e8f46,IQvia1:12004:6ecc10,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12004:40d6b5,IQvia1:12004:6ecc10,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
